Model,Description,n_per_subj,n_params,WAIC,p_WAIC,SE_WAIC,LOO,p_LOO,SE_LOO,n_pareto_k_bad,pct_pareto_k_bad,choice_acc,choice_r2,vigor_r2,WAIC_choice,LOO_choice,converged,elapsed_min,dWAIC,dLOO
M1,"Effort-only (kappa, intercept-only vigor)",1,286,16037.235485904515,282.3233005024732,443.43837654575583,16042.09433360842,284.75272435442446,444.0661010031073,1,0.0060727515637335,0.708185053380783,0.9457527003708625,0.0073443633528981,14522.915445475148,14526.35569485496,True,1.7559871474901836,3784.8773063616154,3778.96926293612
M2,"Threat-only (omega, population kappa)",1,290,13873.46662536756,310.3392266639082,448.6203841219759,13881.341588591422,314.2767082758411,448.3083371365707,160,0.9716402501973644,0.7784895215500198,0.8931495472810388,0.0115656442794303,12354.038081256993,12362.96599000895,True,41.03205091555913,1621.1084458246605,1618.2165179191215
M4,Joint W(u) (omega+kappa),2,572,12252.3581795429,414.7776248638198,600.5845665386624,12263.1250706723,420.1610704285183,600.4711675830084,137,0.8319669642314933,0.7587979438513246,0.809398991683967,0.4115771120735761,12548.889452365063,12557.760973100229,True,32.94367158412933,0.0,0.0
M3,Single-param (theta=omega=kappa),1,290,15726.693924984258,383.4208667424755,305.24397038521647,15737.148812880756,388.6483106907249,305.4610572089319,189,1.1477500455456366,0.7558718861209964,0.8068714131167186,0.0751728782477073,12760.86923389833,12770.871159949817,False,61.64889539082845,3474.335745441358,3474.0237422084556
M3b,"Single-param + scaling (theta, alpha*theta)",1,291,13849.782748017742,318.7933386313844,451.7934587752142,13856.293157673515,322.048543459272,451.58486911559976,112,0.6801481751381551,0.7779359430604982,0.8943508547443756,0.014095174130048,12352.1296897473,12359.04472809478,True,61.82617823282877,1597.424568474842,1593.168087001215
