outcome,sample,N,R2,predictor,beta,se,t,p
omega_z,exploratory,290,0.08694982620396874,anxiety_heavy_intercept,0.0855083709809139,0.1288488713245198,0.6636330617561393,0.5074771340454126
omega_z,exploratory,290,0.08694982620396874,anxiety_light_intercept,-0.02835506003403883,0.13673579941585576,-0.2073711504607681,0.8358723792532299
omega_z,exploratory,290,0.08694982620396874,confidence_heavy_intercept,-0.34160431146403886,0.12028838452771665,-2.8398777887429936,0.0048476157864687786
omega_z,exploratory,290,0.08694982620396874,confidence_light_intercept,0.113112687525113,0.14012890583113233,0.8072045296737259,0.42024122356131355
omega_z,exploratory,290,0.08694982620396874,anxiety_heavy_slopeD,0.05170086358443406,0.07418641544001893,0.6969047267991423,0.48644685657833914
omega_z,exploratory,290,0.08694982620396874,anxiety_light_slopeD,0.00959505701767703,0.0798012860995868,0.1202368719434299,0.9043826733033521
omega_z,exploratory,290,0.08694982620396874,confidence_heavy_slopeD,-0.05697996870650863,0.07018572704360945,-0.81184552909318,0.4175773650411507
omega_z,exploratory,290,0.08694982620396874,confidence_light_slopeD,-0.07997011472063682,0.08188837705799877,-0.9765746690033519,0.3296318523646845
omega_z,exploratory,290,0.08694982620396874,anxiety_heavy_slopeT,-0.033744307688034963,0.10105839840335293,-0.3339089894671771,0.7387008809013088
omega_z,exploratory,290,0.08694982620396874,anxiety_light_slopeT,0.005120876292839559,0.11566252489448108,0.04427429106801303,0.9647176635134399
omega_z,exploratory,290,0.08694982620396874,confidence_heavy_slopeT,-0.11368309830912501,0.09651697692066552,-1.1778559786696345,0.239864973070729
omega_z,exploratory,290,0.08694982620396874,confidence_light_slopeT,0.0639008785892253,0.11891738468524539,0.5373552299216834,0.5914536592406967
omega_z,confirmatory,281,0.07436156344766753,anxiety_heavy_intercept,-0.19132951006241694,0.13974152038662677,-1.3691672277005449,0.17209333560816653
omega_z,confirmatory,281,0.07436156344766753,anxiety_light_intercept,0.13609321358471765,0.16896586676420247,0.8054479652665014,0.42127525758660495
omega_z,confirmatory,281,0.07436156344766753,confidence_heavy_intercept,-0.5433989561320882,0.14426672590543366,-3.766627077183996,0.00020344018694325045
omega_z,confirmatory,281,0.07436156344766753,confidence_light_intercept,0.37637029742241457,0.16119850863631602,2.3348249348357992,0.020291249261048024
omega_z,confirmatory,281,0.07436156344766753,anxiety_heavy_slopeD,-0.0984251498886662,0.07250663566073202,-1.3574640305917691,0.17577579223636
omega_z,confirmatory,281,0.07436156344766753,anxiety_light_slopeD,0.13365248468111282,0.09369469877982338,1.4264679477244249,0.15489719446469508
omega_z,confirmatory,281,0.07436156344766753,confidence_heavy_slopeD,-0.23774213654414833,0.07579040189410466,-3.1368369952217003,0.0018982054149496122
omega_z,confirmatory,281,0.07436156344766753,confidence_light_slopeD,0.1674226976066022,0.08753943507295042,1.912540302174461,0.056872808486953225
omega_z,confirmatory,281,0.07436156344766753,anxiety_heavy_slopeT,-0.10880911816912499,0.11409446387724805,-0.9536757040743935,0.34110718761125675
omega_z,confirmatory,281,0.07436156344766753,anxiety_light_slopeT,0.07949547052893553,0.12965534990292826,0.6131291195346203,0.5403109395665207
omega_z,confirmatory,281,0.07436156344766753,confidence_heavy_slopeT,-0.3405502325261971,0.11393013175705195,-2.9891147080598195,0.0030576226366925406
omega_z,confirmatory,281,0.07436156344766753,confidence_light_slopeT,0.32178369068055435,0.13278306024818415,2.423379082234662,0.016039519378947226
kappa_z,exploratory,290,0.06333111367556299,anxiety_heavy_intercept,0.11948505968574087,0.13050475751786997,0.9155609493345852,0.3606935646286384
kappa_z,exploratory,290,0.06333111367556299,anxiety_light_intercept,-0.06039965824090456,0.13849304354273023,-0.43612052053913475,0.6630889890582579
kappa_z,exploratory,290,0.06333111367556299,confidence_heavy_intercept,-0.3022793050869069,0.12183425662665166,-2.4810698850751822,0.013692629909341184
kappa_z,exploratory,290,0.06333111367556299,confidence_light_intercept,0.07189847440318066,0.14192975606807876,0.5065778762326165,0.6128540129836901
kappa_z,exploratory,290,0.06333111367556299,anxiety_heavy_slopeD,0.13531999572309902,0.07513981347756846,1.8009093909115998,0.07280475620480163
kappa_z,exploratory,290,0.06333111367556299,anxiety_light_slopeD,-0.13584954915015143,0.08082684299042739,-1.6807479313059472,0.09393910461571982
kappa_z,exploratory,290,0.06333111367556299,confidence_heavy_slopeD,-0.08144906259155074,0.07108771070234905,-1.1457544741113643,0.2528856309938179
kappa_z,exploratory,290,0.06333111367556299,confidence_light_slopeD,-0.041111526613339,0.08294075595408297,-0.49567340133840654,0.6205178747064017
kappa_z,exploratory,290,0.06333111367556299,anxiety_heavy_slopeT,0.022805183511538287,0.10235713858569204,0.22280012734476834,0.8238552687555278
kappa_z,exploratory,290,0.06333111367556299,anxiety_light_slopeT,-0.08677685591979685,0.11714894829960676,-0.7407395216034401,0.4594788327466681
kappa_z,exploratory,290,0.06333111367556299,confidence_heavy_slopeT,-0.21499071538229686,0.09775735355620703,-2.1992280637863706,0.028688161822148447
kappa_z,exploratory,290,0.06333111367556299,confidence_light_slopeT,0.11608153944669958,0.1204456375401242,0.9637670721617393,0.33600332209928147
kappa_z,confirmatory,281,0.13533008592181717,anxiety_heavy_intercept,0.3596876577426691,0.1350609959920352,2.6631497502349277,0.00820981488624294
kappa_z,confirmatory,281,0.13533008592181717,anxiety_light_intercept,-0.44163233325841034,0.16330649752981102,-2.7043157494562755,0.007282647306266267
kappa_z,confirmatory,281,0.13533008592181717,confidence_heavy_intercept,-0.23080127526010882,0.13943463356766586,-1.6552650468156742,0.09904124743407773
kappa_z,confirmatory,281,0.13533008592181717,confidence_light_intercept,0.08706880885297733,0.15579930051294238,0.5588523733182258,0.5767291310235463
kappa_z,confirmatory,281,0.13533008592181717,anxiety_heavy_slopeD,-0.1091921358131405,0.0700780870372386,-1.5581494933661244,0.1203778910256816
kappa_z,confirmatory,281,0.13533008592181717,anxiety_light_slopeD,-0.12963020350226667,0.09055647384803824,-1.4314846635901217,0.153456478014076
kappa_z,confirmatory,281,0.13533008592181717,confidence_heavy_slopeD,-0.24084175330459484,0.07325186628951276,-3.2878582554158813,0.0011444147044538204
kappa_z,confirmatory,281,0.13533008592181717,confidence_light_slopeD,0.09656740695681167,0.08460737550887742,1.1413592062866829,0.254739285292932
kappa_z,confirmatory,281,0.13533008592181717,anxiety_heavy_slopeT,0.24845840736760094,0.11027296601471002,2.253121652087035,0.025060283760979782
kappa_z,confirmatory,281,0.13533008592181717,anxiety_light_slopeT,-0.2751946060048344,0.12531265328397806,-2.1960639950795744,0.028944317780828527
