factor,actual_eigval,random_95pct,keep
1,6.552716076627499,1.2883550006230344,True
2,1.374048376555998,1.2069349640453653,True
3,0.8193371225887588,1.1488418003410126,False
4,0.5322541756474729,1.1024924208108162,False
5,0.4374159869464696,1.0590518567933631,False
6,0.3144069758294233,1.0233681994509944,False
7,0.268081679333378,0.9851171216539663,False
8,0.2290167802790663,0.9498607119007401,False
9,0.18164275624456816,0.9126018619827075,False
10,0.16168098436619532,0.8706941158363862,False
11,0.12939908558116667,0.829253362661564,False
