outcome,sample,model,predictor,N,R2,beta,se,t,p
omega_z,exploratory,contrasts_only,anxiety_intercept_HvL,290,0.051671719361232715,0.04841950064236187,0.10150152478842396,0.47703224895675667,0.6337073178587965
omega_z,exploratory,contrasts_only,anxiety_slopeT_HvL,290,0.051671719361232715,-0.028566698672574414,0.08989361336537675,-0.3177834064413869,0.7508835909536232
omega_z,exploratory,contrasts_only,anxiety_slopeD_HvL,290,0.051671719361232715,-0.0003934704637328107,0.07420352252560054,-0.005302584706771322,0.9957729052515699
omega_z,exploratory,contrasts_only,confidence_intercept_HvL,290,0.051671719361232715,-0.22600328252330268,0.10249717204274546,-2.2049709081636926,0.028260450344476697
omega_z,exploratory,contrasts_only,confidence_slopeT_HvL,290,0.051671719361232715,-0.03593419923246827,0.08415209335036253,-0.4270149178922768,0.6696931459931184
omega_z,exploratory,contrasts_only,confidence_slopeD_HvL,290,0.051671719361232715,0.00548841747152607,0.0769558049115477,0.07131908343801233,0.9431941813385762
omega_z,confirmatory,contrasts_only,anxiety_intercept_HvL,281,0.05805144653332506,-0.1342963969343884,0.10323904230589229,-1.3008295498952294,0.19440971967858447
omega_z,confirmatory,contrasts_only,anxiety_slopeT_HvL,281,0.05805144653332506,-0.07941456268022515,0.09142334990319197,-0.8686463880870379,0.3858007821200954
omega_z,confirmatory,contrasts_only,anxiety_slopeD_HvL,281,0.05805144653332506,-0.14318261138765168,0.08273406804808066,-1.730636662329254,0.0846424336562287
omega_z,confirmatory,contrasts_only,confidence_intercept_HvL,281,0.05805144653332506,-0.40046450684687046,0.11263255654455173,-3.555495135089711,0.00044427091640166703
omega_z,confirmatory,contrasts_only,confidence_slopeT_HvL,281,0.05805144653332506,-0.2897597366893621,0.09704923050595034,-2.9856984458171074,0.003085000036675793
omega_z,confirmatory,contrasts_only,confidence_slopeD_HvL,281,0.05805144653332506,-0.22986735912962147,0.0758922670692273,-3.028864046450759,0.0026889251496631573
omega_z,exploratory,contrasts_plus_light,anxiety_intercept_HvL,290,0.08694982620396885,0.0745866347995165,0.11239137875702224,0.6636330617561386,0.5074771340454132
omega_z,exploratory,contrasts_plus_light,anxiety_slopeT_HvL,290,0.08694982620396885,-0.03374461448793754,0.10105931721629978,-0.33390898946717695,0.7387008809013089
omega_z,exploratory,contrasts_plus_light,anxiety_slopeD_HvL,290,0.08694982620396885,0.06241765927049648,0.08956412099137104,0.6969047267991392,0.4864468565783411
omega_z,exploratory,contrasts_plus_light,confidence_intercept_HvL,290,0.08694982620396885,-0.3384707682239047,0.11918497674990451,-2.8398777887430002,0.004847615786468682
omega_z,exploratory,contrasts_plus_light,confidence_slopeT_HvL,290,0.08694982620396885,-0.1059934998299228,0.08998850602230697,-1.1778559786696359,0.23986497307072846
omega_z,exploratory,contrasts_plus_light,confidence_slopeD_HvL,290,0.08694982620396885,-0.07273953166687643,0.08959774866054324,-0.8118455290931793,0.41757736504115117
omega_z,exploratory,contrasts_plus_light,anxiety_light_intercept,290,0.08694982620396885,0.058226916126414036,0.09592048842172705,0.607033148855662,0.5443261552119437
omega_z,exploratory,contrasts_plus_light,anxiety_light_slopeT,290,0.08694982620396885,-0.031863849492139634,0.0990255385307467,-0.3217740591458247,0.7478665524659408
omega_z,exploratory,contrasts_plus_light,anxiety_light_slopeD,290,0.08694982620396885,0.06605828389707125,0.08514783157073133,0.7758070015229617,0.4385248072845802
omega_z,exploratory,contrasts_plus_light,confidence_light_intercept,290,0.08694982620396885,-0.2365349575456573,0.09514352871685593,-2.486085609138775,0.013505390166824281
omega_z,exploratory,contrasts_plus_light,confidence_light_slopeT,290,0.08694982620396885,-0.04731599037456829,0.10182352365295566,-0.4646862402428246,0.6425212069684557
omega_z,exploratory,contrasts_plus_light,confidence_light_slopeD,290,0.08694982620396885,-0.13330443473457274,0.0876205681555487,-1.5213829074689815,0.12930446145795527
omega_z,confirmatory,contrasts_plus_light,anxiety_intercept_HvL,281,0.07436156344766753,-0.15820110662156986,0.11554549613874504,-1.3691672277005476,0.17209333560816564
omega_z,confirmatory,contrasts_plus_light,anxiety_slopeT_HvL,281,0.07436156344766753,-0.09929994488082333,0.10412338749596269,-0.9536757040743956,0.3411071876112557
omega_z,confirmatory,contrasts_plus_light,anxiety_slopeD_HvL,281,0.07436156344766753,-0.13236095215239357,0.09750604743073184,-1.3574640305917705,0.17577579223635953
omega_z,confirmatory,contrasts_plus_light,confidence_intercept_HvL,281,0.07436156344766753,-0.4841941200693905,0.12854846262916578,-3.7666270771839936,0.00020344018694325248
omega_z,confirmatory,contrasts_plus_light,confidence_slopeT_HvL,281,0.07436156344766753,-0.3242796913528618,0.10848686752585213,-2.9891147080598195,0.0030576226366925406
omega_z,confirmatory,contrasts_plus_light,confidence_slopeD_HvL,281,0.07436156344766753,-0.2506026869886731,0.07989024847973057,-3.136836995221701,0.0018982054149496081
omega_z,confirmatory,contrasts_plus_light,anxiety_light_intercept,281,0.07436156344766753,-0.07475159312799327,0.10737235268929309,-0.6961903251231201,0.4869129726533046
omega_z,confirmatory,contrasts_plus_light,anxiety_light_slopeT,281,0.07436156344766753,-0.02826322934803748,0.10711571368669467,-0.26385698582661066,0.7920928952125867
omega_z,confirmatory,contrasts_plus_light,anxiety_light_slopeD,281,0.07436156344766753,0.013994692970916356,0.0983654304293999,0.14227247224786768,0.8869716867295269
omega_z,confirmatory,contrasts_plus_light,confidence_light_intercept,281,0.07436156344766753,-0.1691801661765687,0.09576514061651498,-1.7666153371406743,0.07843095057824531
omega_z,confirmatory,contrasts_plus_light,confidence_light_slopeT,281,0.07436156344766753,-0.028713126206449426,0.09733502445468378,-0.2949927466224389,0.7682278125231732
omega_z,confirmatory,contrasts_plus_light,confidence_light_slopeD,281,0.07436156344766753,-0.03771643401555467,0.07949441441697655,-0.4744538882658915,0.635562627455464
kappa_z,exploratory,contrasts_only,anxiety_intercept_HvL,290,0.02918218712269549,0.04630488372556068,0.10269802306448403,0.4508838860168308,0.6524185068039017
kappa_z,exploratory,contrasts_only,anxiety_slopeT_HvL,290,0.02918218712269549,0.017099283416572308,0.0909532777757852,0.1880007387828821,0.8510108024035667
kappa_z,exploratory,contrasts_only,anxiety_slopeD_HvL,290,0.02918218712269549,0.12183233705126892,0.07507823240768886,1.622738484168041,0.10575873013783055
kappa_z,exploratory,contrasts_only,confidence_intercept_HvL,290,0.02918218712269549,-0.2072821146959019,0.10370540699198205,-1.9987589915338537,0.04659074089038721
kappa_z,exploratory,contrasts_only,confidence_slopeT_HvL,290,0.02918218712269549,-0.1272086251366412,0.08514407681889105,-1.4940396312855106,0.13627937747117747
kappa_z,exploratory,contrasts_only,confidence_slopeD_HvL,290,0.02918218712269549,-0.045284916927524954,0.0778629586523552,-0.5815976904976649,0.5613006622120394
kappa_z,confirmatory,contrasts_only,anxiety_intercept_HvL,281,0.07827087945011746,0.18248837690118133,0.10212499062710201,1.786912055321672,0.07505708244972181
kappa_z,confirmatory,contrasts_only,anxiety_slopeT_HvL,281,0.07827087945011746,0.11740130258364732,0.09043680126649982,1.2981585033916483,0.19532451363755848
kappa_z,confirmatory,contrasts_only,anxiety_slopeD_HvL,281,0.07827087945011746,-0.04108816662805785,0.0818412853823037,-0.5020469367767557,0.6160377018000595
