mediator,outcome,a_omega,a_kappa,b,c_omega,c_kappa,cprime_omega,cprime_kappa,indirect_omega,ind_om_lo,ind_om_hi,p_omega,indirect_kappa,ind_kp_lo,ind_kp_hi,p_kappa
confidence_intercept,earnings,-0.1573497229653361,-0.0974031260681183,0.037150269448646064,0.027585293999512445,-0.12095184635622518,0.03343087860534455,-0.11733329397765424,-0.005845584605832047,-0.023777003440231623,0.0076080933576028265,0.41,-0.003618552378571036,-0.015527072050358545,0.005563080166804693,0.4392
confidence_intercept,pct_opt,-0.1573497229653361,-0.0974031260681183,-0.0036640328712311335,-0.6251600161426476,-0.26903172844453993,-0.6257365506998726,-0.26938861670021463,0.0005765345572241038,-0.009362739835256678,0.011313607843484659,0.9036,0.00035688825567425556,-0.0066658478058766735,0.007276565158538781,0.9128
confidence_intercept,p_heavy,-0.1573497229653361,-0.0974031260681183,0.030669159997651234,-0.8151708439329123,-0.3260724232755323,-0.8103450601037032,-0.3230851512178782,-0.004825783829209989,-0.010905316556010375,-0.00015205866150656155,0.0352,-0.0029872720576545136,-0.008314343391419093,9.032235410644044e-05,0.0672
confidence_intercept,mean_vigor,-0.1573497229653361,-0.0974031260681183,-0.034583493930835006,0.4933980350497054,-0.8894797053943099,0.487956331860516,-0.8928482458135321,0.00544170318919027,-0.0032042731936845607,0.02118967173446437,0.3772,0.003368540419221126,-0.002350345548411305,0.011790703242823122,0.4104
confidence_intercept,escape_rate,-0.1573497229653361,-0.0974031260681183,0.05059332481992669,0.21342504326189776,0.015730965031664643,0.22138588890620864,0.020658913027305263,-0.007960845644310727,-0.026063167062792457,0.004953542889160732,0.2336,-0.004927947995640578,-0.01756297380008146,0.0034779159936707176,0.268
confidence_slope_T,earnings,-0.010658611696295853,0.03719143216823341,-0.3029924462853861,0.027585293999512445,-0.12095184635622518,0.024355815167645557,-0.10968312334271546,0.003229478831866709,-0.025011905040561753,0.033299401246697724,0.8164,-0.011268723013510042,-0.038484298907925284,0.015998750402120943,0.4148
confidence_slope_T,pct_opt,-0.010658611696295853,0.03719143216823341,-0.2271378583330326,-0.6251600161426476,-0.26903172844453993,-0.6275809903761487,-0.26058414619351006,0.0024209742335000515,-0.01861788338345164,0.025351504857713567,0.8244,-0.008447582251030792,-0.029615372912316987,0.011501300460941792,0.4192
confidence_slope_T,p_heavy,-0.010658611696295853,0.03719143216823341,-0.06640731467749593,-0.8151708439329123,-0.3260724232755323,-0.8158786537138549,-0.3236026401362308,0.0007078097809411573,-0.005426691867068222,0.007947457343839774,0.8356,-0.002469783139302621,-0.008979502193395706,0.0033040205609491755,0.4152
confidence_slope_T,mean_vigor,-0.010658611696295853,0.03719143216823341,0.021033367777769194,0.4933980350497054,-0.8894797053943099,0.49362222154951446,-0.890261966465288,-0.00022418649980862304,-0.003920994936471662,0.0036986250514407844,0.9576,0.0007822610709764092,-0.003031429535927775,0.004890598257647586,0.7632
confidence_slope_T,escape_rate,-0.010658611696295853,0.03719143216823341,-0.25614315000154597,0.21342504326189776,0.015730965031664643,0.21069491288736533,0.025257295620304886,0.002730130374532541,-0.021955820859571956,0.028610258192405653,0.8144,-0.009526330588640133,-0.033192260096550574,0.013153586724321145,0.4132
confidence_slope_D,earnings,-0.05944739663518873,-0.043825233231933394,-0.30017152785323126,0.027585293999512445,-0.12095184635622518,0.009740878124630823,-0.13410693357397893,0.017844415874881638,-0.010264067355278307,0.048514737431575417,0.2144,0.013155087217753651,-0.015445902773931125,0.04214075932036116,0.3804
confidence_slope_D,pct_opt,-0.05944739663518873,-0.043825233231933394,-0.15293572831686045,-0.6251600161426476,-0.26903172844453993,-0.6342516470435932,-0.2757341724075228,0.009091630900943868,-0.005316663908120987,0.026519662289755858,0.2236,0.00670244396298201,-0.00806386940338965,0.021606068877761824,0.3676
confidence_slope_D,p_heavy,-0.05944739663518873,-0.043825233231933394,-0.047403073958557765,-0.8151708439329123,-0.3260724232755323,-0.8179888332722562,-0.32814987404767787,0.002817989339341569,-0.0015962787933190086,0.009041123074642273,0.2084,0.002077450772144382,-0.0022626688293809877,0.00758808970458343,0.3656
confidence_slope_D,mean_vigor,-0.05944739663518873,-0.043825233231933394,0.02958750392257757,0.4933980350497054,-0.8894797053943099,0.49515693513083747,-0.8881830261341529,-0.001758900081130671,-0.007535823742091757,0.0015163372781368553,0.4168,-0.0012966792601577062,-0.006991234990161441,0.0017846196090784351,0.518
confidence_slope_D,escape_rate,-0.05944739663518873,-0.043825233231933394,-0.28046509311061935,0.21342504326189776,0.015730965031664643,0.1967521236294261,0.003439516912676065,0.016672919632472125,-0.009155263740287472,0.04547231516153864,0.2028,0.012291448118988808,-0.015587903972298681,0.03992580323509202,0.3684
confidence_cal_T,earnings,-0.02084029130115838,0.04779264278284219,-0.296744123238103,0.027585293999512445,-0.12095184635622518,0.021401060029323488,-0.10676966047639894,0.006184233970188908,-0.021561572500331114,0.034220958136927555,0.6352,-0.014182185879826358,-0.04263823358982182,0.012853405902721275,0.314
confidence_cal_T,pct_opt,-0.02084029130115838,0.04779264278284219,-0.21566980704701594,-0.6251600161426476,-0.26903172844453993,-0.6296546377463724,-0.25872429839729794,0.004494621603724432,-0.015900414257197928,0.026109734523710643,0.6484,-0.010307430047242534,-0.03144128552461782,0.00889843658062912,0.2948
confidence_cal_T,p_heavy,-0.02084029130115838,0.04779264278284219,-0.06425413304116212,-0.8151708439329123,-0.3260724232755323,-0.816509918782794,-0.3230015484477754,0.0013390748498812043,-0.004429637771779228,0.00822603644624907,0.6624,-0.003070874827757479,-0.009841533869721959,0.002779694766307454,0.3008
confidence_cal_T,mean_vigor,-0.02084029130115838,0.04779264278284219,0.03090516639729575,0.4933980350497054,-0.8894797053943099,0.4940421077201359,-0.8909567449720803,-0.0006440726704304148,-0.005157555177383349,0.003623974387293613,0.7816,0.0014770395777702536,-0.0021434245000672733,0.00700287734322565,0.5408
confidence_cal_T,escape_rate,-0.02084029130115838,0.04779264278284219,-0.24769174054821738,0.21342504326189776,0.015730965031664643,0.208263075235982,0.02756880790794603,0.005161968025915793,-0.018338721486653487,0.028971905681976825,0.6412,-0.011837842876281382,-0.03473804294514506,0.010987797844394171,0.3228
anxiety_intercept,earnings,0.004895991766776516,0.036391333241162026,-0.16514104073768374,0.027585293999512445,-0.12095184635622518,0.028393823175321,-0.11494214371094792,-0.0008085291758086049,-0.018820564167054535,0.014357708290924425,0.8936,-0.006009702645277362,-0.023350944490816483,0.009739043337179986,0.4516
anxiety_intercept,pct_opt,0.004895991766776516,0.036391333241162026,-0.10934331686764885,-0.6251600161426476,-0.26903172844453993,-0.6246246721635124,-0.265052579362716,-0.0005353439791360446,-0.011872261101185352,0.010090618683921679,0.89,-0.003979149081824582,-0.016097463636775406,0.006564065218961507,0.4456
anxiety_intercept,p_heavy,0.004895991766776516,0.036391333241162026,-0.03964940298846916,-0.8151708439329123,-0.3260724232755323,-0.8149767207823243,-0.32462952863856653,-0.0001941231505891492,-0.004607971833293215,0.0037335840476339986,0.906,-0.0014428946369665068,-0.006202011381012419,0.002462200467673929,0.4812
