subj,sample,F1,F2,F3,F4,F5,F6,F7,F8
1.0,exploratory,0.5977566297743806,0.6436613994513714,-1.3869697209040166,1.2765494741928824,0.5789977784844831,2.3037693709267484,-0.3325152005781864,2.27433202650389
2.0,exploratory,-1.3780819529795885,-0.417261869100926,0.012080919813738527,0.4201267843079566,0.17538219014866185,0.3283024994872169,-0.14147909704349448,0.21332158795250802
3.0,exploratory,0.2371732382648177,-0.3937275664654918,-0.8409364180244728,0.37910797252821454,-0.8391609969440442,-2.114737591403031,0.057568179625757894,0.16796651994135883
4.0,exploratory,-0.37654412483211464,-0.16633335966713664,1.8039387585817421,0.40905314312048635,3.1666592431230747,-1.2689819779203284,-0.35283188147426076,-0.25362762184712134
5.0,exploratory,-1.172097396267785,-0.1705762223363257,1.288298421206629,0.18198850172859526,0.08874347419703515,0.1409585148031685,0.2595474676710995,-0.7226822770810966
6.0,exploratory,0.4995096272261451,-0.41388566676746796,-1.1761761137931497,1.0975328865309517,0.7210426818325918,-0.038588597797372615,0.17285112119054188,0.9315124854065628
7.0,exploratory,-1.031575719421457,-0.48574505494269676,-0.45324113034104563,0.36918427462347536,0.44352567018977007,1.337578307773009,0.01900894203386656,1.2699279473575495
8.0,exploratory,1.2694083333468924,-1.0397936870954403,1.4228286619161066,1.0139399655148749,-0.6463274046125371,1.634371894122537,0.012411251046663728,-1.0179195487007084
9.0,exploratory,-0.3902940332931572,-0.7363662817376985,-1.693264370976635,0.27402786566755727,-0.10657186499462949,0.9169328181715783,1.0182270132637077,0.7476603226647032
10.0,exploratory,-1.356634135038426,-0.11190486877546783,-0.20292365969877807,0.08126607509374963,-0.5853891402006125,0.15089953119400706,-0.5417449344240672,-0.42084491314020517
11.0,exploratory,-0.2397256173875479,-1.0676695775074478,-0.88585119817046,-0.4342428779059424,-1.19224606947879,0.4456616204300426,-0.6675640903110024,0.5793964272293494
12.0,exploratory,-0.8529375066271007,-1.139333813390257,-0.5441429253350115,-1.3150332673191858,0.49685904475058507,0.52632526716998,-0.13696087512023597,-0.6846233628323729
13.0,exploratory,0.060265970363433695,-1.6587173916478926,-1.651396905742307,-2.278174380348445,-0.6147998739933119,-0.05553486966584688,0.7436466439537753,0.09762401653868844
14.0,exploratory,-0.020246405036349488,-0.24491551263806852,-0.4717197891759464,0.2631383646164142,1.2729124740555002,-0.9769814235729094,2.362060131715901,-0.4870284201627323
15.0,exploratory,-1.0297006644316942,-0.6709602166189017,0.2626644848141901,-0.12468263619271161,-0.4473818836568401,0.027458100973872353,-0.5948684723246808,-0.301429157551455
16.0,exploratory,-1.0524685275218162,-0.5095320448064452,-0.036703748520927296,0.35640653774639625,-0.5716587108349126,-0.7499514136995075,-0.383095068038505,0.16613072196708115
17.0,exploratory,0.7845303772584327,-1.5874144920606774,-0.4533046169067387,-0.36434499157708833,1.3083881720639863,0.0792999384823997,-0.15074078541748132,-0.7207803885847925
18.0,exploratory,0.47771501049197235,-1.090477113874432,0.7212318168399788,-1.8049822620896792,-1.8233046644933832,2.916666604901867,0.8390885607347327,-3.154086191740505
19.0,exploratory,-0.020552032280327433,-0.605392080426829,-1.293363204149614,0.1108264747395357,-0.7124293578431478,0.802236901880424,2.215321796507834,0.9227088265123565
20.0,exploratory,0.7940436550156119,-0.8437926581029866,-1.3191390830611596,-2.4184206623091855,0.10557289256341577,0.3505226224578915,-0.8736999200028808,-0.4559845568941806
21.0,exploratory,-0.5863172515211483,-0.5591714411799752,-0.6243745884749641,-0.316238553620368,2.9591902622150936,0.2356651513275367,-1.5943463485419176,-0.3589835091008152
22.0,exploratory,0.2719163622788129,-0.8467964075546596,-2.0050700722025017,-1.666522294806637,-1.595502940810703,0.9613893953080754,-0.4484069753604556,-0.6772876812435791
