outcome,sample,model,N,R2,F_p,predictor,beta,p
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,DASS21_Anxiety,-0.05065893281784743,0.6458399223803358
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,DASS21_Depression,0.010770982852946049,0.9294797295321403
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,DASS21_Stress,-0.07468311309474147,0.5528631828842892
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,OASIS_Total,-0.1240759488826095,0.2546957193484476
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,STICSA_Total,0.17211024308607872,0.20515558971843556
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,AMI_Behavioural,-0.021972459149736626,0.7903403581151671
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,AMI_Social,0.12384814234339837,0.09540777111961685
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,AMI_Emotional,0.0622551123587774,0.35096895164255043
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,MFIS_Total,-0.007743618640575573,0.9417732258156283
omega_z,exploratory,clinical_only,289,0.028860217822644252,0.6036878337270696,PHQ9_Total,-0.009416954496861933,0.9440331695507523
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,DASS21_Anxiety,0.1556905131107364,0.17761274670793328
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,DASS21_Depression,0.07543039170803564,0.5878773236251194
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,DASS21_Stress,-0.15664204979192747,0.23699540196772062
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,OASIS_Total,-0.1948432011193474,0.09925142556861426
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,STICSA_Total,0.11260634925364926,0.35708832813207103
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,AMI_Behavioural,0.05321315031037356,0.4939566173594028
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,AMI_Social,0.18727002004775267,0.00908457823592566
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,AMI_Emotional,0.04665423012359449,0.45000560981112414
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,MFIS_Total,0.04892861425708907,0.6527188320381495
omega_z,confirmatory,clinical_only,281,0.06007156671509861,0.07497384290409444,PHQ9_Total,-0.1611574095906784,0.2385232091311118
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,DASS21_Anxiety,-0.06027794226684947,0.581690692562806
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,DASS21_Depression,-0.038412380483936796,0.750929797972664
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,DASS21_Stress,-0.09933432372690627,0.42893626879875574
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,OASIS_Total,-0.07571369042427739,0.48861045922920204
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,STICSA_Total,0.19552989654584824,0.1496834205275542
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,AMI_Behavioural,-0.016950550164072483,0.8363460969029705
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,AMI_Social,0.09640616899336901,0.19413661896133386
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,AMI_Emotional,0.08867899895250034,0.18151548087093108
omega_z,exploratory,clinical_plus_affect,289,0.0809890480545109,0.09965490873959615,MFIS_Total,-0.033653790322365554,0.7512022282300171
