outcome,sample,N,R2,predictor,beta,se,t,p
omega_z,exploratory,290,0.06251374766778606,anxiety_slope_T,0.01140815213078229,0.08109313721033139,0.1406796249748354,0.888223832917785
omega_z,exploratory,290,0.06251374766778606,anxiety_slope_D,0.06715217699628227,0.06547172564527563,1.0256668254035535,0.3059307721714648
omega_z,exploratory,290,0.06251374766778606,anxiety_slope_reward,0.0700509776992195,0.06957348124688807,1.0068631962031191,0.3148667402847806
omega_z,exploratory,290,0.06251374766778606,confidence_slope_T,-0.07972584105064229,0.09003913387193452,-0.885457662931752,0.3766669218694113
omega_z,exploratory,290,0.06251374766778606,confidence_slope_D,-0.11088349930266563,0.06648937468728468,-1.6676875038181223,0.09649175524939034
omega_z,exploratory,290,0.06251374766778606,confidence_slope_reward,-0.22275541799761223,0.07243655152701461,-3.0751797718384957,0.002310889080918401
omega_z,exploratory,290,0.06251374766778606,anxiety_intercept,0.11037228022253492,0.09640426955482896,1.14488995904649,0.25322894936299006
omega_z,exploratory,290,0.06251374766778606,confidence_intercept,-0.2867001295574893,0.09565043428000161,-2.997374049742626,0.0029665369992703614
omega_z,confirmatory,281,0.06788973141314159,anxiety_slope_T,-0.03129770938752932,0.09315485115475856,-0.33597508878559956,0.7371486734355994
omega_z,confirmatory,281,0.06788973141314159,anxiety_slope_D,0.024550511870048246,0.0688418125617537,0.3566221015465784,0.721651215933867
omega_z,confirmatory,281,0.06788973141314159,anxiety_slope_reward,-0.10124141112236928,0.07064910809792027,-1.4330175404627588,0.1530011866077672
omega_z,confirmatory,281,0.06788973141314159,confidence_slope_T,-0.0071593397496060715,0.0801941269725173,-0.0892751130274115,0.9289289707269184
omega_z,confirmatory,281,0.06788973141314159,confidence_slope_D,-0.04017751457206945,0.07039721916536655,-0.5707258759424926,0.5686566667456477
omega_z,confirmatory,281,0.06788973141314159,confidence_slope_reward,-0.2947429732154334,0.07131576116527465,-4.1329289402431675,4.773643897509618e-05
omega_z,confirmatory,281,0.06788973141314159,anxiety_intercept,-0.07934831050744884,0.10599038248286222,-0.7486368918451523,0.45472295451310385
omega_z,confirmatory,281,0.06788973141314159,confidence_intercept,-0.16204657429339145,0.09522581613013763,-1.7017084324269287,0.0899526981636337
kappa_z,exploratory,290,0.044870760747036886,anxiety_slope_T,-0.055714337672374055,0.08185264509175738,-0.6806663072392822,0.49664312711283126
kappa_z,exploratory,290,0.044870760747036886,anxiety_slope_D,-0.0033602276005561087,0.066084925397422,-0.05084711196007785,0.9594834743008374
kappa_z,exploratory,290,0.044870760747036886,anxiety_slope_reward,0.07145471623150577,0.07022509751385034,1.0175096761868208,0.3097862912276145
kappa_z,exploratory,290,0.044870760747036886,confidence_slope_T,-0.08264172745562139,0.09088242880619182,-0.9093256918986633,0.3639575020398662
kappa_z,exploratory,290,0.044870760747036886,confidence_slope_D,-0.06982049425470037,0.06711210560932436,-1.0403561864254742,0.29906875044463616
kappa_z,exploratory,290,0.044870760747036886,confidence_slope_reward,-0.1957082145369167,0.0731149829415669,-2.676718323155811,0.00787162558877226
kappa_z,exploratory,290,0.044870760747036886,anxiety_intercept,0.0516243510290152,0.09730717953030689,0.5305297232763436,0.5961637158204087
kappa_z,exploratory,290,0.044870760747036886,confidence_intercept,-0.21798740596374064,0.09654628393136058,-2.2578539233961448,0.024722141204184644
kappa_z,confirmatory,281,0.07761756955828325,anxiety_slope_T,0.015383731523617696,0.09266747744543298,0.16601003877197767,0.8682723785296543
kappa_z,confirmatory,281,0.07761756955828325,anxiety_slope_D,-0.13687429003357232,0.06848164141522715,-1.9987004868013838,0.04663585387684102
kappa_z,confirmatory,281,0.07761756955828325,anxiety_slope_reward,0.16022049320359874,0.07027948142311592,2.279762029531708,0.023396224461349296
kappa_z,confirmatory,281,0.07761756955828325,confidence_slope_T,0.033117865081055214,0.07977456203688349,0.4151431764143473,0.6783643659037775
kappa_z,confirmatory,281,0.07761756955828325,confidence_slope_D,-0.1128022831925786,0.0700289103397335,-1.6107959219319172,0.10838401775119903
kappa_z,confirmatory,281,0.07761756955828325,confidence_slope_reward,-0.1601243397197672,0.07094264665087588,-2.257095657958375,0.024795616146657755
kappa_z,confirmatory,281,0.07761756955828325,anxiety_intercept,0.0016562544329738868,0.1054358549920964,0.015708645157741088,0.9874783460429668
kappa_z,confirmatory,281,0.07761756955828325,confidence_intercept,-0.19655076611916872,0.0947276074093293,-2.0749047874697117,0.038935512458201864
