factor,actual_eigval,random_95pct,keep
1,41.97496307570597,2.053287301686875,True
2,6.022342770444283,1.9787899322280074,True
3,3.938211470020172,1.9224220618585328,True
4,3.200865899667238,1.8845453447075142,True
5,2.5353513999121233,1.8437199650444813,True
6,2.033570308426711,1.8104484740710525,True
7,1.8395739829325017,1.7775756274337622,True
8,1.769740204459195,1.7443867605834886,True
9,1.3958704822574926,1.7182663984568545,False
10,1.342148209483351,1.6902548458583944,False
11,1.1483112533337905,1.6665534721692448,False
12,1.0894571865557605,1.6411136277768892,False
13,1.0273167015133038,1.6200697268409372,False
14,1.0016903341842103,1.5926964985213148,False
15,0.9514751579365651,1.5688869740090574,False
16,0.9380668477719111,1.5471930642362732,False
17,0.9327297337179992,1.5276804669549764,False
18,0.9004560518910167,1.5044504764464923,False
19,0.870330234907064,1.4858474740642218,False
20,0.8390057978824024,1.466490111340884,False
21,0.823451688225372,1.4444557042006294,False
22,0.7879338436382216,1.429487077730406,False
23,0.7525535320996497,1.4080214256665664,False
24,0.7359259178478644,1.3898950343919938,False
25,0.7279526370318863,1.3724895080586215,False
26,0.7043938399405653,1.3550377641191846,False
27,0.6849779424672366,1.3381523096677457,False
28,0.6662524308600973,1.3198834809621265,False
29,0.6502598207940902,1.303139208689526,False
30,0.6404644454221429,1.2839577818623382,False
31,0.6347851781357643,1.271561953366928,False
32,0.6010201820125969,1.2545916490880755,False
33,0.5847790271789556,1.240751990169049,False
34,0.5829847484799653,1.2250607980643862,False
35,0.5644732221243967,1.20750166006092,False
36,0.5553481289759197,1.1938231203557172,False
37,0.5473800562620942,1.1773952681248328,False
38,0.521212677682288,1.1610670718606289,False
39,0.5146088187928086,1.1490475225654666,False
40,0.5024769191032945,1.1342637607842625,False
41,0.48846307386557336,1.118713922533372,False
42,0.4838765451620341,1.1040404115816091,False
43,0.4712351075742537,1.0907588262579806,False
44,0.46907734986118066,1.0769579546391181,False
45,0.45314399951075623,1.063513808739428,False
46,0.44552664856226626,1.0500995302273786,False
47,0.43088827733572727,1.03565450634334,False
48,0.42829260805784686,1.0239006811265416,False
49,0.414602236010391,1.0111836921826514,False
50,0.4064092063537493,0.9966906244822887,False
51,0.40319103587787575,0.9843030113361676,False
52,0.3923417055634104,0.9712889554769607,False
53,0.3843719706799618,0.9596403832057684,False
54,0.37256327847056714,0.9462755907025083,False
55,0.36994592998305703,0.9337709077825217,False
56,0.3621373304935536,0.9215756514429014,False
57,0.34684542708553884,0.9106831360548596,False
58,0.3465395579766873,0.8975029432162184,False
59,0.34088250974762585,0.8849718061269836,False
60,0.3335826255321617,0.8720362233721562,False
61,0.3240819884116314,0.8609053208797782,False
62,0.31683321078842774,0.8485109378202116,False
63,0.31416984936595527,0.8379457917871069,False
64,0.3078031584342258,0.8258284895049158,False
65,0.30470396961887247,0.8143269156104229,False
66,0.30214941042714616,0.8028802762197539,False
67,0.2922970339508913,0.7903454652511047,False
68,0.28617878854680284,0.7811625302034652,False
69,0.28047558628968206,0.7696883085856009,False
70,0.2676075225905768,0.7571194973770928,False
71,0.2641328196244096,0.7467314266487737,False
72,0.25828110228858436,0.7354704972421874,False
73,0.25620675747598465,0.7247890444669016,False
74,0.25171325586471655,0.7129163196644385,False
75,0.24660975903185833,0.7027015273554006,False
76,0.24053390755818568,0.6913442449289796,False
77,0.2351017213900989,0.6821629011974591,False
78,0.22354983648848767,0.6700020185110208,False
79,0.2186765385277659,0.6589561795229886,False
80,0.212136293982861,0.6487678541210206,False
81,0.20804971055732074,0.638996723763129,False
82,0.20263462540336177,0.6288449047442225,False
83,0.19660349596203527,0.6175345848958101,False
84,0.1913371990301294,0.6066039741227888,False
85,0.1887047411875612,0.5968559079481052,False
86,0.18776382804603564,0.5866376433113225,False
87,0.1811053463749625,0.5757769054945727,False
88,0.1791195262980131,0.56589020664568,False
89,0.16904726216698426,0.5539877292073083,False
90,0.16603738901721468,0.544778245981263,False
91,0.16429968647852405,0.5349921624908922,False
92,0.15724050116522367,0.5226044802203748,False
93,0.1515955100533981,0.513071078017901,False
94,0.1492005276405046,0.5026527022135262,False
95,0.14591387725766097,0.4917292756020042,False
96,0.139507829777528,0.4814755929700343,False
97,0.1370692379727867,0.46989720087783987,False
98,0.13104530214731205,0.4588620847057566,False
99,0.12742189772062995,0.4496598850307657,False
100,0.12109711311437264,0.4371366015277693,False
101,0.11670994171693588,0.4254085701116044,False
102,0.11289118894109304,0.41399597255198284,False
103,0.10639553115185581,0.4016150487784225,False
104,0.10170869873286943,0.38710930964683443,False
105,0.09908690134247702,0.37222009650748095,False
106,0.08654203630353541,0.3548767395403856,False
