subj,intercept,b_threat,b_distance,b_cookie,r2
1,2.8611111111111094,-3.6028821113023983e-16,0.2500000000000001,-0.44444444444444453,0.016425389755010844
2,3.5208333333333295,-1.0416666666666667,0.9999999999999996,0.777777777777778,0.30962128966223146
3,3.0555555555555527,1.0358626713062624e-16,0.5,1.0000000000000002,0.2591170825335891
4,-1.2152777777777781,3.541666666666667,0.6666666666666663,0.4444444444444447,0.7140052356020943
5,4.513888888888886,-2.083333333333332,0.4166666666666672,0.44444444444444486,0.15323795180722855
6,1.1111111111111098,4.166666666666665,-0.0833333333333329,1.555555555555555,0.673564189189189
7,3.0208333333333313,0.6250000000000002,6.938893903907228e-16,0.6666666666666665,0.06547619047619047
8,2.118055555555553,4.375,0.5833333333333338,0.33333333333333265,0.6364414029084688
9,6.694444444444439,-1.789369901231057e-15,0.08333333333333297,0.222222222222221,0.1718749999999999
10,3.388888888888888,3.333333333333332,0.16666666666666682,0.3333333333333333,0.7321100917431194
11,5.1041666666666625,1.4583333333333317,-0.16666666666666657,1.222222222222221,0.33140495867768627
12,1.2013888888888837,2.7083333333333335,0.6666666666666674,3.1111111111111107,0.5991014799154335
13,0.5347222222222211,5.208333333333334,-0.24999999999999947,1.222222222222222,0.8955722639933166
14,2.541666666666665,3.7499999999999987,0.5833333333333334,1.2222222222222219,0.671767028627838
15,-0.3263888888888931,1.041666666666668,2.9166666666666665,1.1111111111111116,0.7314814814814814
16,5.902777777777772,1.2499999999999984,0.2500000000000001,-1.0000000000000018,0.20827489481065908
17,1.4861111111111083,2.0833333333333335,0.25000000000000094,1.2222222222222219,0.39241379310344815
18,3.451388888888888,1.0416666666666647,0.2500000000000001,-0.5555555555555556,0.06124093473005654
19,1.5486111111111067,3.9583333333333326,0.5833333333333339,0.7777777777777766,0.7933094384707288
20,6.4999999999999964,-1.4155343563970746e-15,-0.499999999999999,-1.333333333333333,0.13095238095238093
21,2.2222222222222205,-0.833333333333334,0.41666666666666663,2.222222222222223,0.3464714714714714
22,1.5694444444444426,5.416666666666666,0.16666666666666727,1.1111111111111107,0.7588075880758808
23,1.34722222222222,3.7499999999999996,0.666666666666667,0.11111111111111042,0.7542043984476068
24,3.9583333333333313,2.083333333333332,0.33333333333333404,1.4444444444444435,0.3468149646107178
25,0.9305555555555507,4.583333333333333,0.6666666666666676,1.4444444444444435,0.7617217524980784
26,-0.9652777777777795,2.7083333333333335,1.1666666666666667,-0.6666666666666674,0.39004010695187175
27,4.534722222222221,-0.6250000000000011,-0.33333333333333254,0.7777777777777769,0.042298288508557436
28,1.3472222222222179,3.7499999999999996,0.33333333333333404,1.5555555555555542,0.7263374485596708
29,2.1458333333333295,2.708333333333332,0.8333333333333333,-0.6666666666666679,0.3130341880341879
30,3.152777777777773,2.083333333333333,0.25000000000000033,0.9999999999999989,0.5920096852300241
31,4.930555555555554,0.4166666666666641,0.41666666666666635,0.22222222222222193,0.18849206349206304
32,0.8541666666666627,3.958333333333333,0.16666666666666752,1.4444444444444435,0.8360560093348891
33,1.9999999999999987,2.4999999999999996,0.08333333333333368,0.6666666666666665,0.41421568627450966
34,2.8124999999999987,2.7083333333333326,0.5000000000000002,0.7777777777777777,0.566772655007949
35,4.020833333333332,1.4583333333333326,0.25000000000000033,1.3333333333333328,0.5347222222222221
36,1.6319444444444402,3.124999999999999,0.2500000000000006,1.6666666666666652,0.6450167973124299
37,6.034722222222219,0.20833333333333198,0.08333333333333398,0.666666666666666,0.33620689655172387
38,2.4513888888888875,3.5416666666666665,0.6666666666666669,1.2222222222222219,0.5602928509905254
39,1.3402777777777748,1.041666666666666,0.25,1.5555555555555551,0.2872093023255814
40,3.270833333333332,1.4583333333333328,3.191891195797325e-16,0.5555555555555554,0.08602620087336232
41,1.9791666666666659,1.874999999999999,0.75,1.3333333333333333,0.1706349206349207
42,4.479166666666663,2.708333333333332,0.16666666666666718,0.11111111111111072,0.17037279267495098
43,2.8263888888888844,0.6250000000000001,0.41666666666666663,1.7777777777777777,0.4436416184971098
44,6.999999999999997,-1.4155343563970746e-15,6.938893903907228e-16,-7.216449660063518e-16,-inf
45,1.847222222222217,2.9166666666666665,0.9166666666666671,1.8888888888888884,0.6795555555555556
46,1.0416666666666647,4.583333333333334,1.0,0.7777777777777779,0.790901835594573
47,3.722222222222221,-3.1299310168811834e-15,0.16666666666666644,2.777777777777777,0.46362968405584126
48,7.250000000000003,-5.833333333333337,-0.6666666666666682,-1.888888888888888,0.8534718425369054
49,2.4583333333333313,1.2499999999999993,0.5833333333333337,3.1111111111111107,0.3640175718849842
50,1.9722222222222194,1.6666666666666659,-0.24999999999999956,1.7777777777777772,0.5020604395604396
51,0.8819444444444398,3.125,1.0000000000000002,0.8888888888888886,0.4649849397590361
52,3.826388888888884,-0.2083333333333346,1.4999999999999996,0.5555555555555554,0.3821774794929157
53,2.0277777777777724,4.166666666666671,0.6666666666666676,0.9999999999999999,0.6786026200873363
54,5.923611111111112,-3.125000000000002,-0.9166666666666672,-0.3333333333333328,0.7799113737075333
55,4.090277777777779,-1.4583333333333357,-0.9166666666666672,-1.9999999999999993,0.7237500000000001
56,1.4444444444444415,3.3333333333333326,0.3333333333333335,-0.3333333333333348,0.27060350421804025
