,conf_accuracy,conf_accuracy_EV,anx_accuracy
1,0.536608464676368,0.5166060170616259,-3.107285155203911e-17
2,-0.006600390538594074,0.13068981028959467,-0.19591529930963136
3,-0.08390053659567273,-0.1539433156491698,1.1299817281637217e-17
4,0.5642181741561679,0.438180610719029,0.7532651438659239
5,-0.047979927360413344,-0.23970344512879055,-0.3360830362111656
6,0.7512975608451992,0.6472252017799556,0.7118684968143745
7,0.2345275998591438,0.14333459374291288,0.1336306209562122
8,0.6315064493680691,0.5908544956839078,0.7522421574686268
9,-0.20345267299531308,-0.18881476336452116,-1.3763104610005937e-17
10,0.5338499265192819,0.5570139383105828,0.839396900139203
11,0.31984158255042405,0.2684498140883612,0.34855071841237856
12,0.47555961338150854,0.4089244110666311,0.3660398896919104
13,0.4751531425670148,0.25477641810664703,0.884990406755986
14,0.38525846517514056,0.21137165630056318,0.6926493196131168
15,0.6546635158349069,0.5667388225101176,0.11785113019775793
16,-0.07895033551243237,-0.1987768309188301,0.2752023353565414
17,0.720415566615448,0.6349690451543737,0.4548588261473421
18,0.15116322187970654,-0.03824437627214923,0.17383200648512998
19,0.37934193683653666,0.33634365008159767,0.8043341376678733
20,0.4811003554757062,0.4173096166800524,1.3208414014472558e-17
21,0.5967609216826745,0.6123912093675135,-0.13423121104280486
22,0.4653406725234801,0.4448438884716852,0.8288497269823398
23,0.2855102950248427,0.19189840929174734,0.7929182023070263
24,0.2866396450220589,0.28585562060294606,0.3894462117810063
25,-0.3708010215516394,-0.4167364186596062,0.7470155840806397
26,0.4082109842086122,0.25935549968457006,0.4116453226477304
27,0.5159792878127251,0.5419461360803763,-0.08124941226042831
28,-0.39044871488598953,-0.18243219159162977,0.7071067811865477
29,0.09340642100724848,-0.0492975895877542,0.42491829279939874
30,0.2919951772525313,0.14932098242301614,0.602657552767731
31,0.3718035919158843,0.27860491342283483,0.15430334996209194
32,0.3101119137405268,0.3392929555952123,0.7948932690734041
33,0.3735987551833089,-0.009659054156618763,0.5940885257860047
34,0.5165022960743298,0.36960595308396493,0.6348390880581868
35,-0.1225154347714956,-0.2324118521804082,0.4124789556921527
36,0.703036553378118,0.49941635340198565,0.6147678664953562
37,0.4021053648954866,0.32926291488579845,0.11371470653683553
38,0.471130887089479,0.32696537902659306,0.6110523814861512
39,0.5821146596951317,0.15959989372407002,0.20881726739613923
40,0.3381306995593014,0.20102286554597837,0.2533616777217724
41,0.3039862354496095,0.21958573838041265,0.2314550249431379
42,,,0.407178875947241
43,-0.07705453469558979,0.08020935198609164,0.1396734424299452
44,-0.1538952060567015,-0.18217096384480985,
45,0.5300393017560089,0.40059553743215986,0.511207720338155
46,-0.5878266278391125,-0.5319089123190222,0.7611894753596138
47,0.5734679814507566,0.18242260644216657,-2.291899703689639e-17
48,0.6213980558327911,0.5418899475821642,-0.8018567845306034
49,0.584531002907846,0.6753327938081622,0.1468519499620885
50,0.31407263426452964,0.2882474576812122,0.36313651960128146
