subj,intercept,b_threat,b_distance,b_cookie,r2
1,6.055555555555559,-5.833333333333333,-0.5833333333333324,-0.22222222222222188,0.6797722342733189
2,1.7083333333333328,-0.4166666666666661,-0.16666666666666655,0.3333333333333331,0.022222222222222143
3,4.02083333333333,0.6249999999999999,1.6653345369377348e-16,0.44444444444444425,0.08885542168674665
4,8.680555555555552,-6.25,-0.66666666666667,-1.777777777777778,0.8755144032921811
5,4.687499999999998,-1.8749999999999993,0.2499999999999981,-1.4444444444444449,0.3872611464968154
6,5.256944444444441,-1.4583333333333326,-1.4166666666666672,-0.2222222222222235,0.5459401709401709
7,3.347222222222221,1.2500000000000007,-1.0833333333333335,0.11111111111111044,0.2907634307257302
8,6.680555555555556,-5.41666666666667,-0.7500000000000012,-1.333333333333334,0.8417763157894737
9,1.562500000000001,-0.6250000000000019,0.41666666666666646,-1.1111111111111114,0.16852678571428592
10,4.805555555555553,-2.4999999999999996,-0.6666666666666674,-0.22222222222222293,0.2401215805471124
11,3.097222222222223,-1.2500000000000009,-0.2500000000000002,0.11111111111111051,0.148590021691974
12,5.10416666666667,-2.708333333333335,-1.0833333333333337,-1.8888888888888902,0.6352753391859538
13,6.097222222222219,-5.416666666666666,-0.16666666666666896,-1.1111111111111114,0.8408408408408409
14,7.638888888888887,-4.166666666666668,-1.000000000000003,-3.333333333333333,0.770197486535009
15,5.819444444444446,-1.2500000000000013,-2.4166666666666665,-1.3333333333333353,0.5486842105263159
16,5.034722222222221,-1.4583333333333337,0.583333333333333,-0.7777777777777786,0.08888888888888902
17,6.423611111111111,-3.1250000000000013,-1.0833333333333317,-0.6666666666666674,0.6641949152542372
18,3.4652777777777763,-1.041666666666666,-0.5000000000000006,-1.222222222222222,0.10880696364567344
19,7.659722222222223,-4.374999999999999,-0.2500000000000007,-1.4444444444444453,0.6845093268450932
20,6.58333333333333,-5.833333333333334,-0.33333333333333615,-1.3333333333333337,0.8115942028985508
21,5.194444444444445,-4.166666666666671,-0.6666666666666679,0.7777777777777779,0.41182974018794927
22,3.8819444444444433,-3.5416666666666674,-0.6666666666666686,-6.938893903907228e-16,0.5831497797356828
23,5.458333333333334,-2.91666666666667,-1.27675647831893e-15,-1.4444444444444455,0.6181575433911883
24,4.805555555555551,-0.8333333333333314,-0.16666666666666655,1.8888888888888864,0.16333845366103406
25,4.541666666666663,0.41666666666666696,0.2500000000000002,0.22222222222222227,0.05490654205607515
26,5.666666666666669,-1.666666666666668,-1.166666666666667,-1.88888888888889,0.34414597060314245
27,3.1597222222222205,-1.8749999999999998,-0.6666666666666674,-5.967448757360216e-16,0.314306358381503
28,3.0069444444444415,1.0416666666666674,0.9166666666666666,0.3333333333333336,0.21734985700667286
29,3.4513888888888884,0.20833333333333207,-0.33333333333333315,0.11111111111111051,0.0255544840887173
30,5.118055555555555,-2.291666666666667,-0.08333333333333381,-0.8888888888888893,0.4507299270072993
31,3.4791666666666656,0.20833333333333223,-0.9166666666666671,-0.5555555555555555,0.2128966223132035
32,5.8819444444444455,-2.7083333333333335,-0.4166666666666673,-2.5555555555555567,0.7529843893480257
33,6.048611111111107,-2.7083333333333326,-0.250000000000002,-2.3333333333333326,0.8623629719853836
34,5.09722222222222,-3.75,-0.3333333333333352,-1.6666666666666667,0.7712486883525709
35,2.6458333333333326,-0.6250000000000001,-1.2490009027033011e-15,0.44444444444444337,0.015997830802603308
36,7.097222222222225,-3.750000000000001,-1.333333333333334,-1.444444444444446,0.8426601784266019
37,4.749999999999998,-2.5,-0.8333333333333347,-2.6666666666666665,0.6541666666666667
38,7.256944444444441,-3.9583333333333326,-1.166666666666669,-1.444444444444445,0.47181775481446675
39,4.590277777777779,-2.2916666666666674,-0.6666666666666669,-0.8888888888888898,0.5580065359477124
40,5.256944444444442,-2.291666666666666,-0.3333333333333348,-0.6666666666666672,0.2558262711864405
41,4.152777777777776,-0.4166666666666664,-1.1666666666666674,-2.333333333333333,0.4884640738299276
42,0.0,0.0,0.0,0.0,
43,3.4722222222222205,0.8333333333333333,0.0,-0.8888888888888891,0.1009174311926605
44,-0.7291666666666666,1.4583333333333337,6.517802233566252e-16,0.7777777777777775,0.14705882352941146
45,5.611111111111114,-2.5000000000000013,-1.2500000000000002,-2.1111111111111125,0.643560872624912
46,0.9583333333333327,4.583333333333335,1.0833333333333341,0.7777777777777769,0.7001361470388019
47,3.951388888888888,-0.6250000000000009,-1.416666666666667,-1.4444444444444442,0.5849952516619185
48,7.30555555555556,-6.666666666666668,-0.7499999999999988,-1.1111111111111112,0.8136574074074074
49,3.1249999999999987,-1.2500000000000002,-1.5,0.8888888888888876,0.4389534883720929
50,6.472222222222223,-3.333333333333333,-0.25000000000000056,-2.0000000000000004,0.7643008474576272
51,8.354166666666668,-2.708333333333334,-1.3333333333333337,-1.8888888888888902,0.7612982744453575
52,4.083333333333334,-1.1102230246251565e-16,-1.0833333333333335,-2.4444444444444455,0.5313400576368876
53,4.9861111111111125,-3.7500000000000036,-0.3333333333333337,-2.0,0.7581818181818182
54,7.0625,-3.9583333333333344,-1.0833333333333317,-0.5555555555555556,0.8826695371367062
55,4.256944444444445,-1.458333333333334,-0.7499999999999989,-1.5555555555555562,0.5171957671957672
56,3.2638888888888893,-2.083333333333333,-3.608224830031759e-16,-0.3333333333333338,0.23909774436090236
57,8.46527777777778,-3.541666666666667,-0.5833333333333341,-3.5555555555555567,0.8338779956427016
58,6.34027777777778,-6.458333333333332,-0.333333333333334,-0.8888888888888897,0.7867798353909465
59,5.743055555555553,-0.20833333333333273,-0.0833333333333344,-0.3333333333333346,0.01576872536136642
60,5.361111111111112,-2.500000000000001,5.551115123125783e-16,-1.7777777777777786,0.2645739910313901
61,7.6736111111111125,-6.458333333333333,-0.33333333333333404,-0.7777777777777788,0.8800116211504939
62,4.0347222222222205,0.2083333333333337,-0.2500000000000008,-0.44444444444444525,0.17222222222222194
63,9.423611111111107,-6.458333333333332,-1.0833333333333366,-1.7777777777777783,0.8395008605851979
64,4.958333333333335,-2.91666666666667,-0.5000000000000012,-1.2222222222222237,0.40535868625756233
65,5.881944444444446,-3.541666666666666,-9.43689570931383e-16,-3.000000000000001,0.7663150955833883
66,2.4513888888888875,1.0416666666666674,0.2499999999999997,2.2222222222222205,0.3579365079365078
67,5.076388888888889,-3.541666666666666,0.5833333333333328,-1.777777777777778,0.2825925925925926
68,6.0,-1.66666666666667,-1.4999999999999996,-1.3333333333333335,0.545045045045045
69,6.618055555555557,-3.9583333333333344,-1.416666666666667,-1.2222222222222234,0.542305789213261
70,1.2986111111111098,0.624999999999999,0.8333333333333333,-0.33333333333333326,0.13382467028704392
71,4.312500000000002,-1.4583333333333353,-0.25000000000000033,-1.111111111111112,0.09699170124481338
72,1.7499999999999993,-0.8333333333333333,-0.33333333333333387,-0.9999999999999997,0.3873873873873873
73,4.416666666666667,-1.6666666666666676,-0.5833333333333324,-1.0000000000000004,0.5251572327044024
74,6.625,-2.9166666666666665,-0.16666666666666702,-0.8888888888888894,0.43540669856459324
75,4.423611111111112,-3.1250000000000004,-0.4166666666666659,-9.71445146547012e-17,0.732421875
76,3.562499999999998,0.20833333333333337,0.33333333333333354,0.5555555555555554,0.29190751445086727
77,7.222222222222222,-2.5000000000000004,-0.7499999999999981,-2.000000000000001,0.4317885117493473
78,0.7500000000000001,-0.8333333333333338,-0.33333333333333387,0.44444444444444403,0.23529411764705888
79,4.402777777777776,2.083333333333335,0.33333333333333304,1.1111111111111094,0.38055555555555554
80,3.083333333333335,-1.6666666666666683,-0.25000000000000033,-0.7777777777777785,0.2908256880733944
81,7.458333333333336,-6.249999999999999,-1.0000000000000007,-1.1111111111111125,0.7059322033898304
82,4.916666666666667,-1.666666666666667,-0.4166666666666671,-1.111111111111112,0.4670000000000003
83,1.0624999999999996,1.0416666666666665,0.7499999999999996,-2.1111111111111107,0.4034134988363074
84,8.972222222222223,-4.166666666666669,-1.3333333333333313,-2.666666666666668,0.6610169491525424
85,6.736111111111112,-4.583333333333334,-0.6666666666666654,-0.4444444444444442,0.7702205882352942
86,6.798611111111112,-3.5416666666666683,-0.916666666666665,-0.22222222222222252,0.7815656565656566
87,8.243055555555552,-3.5416666666666656,-0.9166666666666686,-0.3333333333333347,0.638689866939611
88,5.812500000000001,-3.9583333333333366,-0.5000000000000011,-1.5555555555555565,0.5605524079320113
89,4.194444444444446,-2.500000000000001,-0.8333333333333337,-1.8888888888888902,0.5161544523246652
90,8.173611111111112,-2.2916666666666683,-2.25,0.22222222222222027,0.7418793503480279
91,8.888888888888888,-2.500000000000003,-1.416666666666668,-0.8888888888888887,0.5735530546623795
92,1.9722222222222217,3.333333333333334,0.5833333333333337,1.1111111111111098,0.5068181818181818
93,5.722222222222225,-2.500000000000002,-0.5833333333333337,-1.000000000000001,0.18664987405541533
94,5.805555555555557,-4.999999999999999,-0.7500000000000006,-0.7777777777777789,0.7321302193913659
95,9.097222222222221,-4.583333333333335,-1.2499999999999978,-2.4444444444444455,0.741139846743295
96,2.430555555555553,0.4166666666666665,-0.41666666666666574,0.7777777777777779,0.2116704805491989
97,3.819444444444442,0.4166666666666662,-0.24999999999999922,0.44444444444444425,0.3287037037037037
98,5.020833333333332,-1.0416666666666663,0.1666666666666673,-1.4444444444444449,0.23173391494002193
99,7.52777777777778,-2.500000000000001,-1.1666666666666672,-3.6666666666666683,0.8104409528636594
100,6.687500000000002,-4.375,-0.5000000000000006,-1.2222222222222232,0.8561924257932446
101,7.444444444444441,-3.333333333333332,-0.33333333333333576,-1.333333333333334,0.47098976109215007
102,5.508814102564106,-3.1650641025641026,-0.6826923076923094,-0.3547008547008559,0.38923907882241215
