item,F1,F2,F3,F4,n_factors
AMI_item_0,0.19966391256577437,0.276903364951137,0.030638061256933954,0.09237384200095235,4
AMI_item_1,-0.09491398308290558,0.08385674694738626,-0.23091224355570433,0.4696130649813091,4
AMI_item_2,-0.09144328040404437,0.03824943973433591,-0.25218192969403047,0.4487757881652864,4
AMI_item_3,-0.16155363300467157,-0.03167890518684367,-0.2177782346214441,0.4455868899816708,4
AMI_item_4,-0.3439741831792741,0.004911828140475095,-0.28826654795315043,0.31804121788248624,4
AMI_item_5,-0.2762695630956103,-0.279475618919132,-0.13853301384547817,0.11337403476781208,4
AMI_item_6,-0.04286548600843125,0.18371632203560964,-0.04016338233097262,0.18720424165728397,4
AMI_item_7,-0.2065988370189005,-0.04751012122757013,-0.18800861899255897,0.3507635795487343,4
AMI_item_8,-0.35354823454471807,-0.05943758638621424,-0.34092789854080857,0.40433982563595633,4
AMI_item_9,-0.337288869940578,-0.010035650736953422,-0.18755539914285302,0.4308144656891615,4
AMI_item_10,-0.4094260812911362,-0.026801883618395157,-0.2659255847604905,0.3308168047868558,4
AMI_item_11,-0.35284116869437965,0.04128959813324624,-0.28574575091805227,0.3809393191191947,4
AMI_item_12,0.06798990883154518,0.023163865574387557,0.05854675555476241,0.13763028126891674,4
AMI_item_13,-0.06100775928849234,0.05048504749844918,-0.14611770186937664,0.3955183325334562,4
AMI_item_14,-0.34181000900716235,0.03826107892938371,-0.2831242421530289,0.38902614299841337,4
AMI_item_15,-0.07068232638583254,-0.05490392524784477,-0.01117040948762715,0.2152307971859629,4
AMI_item_16,-0.20392922453645737,-0.005857560601714615,-0.21837542500292503,0.36113522126305797,4
AMI_item_17,0.07280957651963241,0.023867670320741243,0.06197649255376172,0.11225591406645276,4
DASS21_item_0,0.4056871507194661,0.44734880329211174,0.23652791853258232,-0.14699800060747367,4
DASS21_item_1,0.1953466673314792,0.46205061006436127,-0.03961358071815668,0.045034793146906595,4
DASS21_item_2,0.36843044866243263,0.5235602783001668,0.14979235193813378,-0.3592189551043358,4
DASS21_item_3,0.24438424798224706,0.5692639171679548,0.05199896240472309,-0.026755546934786704,4
DASS21_item_4,0.5922840021604074,0.31657160087597624,0.24619645876840077,-0.3694727992873315,4
DASS21_item_5,0.36331621165843453,0.5009799035014493,0.1866703283014586,-0.13757569450554083,4
DASS21_item_6,0.27475378066675094,0.5896427389294975,0.032880955708290575,-0.021652390114928307,4
DASS21_item_7,0.3903561011942898,0.6163465559285775,0.2115646553870777,-0.10498529329388571,4
DASS21_item_8,0.35544852075978906,0.6401965134940493,0.1315906727095237,-0.13862765327470236,4
DASS21_item_9,0.3587725540732384,0.5280103932573745,0.2533429574216722,-0.4840330323018394,4
DASS21_item_10,0.3881101546672844,0.5804340902004531,0.24031052536160258,-0.2457679238597388,4
DASS21_item_11,0.46853593502439705,0.493701014480067,0.2411616362430661,-0.21581149409918285,4
DASS21_item_12,0.38754406914572,0.5141894147935916,0.262154173455913,-0.4179495616857817,4
DASS21_item_13,0.33604777430048466,0.5043307926537647,0.12475273579023978,-0.16066217854517792,4
DASS21_item_14,0.3000889038398458,0.666244787712054,0.15726846539002248,-0.138359115548258,4
DASS21_item_15,0.4057079815095341,0.4929520262147585,0.18312303072969383,-0.4534617027660385,4
DASS21_item_16,0.31749344621641257,0.5403897094639742,0.251871456112353,-0.49827965967049515,4
DASS21_item_17,0.31693467813369663,0.4986782011185849,0.16154035936429806,-0.23207898621601247,4
