test,sample,n,pillai_stat,pillai_F,pillai_p,wilks,omega_R2,kappa_R2,omega_F_p,kappa_F_p
mmr_affect,exploratory,290,0.0656650414542403,1.5657362502591123,0.09743143415278466,0.9346124627688855,0.05251390687862201,0.032429648832172364,0.017545633869851113,0.1525366393463295
mmr_affect,confirmatory,281,0.06403960974377451,1.478012984941499,0.12793361534353387,0.9366409838863038,0.026061036256629144,0.04701839213368686,0.2950332639341796,0.03863420200809025
mmr_clinical,exploratory,289,0.06263857435567531,0.8761643521357918,0.6183084937718494,0.9382067696018475,0.028860217822644252,0.025313144704590562,0.6036878337270696,0.7036037002593792
mmr_clinical,confirmatory,281,0.10218171328284076,1.3936941347666203,0.11850511027810151,0.900155741513011,0.06007156671509861,0.0357649743641133,0.07497384290409444,0.4424111146864396
