sample,channel,n_obs,n_subj,intercept,beta,se,z,p,s_probe_mean,s_probe_sd
exploratory,anxiety,5220,290,4.403369389549386,-0.5837089178757966,0.0245917581644583,-23.735957143536524,1.5344487526686514e-124,0.5950666575916389,0.23090545958456526
exploratory,confidence,5218,290,3.1665821233130473,0.6246517971420923,0.024688189242424382,25.30164488810243,3.063825520581277e-141,0.5949774983144641,0.23089759429641138
