label,X,M,Y,N,c_mean,c_hdi_lo,c_hdi_hi,c_surv,a_mean,a_hdi_lo,a_hdi_hi,a_surv,b_mean,b_hdi_lo,b_hdi_hi,b_surv,cprime_mean,cprime_hdi_lo,cprime_hdi_hi,cprime_surv,indirect_mean,indirect_hdi_lo,indirect_hdi_hi,indirect_surv,verdict
mean_anxiety as mediator,AMI_Total_z,mean_anxiety_z,log_omega_z,571,0.11433290995375779,0.03498929160637882,0.19326643891763487,True,-0.022320078064459323,-0.10185426149597779,0.05809996935905406,False,0.02718079576730274,-0.05339447799046737,0.1076012428510031,False,0.1154895953885052,0.035944402097041556,0.19624612348194415,True,-0.0005905620511244589,-0.005997816459170543,0.0034106598523214447,False,NO MEDIATION
mean_confidence as mediator,AMI_Total_z,mean_confidence_z,log_omega_z,571,0.11433290995375779,0.03498929160637882,0.19326643891763487,True,-0.2037017628362871,-0.28455104950739185,-0.12287811924794462,True,-0.18137525566711932,-0.26331410651209114,-0.10230509312425612,True,0.07767014992065607,-0.0028969123176820935,0.15765687193678032,False,0.03694366179269719,0.017358395488594306,0.061304070248086776,True,"FULL MEDIATION (indirect ★, direct n.s.)"
anx_slope (anxiety reactivity to threat) as mediator,AMI_Total_z,anx_slope_z,log_omega_z,571,0.11433290995375779,0.03498929160637882,0.19326643891763487,True,0.08815985625504243,0.008809809014766416,0.16725482432857025,True,-0.010794647137637328,-0.08912769561565746,0.06715177637538193,False,0.11472973430991495,0.03546962165983977,0.1938180261115111,True,-0.0009134211279698954,-0.009275458881425946,0.006813736710893726,False,NO MEDIATION
anx_calibration (anx-threat correlation) as mediator,AMI_Total_z,anx_calibration_z,log_omega_z,563,0.10978622931932736,0.026626278769739557,0.19172362954413527,True,0.10919369448974611,0.02745473040087825,0.19118133903501627,True,0.0039006995067436766,-0.0759194068617302,0.08474109456229538,False,0.10815254560701486,0.02733017772535948,0.18889765569801467,True,0.00045501255648106747,-0.009041761681405445,0.01025402608212369,False,NO MEDIATION
mean_anxiety → log(κ),AMI_Total_z,mean_anxiety_z,log_kappa_z,571,0.03033157061879164,-0.05196082075626064,0.11236443979951435,False,-0.022320078064459323,-0.10185426149597779,0.05809996935905406,False,0.01970766072023887,-0.06285304406065853,0.10362590469451707,False,0.03125570084454496,-0.051271201656834735,0.11428688680507797,False,-0.0004265748524304752,-0.005511021618408714,0.0037089987600483995,False,NO MEDIATION
mean_confidence → log(κ),AMI_Total_z,mean_confidence_z,log_kappa_z,571,0.03033157061879164,-0.05196082075626064,0.11236443979951435,False,-0.2037017628362871,-0.28455104950739185,-0.12287811924794462,True,-0.15831444027761568,-0.2412988196930925,-0.07529939456302936,True,-0.001600414372720346,-0.0883111952250505,0.08077449329220442,False,0.03222782378595024,0.013363380351274564,0.05611613096551334,True,"FULL MEDIATION (indirect ★, direct n.s.)"
anx_slope → log(κ),AMI_Total_z,anx_slope_z,log_kappa_z,571,0.03033157061879164,-0.05196082075626064,0.11236443979951435,False,0.08815985625504243,0.008809809014766416,0.16725482432857025,True,-0.031325963823664225,-0.11124618193713225,0.04880481975834447,False,0.03343755232943408,-0.046511606640149854,0.11527812088490204,False,-0.0027381952591240292,-0.012351894909528373,0.00464828528193568,False,NO MEDIATION
