item,F1,F2,F3,F4,F5,n_factors
AMI_item_0,0.2062260649701606,0.2771377196840454,0.04262173231875041,0.22686890090184197,-0.09029658808528493,5
AMI_item_1,-0.09543647187094102,0.017626646914679297,-0.21887844300458562,0.5319783997250525,0.045020644982075066,5
AMI_item_2,-0.09079345353221598,-0.022116736432934197,-0.2395950767596006,0.5179188691825505,0.025071666141909275,5
AMI_item_3,-0.15923233891467095,-0.08723559924677544,-0.20516042000905127,0.5175865225785855,-0.013852359960289974,5
AMI_item_4,-0.3501066463488884,-0.06382564833776842,-0.28527612177654604,0.25707888169526744,0.18543770810889143,5
AMI_item_5,-0.28311402710186695,-0.3190871926117905,-0.14714832820718715,-0.03088876016933086,0.16338728365886585,5
AMI_item_6,-0.03751524537858244,0.1738336935282931,-0.026541049960694812,0.3161209256346845,-0.09904076984619004,5
AMI_item_7,-0.20629889923166936,-0.09103000535831947,-0.17790578424970144,0.3969221346801881,-0.00946553784364305,5
AMI_item_8,-0.3595180711992357,-0.13129082612317755,-0.33589160719250716,0.35982724897426865,0.1413371710348392,5
AMI_item_9,-0.3428362779308467,-0.0894675004097422,-0.18238810803254143,0.38758834021920563,0.1555859205897243,5
AMI_item_10,-0.41605829759482577,-0.09526146183484793,-0.2627144490927379,0.2631566144780575,0.16778122874347237,5
AMI_item_11,-0.3600042671037108,-0.034516008642178964,-0.2800108731088895,0.32971724192370855,0.17859782608002808,5
AMI_item_12,0.0792260721124367,0.032509707666268754,0.0724190729050909,0.28968116832356416,-0.20995082603684895,5
AMI_item_13,-0.05651995136277675,0.0036495882666167656,-0.13248424874352818,0.4953094326090804,-0.03974908872481946,5
AMI_item_14,-0.3488376607853426,-0.038896191979295634,-0.2781610690557472,0.33690281518414733,0.181738244331895,5
AMI_item_15,-0.06079056881624454,-0.05914489202315355,0.0026253613393689536,0.3445931668322734,-0.1877730647057402,5
AMI_item_16,-0.20096111908739822,-0.04795252715854591,-0.2069531800331517,0.43354414134087815,-0.03737677500921528,5
AMI_item_17,0.08443912715750237,0.03999782034171032,0.07567598266919197,0.27182776266573555,-0.2311374983217978,5
DASS21_item_0,0.4063297888829965,0.45933263602658375,0.24072381688912386,-0.08104121024213903,0.0375655139233453,5
DASS21_item_1,0.18489235039930055,0.42159785105007613,-0.037735529410881194,0.012601033861775836,0.26348564156484405,5
DASS21_item_2,0.36963271887482774,0.562278950224846,0.15147238792250173,-0.3010745604502944,0.04860526916227176,5
DASS21_item_3,0.23383225584171372,0.5401574006982885,0.05347132150528801,-0.04322885847048935,0.25394443158975105,5
DASS21_item_4,0.5981615581538131,0.3776954251992794,0.24742199427700307,-0.275139477977918,-0.09289284460352237,5
DASS21_item_5,0.3636416820718596,0.5127333310709685,0.1936157671699512,-0.05532308738110712,0.03585755166676005,5
DASS21_item_6,0.264784447429395,0.5615859210998873,0.03522537776903193,-0.02512944518173618,0.24378200807345188,5
DASS21_item_7,0.3910864254322342,0.6206159244190425,0.22082481268493218,-0.003331463401616868,0.052660437149173664,5
DASS21_item_8,0.35551115144554246,0.6500282009772529,0.14098954112309897,-0.0352992507170561,0.051645278224483074,5
DASS21_item_9,0.3678034754300276,0.6017624879049429,0.2589010932252293,-0.35148797482216365,-0.10827482523455952,5
DASS21_item_10,0.389340059077587,0.6020941726999742,0.24517216202974612,-0.16784152940298194,0.05252902488640973,5
DASS21_item_11,0.4712846780864051,0.5172998030049522,0.24556174507338868,-0.13088299505020487,0.012884403279468565,5
DASS21_item_12,0.39495087971200754,0.5745758659849083,0.26675319380962487,-0.3013197819779768,-0.07154892219476952,5
DASS21_item_13,0.3357819955932056,0.5137023827691404,0.12996804046757032,-0.09905161282149856,0.0698545809149592,5
DASS21_item_14,0.29952745682746773,0.6658564895660516,0.16548392973582593,-0.05921633604928244,0.11016362667459294,5
DASS21_item_15,0.41373513948263785,0.5635986060894169,0.18806494306238894,-0.32604121124453567,-0.09887801281787573,5
DASS21_item_16,0.3268675520163646,0.6193014921335736,0.2566706292561634,-0.35867163270351154,-0.12206918910048058,5
DASS21_item_17,0.31675735581741,0.5192310585180979,0.16435882498879803,-0.17608378773524563,0.06172735166025107,5
DASS21_item_18,0.23324203929825246,0.5798513936103923,0.024548723071265644,-0.0134545330554738,0.1999495155012356,5
DASS21_item_19,0.28104947101722727,0.6539443124624393,0.12766164271786046,-0.03527689870330406,0.07372243481741991,5
DASS21_item_20,0.323660471770667,0.5649612948219352,0.20279871675381456,-0.39519870685423436,-0.08463249282937652,5
MFIS_item_0,0.5644932671898923,0.1076383513975834,0.16828327356702852,-0.016836049510819975,0.04882405796074798,5
MFIS_item_1,0.7178695417680115,0.18570182162369356,0.2562355681859014,-0.06547195481179711,-0.0618052227180392,5
MFIS_item_2,0.6858964683296064,0.30908043454275835,0.25198359520135993,0.018613643544668573,-0.031713044389519385,5
MFIS_item_3,0.6563217051271757,0.34036855161154017,0.1874312709599836,0.028254697609313525,0.020472458254765277,5
MFIS_item_4,0.716538438336172,0.26281628702803433,0.20063916701195128,-0.01988765243642887,-0.01485059717634237,5
MFIS_item_5,0.5918301840504465,0.2427279754838206,0.056734136277059345,0.02724771413167082,0.2433131727845129,5
