outcome,sample,model,predictor,N,R2,beta,se,t,p
omega_z,exploratory,anxiety_only,anxiety_intercept,290,0.008537736312467792,0.07323994011970658,0.05892660213164937,1.2429011256423617,0.2149222707314838
omega_z,exploratory,anxiety_only,anxiety_slope_T,290,0.008537736312467792,-0.03990705179733984,0.06032866200149629,-0.6614940639053134,0.5088280885470539
omega_z,exploratory,anxiety_only,anxiety_slope_D,290,0.008537736312467792,0.04524354643841951,0.06031845023502224,0.7500780650387151,0.45382428208770653
omega_z,exploratory,confidence_only,confidence_intercept,290,0.04492314345433901,-0.19768555098079393,0.059017387547323885,-3.349615413292856,0.0009178927076988748
omega_z,exploratory,confidence_only,confidence_slope_T,290,0.04492314345433901,0.057694809431900224,0.06222568366396186,0.9271864290550864,0.35461152341781593
omega_z,exploratory,confidence_only,confidence_slope_D,290,0.04492314345433901,-0.05672328639229936,0.06301810425322943,-0.9001109611987814,0.3688184758830067
omega_z,exploratory,joint,anxiety_intercept,290,0.05251390687862201,0.0750383034808027,0.059497793763293824,1.2611947222671025,0.20827735458082725
omega_z,exploratory,joint,anxiety_slope_T,290,0.05251390687862201,-0.03422643123958277,0.06418217596239972,-0.5332700352763651,0.5942652061132503
omega_z,exploratory,joint,anxiety_slope_D,290,0.05251390687862201,0.044269524460925906,0.06047547357148248,0.7320244364618159,0.46475942426477546
omega_z,exploratory,joint,confidence_intercept,290,0.05251390687862201,-0.19667900443371822,0.059270769062585375,-3.318313690616032,0.0010241546910570976
omega_z,exploratory,joint,confidence_slope_T,290,0.05251390687862201,0.02803368921008914,0.06852697598899284,0.409089833682316,0.6827831603851797
omega_z,exploratory,joint,confidence_slope_D,290,0.05251390687862201,-0.053191454937158524,0.06448612405251711,-0.8248511709874162,0.41015079949325867
omega_z,confirmatory,anxiety_only,anxiety_intercept,281,0.0029493079110994858,-0.05433825900736735,0.06097448762299783,-0.8911638477938192,0.37361468533064474
omega_z,confirmatory,anxiety_only,anxiety_slope_T,281,0.0029493079110994858,0.0011040466956346914,0.06617538766100182,0.016683645304662462,0.9867010048269653
omega_z,confirmatory,anxiety_only,anxiety_slope_D,281,0.0029493079110994858,0.010161566495034347,0.0664031448177215,0.15302839229871015,0.8784872992333526
omega_z,confirmatory,confidence_only,confidence_intercept,281,0.02410002806564482,-0.1358513989065046,0.06018853470132053,-2.257097627989339,0.024781103657015337
omega_z,confirmatory,confidence_only,confidence_slope_T,281,0.02410002806564482,0.022773086501189005,0.06199511619751311,0.3673367822819329,0.7136483096589464
omega_z,confirmatory,confidence_only,confidence_slope_D,281,0.02410002806564482,-0.06892501830706281,0.06171570434504476,-1.1168149021148925,0.2650412614600765
omega_z,confirmatory,joint,anxiety_intercept,281,0.026061036256629144,-0.04026430621653258,0.06125425765116784,-0.6573307352091455,0.5115200609067866
omega_z,confirmatory,joint,anxiety_slope_T,281,0.026061036256629144,0.010818743951338075,0.06797066905421911,0.1591678307993134,0.8736539070891065
omega_z,confirmatory,joint,anxiety_slope_D,281,0.026061036256629144,0.016818170675234473,0.06642686155108139,0.2531832798137169,0.8003164403267291
omega_z,confirmatory,joint,confidence_intercept,281,0.026061036256629144,-0.13795259865652917,0.0612088510988511,-2.2538014711914527,0.02499910720259136
omega_z,confirmatory,joint,confidence_slope_T,281,0.026061036256629144,0.029786280269101014,0.06500595285962776,0.4582085018186068,0.6471658421175278
omega_z,confirmatory,joint,confidence_slope_D,281,0.026061036256629144,-0.06192965080453726,0.06270389358437765,-0.9876523970748557,0.3241942602429414
kappa_z,exploratory,anxiety_only,anxiety_intercept,290,0.00517780104110066,0.034244886925558105,0.059026364936366225,0.5801625589255927,0.5622617909194672
kappa_z,exploratory,anxiety_only,anxiety_slope_T,290,0.00517780104110066,-0.05913712260522601,0.060430798495174284,-0.9785924409049207,0.3286084336328353
kappa_z,exploratory,anxiety_only,anxiety_slope_D,290,0.00517780104110066,-0.011160349565289067,0.06042056944016794,-0.1847110953884788,0.853586553181533
kappa_z,exploratory,confidence_only,confidence_intercept,290,0.027067215540856226,-0.15753478320665118,0.0595665215072235,-2.644686633036769,0.008628430176220413
kappa_z,exploratory,confidence_only,confidence_slope_T,290,0.027067215540856226,0.023821791236551523,0.0628046695780783,0.37929968259663316,0.7047467961097498
kappa_z,exploratory,confidence_only,confidence_slope_D,290,0.027067215540856226,-0.033151479596835294,0.06360446333437639,-0.5212131013912332,0.6026216674560163
kappa_z,exploratory,joint,anxiety_intercept,290,0.032429648832172364,0.040471205216900126,0.060125086727389435,0.673116787347,0.5014222898242865
kappa_z,exploratory,joint,anxiety_slope_T,290,0.032429648832172364,-0.06569193190294624,0.06485885697618209,-1.0128444281259856,0.3119996347105195
kappa_z,exploratory,joint,anxiety_slope_D,290,0.032429648832172364,-0.008408299855658441,0.061113074340725534,-0.13758594124686638,0.890665504799492
kappa_z,exploratory,joint,confidence_intercept,290,0.032429648832172364,-0.1537508832277307,0.05989566847578736,-2.5669783331641756,0.010773150668578523
kappa_z,exploratory,joint,confidence_slope_T,290,0.032429648832172364,-0.008626315189740606,0.06924946479353006,-0.12456869111494646,0.9009534514398215
kappa_z,exploratory,joint,confidence_slope_D,290,0.032429648832172364,-0.033088094058921574,0.06516600963047439,-0.5077508082288374,0.6120236030249059
kappa_z,confirmatory,anxiety_only,anxiety_intercept,281,0.012413501678220085,0.013229907987622047,0.06068440692133454,0.21801165503309664,0.8275805476123693
kappa_z,confirmatory,anxiety_only,anxiety_slope_T,281,0.012413501678220085,0.03852181663638178,0.06586056413998705,0.5848995850461198,0.559091358445235
kappa_z,confirmatory,anxiety_only,anxiety_slope_D,281,0.012413501678220085,-0.12250064079965957,0.06608723776229085,-1.8536202290717922,0.06485662005020587
kappa_z,confirmatory,confidence_only,confidence_intercept,281,0.0363762808034811,-0.15045354330926616,0.059808768271939934,-2.515576689778669,0.012449783251050343
kappa_z,confirmatory,confidence_only,confidence_slope_T,281,0.0363762808034811,0.11779022643400903,0.061603950935986175,1.9120563639888466,0.05690045912903685
kappa_z,confirmatory,confidence_only,confidence_slope_D,281,0.0363762808034811,-0.08667606089562357,0.061326302064491946,-1.4133586728329603,0.15867304013825229
kappa_z,confirmatory,joint,anxiety_intercept,281,0.04701839213368686,0.027430283886695248,0.06059163478880694,0.45270744026471504,0.651117661932236
kappa_z,confirmatory,joint,anxiety_slope_T,281,0.04701839213368686,0.06850960020808347,0.06723539087091665,1.0189514676818514,0.3091248546822041
kappa_z,confirmatory,joint,anxiety_slope_D,281,0.04701839213368686,-0.11125496681609603,0.06570828362970177,-1.6931650116303758,0.09156060985431595
kappa_z,confirmatory,joint,confidence_intercept,281,0.04701839213368686,-0.1461507499364539,0.060546719425524566,-2.4138508464728052,0.016440911113384835
kappa_z,confirmatory,joint,confidence_slope_T,281,0.04701839213368686,0.11796377836219356,0.06430274573238372,1.8345060855276267,0.06766310402087479
kappa_z,confirmatory,joint,confidence_slope_D,281,0.04701839213368686,-0.09255761957804116,0.06202558916863128,-1.4922489381987378,0.13678436910841826
