mediator_set,mediator,outcome,a_omega,a_kappa,b,indirect_omega,ind_om_lo,ind_om_hi,p_omega,indirect_kappa,ind_kp_lo,ind_kp_hi,p_kappa,total_indirect_omega,total_indirect_kappa,cprime_omega,cprime_kappa,c_omega,c_kappa
confidence_structure,confidence_intercept,earnings,-0.1573497229653361,-0.0974031260681183,0.11633306120438013,-0.0183049749522187,-0.04061377274017134,-0.003307491293593279,0.0088,-0.01133120382638036,-0.027673291882445984,9.44298205702401e-05,0.0536,-0.0014124277099130853,-0.009908421917380608,0.028997721709425262,-0.11104342443884459,0.027585293999512445,-0.12095184635622518
confidence_structure,confidence_slope_T,earnings,-0.010658611696295853,0.03719143216823341,-0.24485694865748886,0.002609835136880024,-0.01962778210565186,0.028228229684039388,0.8092,-0.009106580596915607,-0.031920662978727754,0.012733318262485213,0.414,-0.0014124277099130853,-0.009908421917380608,0.028997721709425262,-0.11104342443884459,0.027585293999512445,-0.12095184635622518
confidence_structure,confidence_slope_D,earnings,-0.05944739663518873,-0.043825233231933394,-0.2402579913309647,0.014282712105425593,-0.008988836420235034,0.03978677888471649,0.2192,0.01052936250591536,-0.013122265185955377,0.03502740522631208,0.356,-0.0014124277099130853,-0.009908421917380608,0.028997721709425262,-0.11104342443884459,0.027585293999512445,-0.12095184635622518
confidence_structure,confidence_intercept,pct_opt,-0.1573497229653361,-0.0974031260681183,0.04521068924013753,-0.007113889427007542,-0.017867538855195226,0.0018364061696831435,0.118,-0.004403662463683636,-0.013213358155146664,0.001165007753973804,0.1488,0.0007054066195676495,-0.00783115644969903,-0.6258654227622165,-0.2612005719948414,-0.6251600161426476,-0.26903172844453993
confidence_structure,confidence_slope_T,pct_opt,-0.010658611696295853,0.03719143216823341,-0.20404326840072473,0.0021748179671263984,-0.017199019733549443,0.023182831691548618,0.8484,-0.007588661376110198,-0.027210941757836952,0.010859296930184512,0.4224,0.0007054066195676495,-0.00783115644969903,-0.6258654227622165,-0.2612005719948414,-0.6251600161426476,-0.26903172844453993
confidence_structure,confidence_slope_D,pct_opt,-0.05944739663518873,-0.043825233231933394,-0.09494912139024864,0.005644478079448793,-0.003333674101944096,0.017496170917853115,0.2252,0.004161167390094802,-0.004704269816074609,0.014536394411639236,0.3804,0.0007054066195676495,-0.00783115644969903,-0.6258654227622165,-0.2612005719948414,-0.6251600161426476,-0.26903172844453993
confidence_structure,confidence_intercept,p_heavy,-0.1573497229653361,-0.0974031260681183,0.04657970764395918,-0.007329304093583325,-0.014602798290266459,-0.0018703375778520786,0.0048,-0.00453700913586065,-0.01096925086482438,-0.00011158882007263139,0.0436,-0.004599391346887057,-0.005348219931864218,-0.8105714525860265,-0.3207242033436687,-0.8151708439329123,-0.3260724232755323
confidence_structure,confidence_slope_T,p_heavy,-0.010658611696295853,0.03719143216823341,-0.0626812177096597,0.0006680947602182456,-0.0050532682860505084,0.007323423331848759,0.8024,-0.0023312042566710797,-0.008509116624252307,0.0034058363801982997,0.4176,-0.004599391346887057,-0.005348219931864218,-0.8105714525860265,-0.3207242033436687,-0.8151708439329123,-0.3260724232755323
confidence_structure,confidence_slope_D,p_heavy,-0.05944739663518873,-0.043825233231933394,-0.03468306609170452,0.0020618179864780235,-0.001151549643949218,0.007041421822765017,0.2116,0.0015199934606675112,-0.0019175165802389502,0.005720493638832367,0.3628,-0.004599391346887057,-0.005348219931864218,-0.8105714525860265,-0.3207242033436687,-0.8151708439329123,-0.3260724232755323
confidence_structure,confidence_intercept,mean_vigor,-0.1573497229653361,-0.0974031260681183,-0.04248692623880602,0.006685306073324795,-0.0029475631609205896,0.025795384798229046,0.3644,0.0041383594326852655,-0.002143570715297559,0.013936483628317765,0.3972,0.004682127512586401,0.003472733478537581,0.48871590753711924,-0.8929524388728469,0.4933980350497054,-0.8894797053943099
confidence_structure,confidence_slope_T,mean_vigor,-0.010658611696295853,0.03719143216823341,0.018005652690541184,-0.00019191526036684315,-0.003921009411631387,0.003422260119683928,0.9756,0.0006696560106850319,-0.0028917301533706867,0.004635267800829199,0.7888,0.004682127512586401,0.003472733478537581,0.48871590753711924,-0.8929524388728469,0.4933980350497054,-0.8894797053943099
