analysis,sample,n,r1,r2,r3
behavior_clinical,exploratory,289,0.3184139353818505,0.30301503469503377,0.27864567985759037
behavior_clinical,confirmatory,281,0.4317132234076985,0.34247588553092156,0.31746341723221483
behavior_affect,exploratory,290,0.49337085959352384,0.28240779248301134,0.2712490407317329
behavior_affect,confirmatory,281,0.549152396157608,0.3088834296953808,0.23331676401892734
behavior_clinical_affect,exploratory,289,0.5408768823147615,0.3468123885351738,0.3297905483006911
behavior_clinical_affect,confirmatory,281,0.6047560082784694,0.38222004354160877,0.3653421885549686
behavior_clinical_xval,confirmatory_projection,281,0.06290233784338482,0.06938895016596036,0.02986156755498603
behavior_affect_xval,confirmatory_projection,281,0.4056304941491281,0.06484150738532425,0.05094141140958367
