test,sample,N,R2,predictor,beta,p,scale
C_clinical_full,confirmatory,281,0.07405927998336359,confidence_slopeD_HvL,-0.12901425160940075,0.0965984763978967,MFIS_Total
C_clinical_full,exploratory,290,0.03223724270745287,omega_z,-0.0322806770648971,0.6177184044366741,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,kappa_z,-0.062324538434592916,0.32988749007039436,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,anxiety_intercept_HvL,0.09041961028260168,0.38057627213836315,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,anxiety_slopeT_HvL,-0.021819597552033023,0.8110167329274227,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,anxiety_slopeD_HvL,-0.07669791508456213,0.3113878076177811,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,confidence_intercept_HvL,-0.03075581209656122,0.7700211900707197,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,confidence_slopeT_HvL,0.02428032370491268,0.7770151312535427,PHQ9_Total
C_clinical_full,exploratory,290,0.03223724270745287,confidence_slopeD_HvL,-0.03938380452381917,0.6143534990294098,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,omega_z,-0.07606618864761804,0.22450625797053197,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,kappa_z,0.036593222681030636,0.56284132664344,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,anxiety_intercept_HvL,0.4281403464174616,4.616575718325929e-05,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,anxiety_slopeT_HvL,0.27840929124604125,0.0024371383480383973,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,anxiety_slopeD_HvL,0.26080529609841574,0.0017016403176250872,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,confidence_intercept_HvL,-0.08993160905990073,0.4308442644581108,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,confidence_slopeT_HvL,0.022375448562894768,0.8194914088945614,PHQ9_Total
C_clinical_full,confirmatory,281,0.08501179800450442,confidence_slopeD_HvL,-0.09739973283376505,0.20649899055727455,PHQ9_Total
