sample,channel,n_obs,n_subj,intercept,beta,se,z,p,s_probe_mean,s_probe_sd
confirmatory,anxiety,5068,281,4.401712749235521,-0.5453134310730937,0.024503650165703293,-22.254375465919175,1.0230848182390064e-109,0.6839649955545625,0.192454462654429
confirmatory,confidence,5068,281,3.392035947932597,0.6799466592633677,0.025099645693919075,27.08989073212692,1.2953747234217708e-161,0.6841031532772588,0.1923403079200849
