question,mediator,c_omega,c_kappa,cprime_omega,cprime_kappa,a_omega,a_kappa,b,indirect_omega,ind_om_lo,ind_om_hi,p_omega,indirect_kappa,ind_kp_lo,ind_kp_hi,p_kappa,prop_mediated_omega,prop_mediated_kappa
anxiety,trial-level aff_z (total),0.38551666530135065,-0.7516008653753018,0.38547512244011856,-0.7517573164305662,0.0015615603093881785,0.007862588436896923,0.02104821224260122,3.206137933160672e-05,-0.00047750047606919866,0.0005674750907764645,0.8937,0.0001655548036267579,-0.00033181592424704734,0.0007520160838641491,0.5041,8.31647039345108e-05,-0.00022026957558662514
anxiety,between-subject mean (trait),0.38551666530135065,-0.7516008653753018,0.3855523507986773,-0.7515646144754652,6.095348671547909e-14,7.534320039651471e-14,-0.010807323714428996,-2.5743228061417856e-12,-9.286670614352753e-10,9.070108216099954e-10,0.996,-8.046160849336374e-12,-9.59505463425798e-10,9.094794685471935e-10,0.9948,-6.677591496931758e-12,1.0705364003697137e-11
anxiety,within-subject deviation (state),0.38551666530135065,-0.7516008653753018,0.3855102640807261,-0.7517369314281854,0.00020016842600914948,0.0074395450790936055,0.020162022105146567,2.155309507416594e-06,-0.0004260408288716498,0.0004291029806866619,0.9857,0.00014933528217170856,-0.0002540019862861227,0.0006177125115434898,0.4579,5.5907038564255884e-06,-0.00019868960914133592
confidence,trial-level aff_z (total),0.3794021901180467,-0.7546265622629685,0.37765105303713603,-0.7581238088312634,-0.042432386218335665,-0.08462071574590668,-0.04116840728525722,0.0017402537162568,0.000736008598929627,0.0029324102047740127,0.0001,0.0034951064985927886,0.0021225455933319747,0.0050773775168654715,0.0,0.004586830971416743,-0.004631570996005877
confidence,between-subject mean (trait),0.3794021901180467,-0.7546265622629685,0.3792232356101536,-0.7548280235947878,-2.465164764181185e-13,-2.9015977155874343e-13,-0.012585723690479516,9.763230671496048e-13,-9.236902733126658e-10,9.093937223150178e-10,0.9977,-1.031618767058178e-12,-9.121025689137552e-10,9.126796566912459e-10,0.9999,2.57331953420151e-12,1.3670586468154094e-12
confidence,within-subject deviation (state),0.3794021901180467,-0.7546265622629685,0.37788152483775433,-0.7578754385424608,-0.04453498732776542,-0.0956499944504688,-0.03784641942610067,0.0016909275415209275,0.0008670484300283944,0.0026976991781201944,0.0,0.0036198382032607257,0.0023111680778833544,0.0050530291290154005,0.0,0.004456820718390726,-0.004796860307177078
