dataset,subj,log_omega_true,log_omega_rec,log_omega_lo80,log_omega_hi80,log_omega_lo95,log_omega_hi95,log_kappa_true,log_kappa_rec,log_kappa_lo80,log_kappa_hi80,log_kappa_lo95,log_kappa_hi95
0,0,-0.7733063714990105,-0.6793134078586316,-0.8046361746856545,-0.5601187109691086,-0.8651648406272962,-0.5043342640426902,-1.5409628308519283,-0.4858486458049077,-0.5682108520247522,-0.4090417011190957,-0.6166005727478642,-0.35861729229338024
0,1,0.0676947701629272,0.1688628556755906,0.08540976899170787,0.2546334935047191,0.042083087634107695,0.2983279125499241,-1.3083556918112276,-0.014816485197279444,-0.09450198790903043,0.06460445671676254,-0.14272776612096905,0.11370448124686174
0,2,1.3851326269698816,1.4997551448111333,1.4344713907551012,1.5647202439125711,1.403354270785636,1.6036742826461823,0.5303918150719904,1.1342211182248674,1.0732775183515346,1.1988154100366188,1.0373979861891016,1.2274526176629716
0,3,-0.22775371484731055,0.18159880393210426,0.06324160157271144,0.30137988970965973,-0.009979688771111885,0.3747575436516325,-1.4071386754735729,1.5672594021940822,1.4541446319619984,1.6742566954048836,1.40081327555547,1.7351109059376362
0,4,0.24367912031398498,0.4524295170822101,0.3679236500933589,0.5383813939637151,0.32116476423239687,0.5851575009279866,0.08325545281945466,0.8156087341675022,0.7423634281580891,0.8861098000051217,0.7070938498021402,0.920549904009914
0,5,0.6053116537035356,0.6874970355251994,0.5865960797652099,0.7924844241068798,0.5285707241427321,0.8449149914539216,-1.4437307280360419,1.8886828914614966,1.7898937150956364,1.9959548901620965,1.7331700461314208,2.045393270564949
0,6,-0.35831438164436696,0.06140420907613125,-0.07496952622670877,0.20244096953518648,-0.144475957896153,0.2682327052045799,-1.5557450390527914,1.7416252797298737,1.6246063377075095,1.8656353588713797,1.5580894362459934,1.9344447781905305
0,7,0.6190328745955846,0.5175297293230543,0.4355199611156402,0.5987228623948107,0.39501153802389344,0.6433297617526534,-1.742153729555944,0.33871167497132426,0.2701593706766732,0.4078921603561365,0.23647727210660877,0.4469854708288255
0,8,0.9075942980474377,0.5585620536299077,0.4764902338152743,0.6490020021744038,0.4315136852676289,0.6937350318567604,0.586421692434788,0.8197150285270074,0.7438381435458815,0.8976251589080979,0.7024938710558118,0.9357826864136299
0,9,-0.1766158351657328,0.01286101917829231,-0.0753485263487397,0.10030132488101663,-0.11642359073657962,0.15038506528084816,0.007914288031482726,0.42106110335464547,0.34539973742456476,0.4975792772293615,0.30663797719196484,0.5280726159628308
0,10,0.2915176975561847,0.710888765857724,0.5956788361326725,0.8198763694835776,0.52753766603223,0.8851945341020129,-3.649229180019045,1.8093980552982343,1.7097153375272924,1.9110379825750532,1.6537703979345442,1.9641081943686325
0,11,0.15171037846226537,0.13089560613332724,0.046461428413010354,0.21411434332732895,-0.005688961182626805,0.25586132591229127,-1.476391729644814,0.2819840086476093,0.20380198071066027,0.3572798989406195,0.16937437361433494,0.394062277856236
0,12,-1.0056925057996944,-0.15669941035872742,-0.2992742837472377,-0.016510359007624764,-0.3818729028126427,0.041646252054087514,-1.897569095491054,1.2808694906857576,1.1788625829789,1.3848794802268545,1.128999440543665,1.4440407254525502
