Model,p_hat,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
"Linear (p=1, M4-style)",1.0,287,-8242.016620658116,19270.548860937797,0.7029655990510083,0.9282666790632376,0.007344363352898182,101.2499906666635
"Quadratic (p=2, M1)",2.0,287,-8201.738667574115,19189.992954769794,0.7085013839462238,0.9472664973715968,0.007344363352898182,20.69408449866023
Free power (p est.),5.23672439979947,288,-8186.5370684961745,19169.298870271134,0.7115856069592724,0.956773277073714,0.007344363352898182,0.0
