Model,Description,n_per_subj,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
V1,"Joint basic (ω,κ)",2,590,-12580.910145038702,31354.64734166032,0.570727969348659,0.350178851915662,0.12923332524208894,27590.22926087852
V2,Joint + cookie intercept,2,591,-7149.469446464275,20502.262261548043,0.570727969348659,0.05726446278462165,0.35075144078891207,16737.844180766246
V3,Joint + per-subj baseline,3,883,2751.9149312597037,3764.4180807817975,0.570727969348659,0.30757403098504565,0.7448593670246954,0.0
V4,Joint exponential S,2,588,-7407.130637397791,20986.09569230533,0.570727969348659,0.4287753903726191,0.42619591082463826,17221.677611523533
V5,Joint ω only (κ pop-level),1,300,-8385.113465461596,19919.122041897554,0.5646743295019158,0.0053410228040074404,0.47477529142366964,16154.703961115756
