Model,p_hat,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
"Linear (p=1, M4-style)",1.0,299,-8916.181709067303,20747.01621039363,0.7085324232081911,0.9329104286576626,0.007538525350136339,119.83057986277345
"Quadratic (p=2, M1)",2.0,299,-8870.39112701991,20655.435046298844,0.7118695487296169,0.9509706174058303,0.007538525350136339,28.249415767986648
Free power (p est.),5.367302003438358,300,-8851.392417811068,20627.185630530857,0.7124762988244216,0.9611884088087425,0.0075385253501363365,0.0
