Model,p_hat,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
"Linear (p=1, M4-style)",1.0,287,-8242.010247278105,19270.536114177776,0.7029655990510083,0.9282666790632373,0.007344363352898176,101.022243575615
"Quadratic (p=2, M1)",2.0,287,-8201.7322941941,19189.980208009765,0.7085013839462238,0.9472664973715968,0.007344363352898176,20.466337407604442
Free power (p est.),5.236724399799473,288,-8186.644568661688,19169.51387060216,0.7115856069592724,0.9567732770737142,0.007344363352898182,0.0
