scenario,r_omega,r_kappa,r_baseline,rho_omega,rho_kappa,gamma_rec,hazard_rec
Fitted dist,0.8920547032581083,-0.07444978402634975,0.9825730341791559,0.8923409363745498,-0.1185594237695078,0.8441061528723443,1.1516317894953516
Wide spread,0.9892215461946794,0.9696764378066076,0.9833541347599574,0.9386314525810323,0.5492917166866746,0.818800531040099,0.8905024785290101
Correlated,0.8926464564197397,-0.059960892447708775,0.9824880544668408,0.8558463385354141,-0.18665066026410562,0.856312000015084,0.8511775087382333
