Model,form,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
Linear (M1),linear,287,-8201.738667574115,19189.992954769794,0.7085013839462238,0.9472664973715968,0.007344363352898182,0.0
Quadratic,quadratic,287,-8337.999953013243,19462.51552564805,0.6930802688809806,0.8706582849924733,0.007344363352898182,272.5225708782564
Hyperbolic,hyperbolic,287,-8677.526521551674,20141.568662724912,0.6591538157374456,0.45470079853304574,0.007344363352898182,951.5757079551186
Exponential,exponential,287,-8394.873083842704,19576.261787306972,0.7199683669434559,0.771510487457679,0.007344363352898182,386.26883253717824
