subj,omega,kappa
1,2.289888732303446,0.19413438444206696
2,5.143944636614017,13.344415002334529
3,1.3118677649025658,0.4386787600149519
4,1.3669370147626672,0.28140256941935926
5,0.4445019254196939,0.09598741218864495
6,2.285887176721714,0.18424540277227175
7,1.5603371080632078,0.49394571262031034
8,4.269580088446767,0.7966000006976288
9,0.827461166760912,0.08944123246690094
10,2.213691358996627,0.09091008590250382
11,1.4211064527574209,0.1618783008501687
12,3.3483907288079724,0.6961726018037505
13,0.7711777061280762,0.17800284967044885
14,1.4657414459780962,0.012671170898895155
15,2.929954331376715,0.17885168667305237
16,4.741637436405014,2.015789999158038
17,1.8485432781332611,0.7898003487092373
18,1.0462569491282958,0.17568828857797142
19,2.0642132906575834,0.8212427758964463
20,1.820842926194145,0.49477395493534304
21,1.154813225712489,0.27424710580432454
22,1.041436741411116,0.20367144854464309
23,1.2741187750800083,0.019522427923926052
24,0.3448057392742368,0.06045976807796598
25,2.1805265776238545,0.2108544658280914
26,2.7428051450054873,0.03129168970262796
27,2.0613346150635827,0.41216655879467484
28,1.9765622136190175,0.23910771883806553
29,0.8339852088096541,0.04415951441278418
30,1.284310210347349,0.3184124980739206
31,0.5756945849028006,0.1351818261578794
32,5.339478915689514,6.918627405172324
33,0.858878365931857,0.3081320164654658
34,2.134643833792316,1.8026994647718089
35,8.962216880230285,0.6466841437332266
36,1.3219192759438867,0.2657281860261226
37,4.936897646913224,1.2614868605669671
38,1.4306044603445383,0.24617913273227987
39,0.22292630179999912,0.06987168472378807
40,0.7537318227596443,0.35361476370389794
41,3.467161597104481,3.2769026387966926
42,0.8432430585420954,0.03426606505659372
43,3.98686032786806,1.1023476189644457
44,2.1934081872938505,1.0641004320056582
45,2.817022384498677,0.8349226661894938
46,2.679346517385012,0.5933781249034092
47,0.6469434792677573,0.39484044539977625
48,2.831769824019542,0.487558423184953
49,1.7892878968335049,0.2371744897974264
50,2.243393414622653,0.612946081591853
51,0.6476171014690569,0.029191073709283404
52,2.3184099005303,0.21854829465795916
53,3.5824627154230333,0.8338081079417402
54,1.1235951579808483,0.49117874037200643
55,2.999745125333876,2.0915114139795197
56,1.7837836041456856,0.32104333978162775
57,1.2975528787095523,2.05337153060932
58,1.488486576159312,0.4022531752811035
59,1.6233443868658213,0.653071146584099
60,0.6270201792519937,1.117785579616821
61,1.7237322310525012,0.35648718625173
62,0.30311377887048774,0.4894699862132958
63,1.2315583114634823,0.04220623155595307
64,2.757553558000724,0.41149251631909234
65,2.3310980724147585,0.445722219723266
66,0.2401194767362898,0.10542250233589304
67,0.5362101966205701,0.8526727559017468
68,0.7575680509889952,4.559753772776152
