Model,Desc,ELBO,BIC,acc,ch_r2,vig_r2,dBIC
S1,"Shadmehr basic (ω,κ)",-9445.366946930144,25003.186566754375,0.7126436781609196,0.819503380022617,0.275126182583245,1293.3548308430181
S2,S1 + cookie intercept,-8798.689531508635,23709.831735911357,0.7089655172413794,0.7524714736756786,0.30113324770853345,0.0
S3,S2 + ρ̄ reward scaling,-8085.522859040705,25287.924281042084,0.5091187739463602,0.6422529507646387,0.3906569226957053,1578.0925451307266
