omega,kappa,earnings,survival
0.1,0.05011872336272722,1.4219487653921568,0.7189462013298965
0.1,0.06161056229074131,1.41304629928653,0.7177140970227062
0.1,0.07573739175895006,1.3862161017263106,0.7141674481346529
0.1,0.0931033948916044,1.3458102855116092,0.7090588096390922
0.1,0.11445128937012382,1.303108756964051,0.703846047085413
0.1,0.1406940923446931,1.2586056461312976,0.6985667893285857
0.1,0.17295416879649622,1.203062959316405,0.6923988858905497
0.1,0.21261123338996563,1.1172927555953787,0.6831764889313586
0.1,0.261361358781646,1.0098107925238662,0.671674698914122
0.1,0.3212895140817721,0.8886980321636132,0.6587538740132943
0.1,0.3949587358288188,0.7601432241276755,0.6448735051919338
0.1,0.48551974518470176,0.6255709884798749,0.6300644012406548
0.1,0.5968456995122308,0.496448546046588,0.6157790518849902
0.1,0.7336978414559202,0.37274951346451,0.6020490821185273
0.1,0.9019291300867378,0.25248539274426984,0.5883092032919124
0.1,1.1087345631067829,0.13493985171067535,0.5746435597562338
0.1,1.362958896015886,0.026863377490406078,0.5620175127126861
0.1,1.6754749189233409,-0.07618887857220225,0.5499944245744598
0.1,2.059648469331724,-0.1671289541024033,0.5392095739406328
0.1,2.5319100687860603,-0.25854398031322456,0.5279549266072419
0.1,3.1124576314230024,-0.3341151533517503,0.5189447784964606
0.1,3.826120298201573,-0.4078764889645292,0.5098199398173937
0.1,4.703420341698632,-0.4650861501795943,0.5028687267644887
0.1,5.781878557530657,-0.5191000963968601,0.49616903393302725
0.1,7.107618972018045,-0.5743984235197392,0.4892763856628628
0.1,8.737341497011023,-0.6122594445993611,0.4847648616665472
0.1,10.7407468993397,-0.6498629141548791,0.4802519113244569
0.1,13.203517797162956,-0.6777356475065026,0.4766835465991208
0.1,16.23098317592011,-0.7011273151229376,0.47366142796668353
0.1,19.952623149688797,-0.7271210871310906,0.47035875776917035
0.11721022975334802,0.05011872336272722,1.4227232823548717,0.7202918927334845
0.11721022975334802,0.06161056229074131,1.413822419396281,0.7190375799958755
0.11721022975334802,0.07573739175895006,1.3925045083829395,0.7162103293071547
0.11721022975334802,0.0931033948916044,1.3523373429658985,0.7111257774889493
0.11721022975334802,0.11445128937012382,1.3110429597495108,0.706060181902214
0.11721022975334802,0.1406940923446931,1.2660678982955578,0.7007489834033297
0.11721022975334802,0.17295416879649622,1.2160077579950164,0.695136208722662
0.11721022975334802,0.21261123338996563,1.1320771537210677,0.686079174037872
0.11721022975334802,0.261361358781646,1.0302111685076645,0.6751234895399443
0.11721022975334802,0.3212895140817721,0.9073409553027764,0.6620651279433503
0.11721022975334802,0.3949587358288188,0.7835447304936721,0.6487695127938036
0.11721022975334802,0.48551974518470176,0.6481700886212225,0.633961446129983
0.11721022975334802,0.5968456995122308,0.5178372305411619,0.6193990430769525
0.11721022975334802,0.7336978414559202,0.39373473462562425,0.6054801374058225
0.11721022975334802,0.9019291300867378,0.2722674286564678,0.5917078460779359
0.11721022975334802,1.1087345631067829,0.15644138551712683,0.5782484950607302
0.11721022975334802,1.362958896015886,0.04716034913512769,0.5655340441663523
0.11721022975334802,1.6754749189233409,-0.05821017038502744,0.5530268682972778
0.11721022975334802,2.059648469331724,-0.1519500397749566,0.5418962923729898
0.11721022975334802,2.5319100687860603,-0.24335036167064494,0.5307262440970794
0.11721022975334802,3.1124576314230024,-0.3259492739266742,0.5207537730881796
0.11721022975334802,3.826120298201573,-0.39108528108931023,0.5126721619772734
0.11721022975334802,4.703420341698632,-0.45537001385911896,0.5050129297460978
0.11721022975334802,5.781878557530657,-0.5113682787430132,0.49811425213802873
0.11721022975334802,7.107618972018045,-0.5641445155947813,0.4914750634833626
0.11721022975334802,8.737341497011023,-0.6101499651531898,0.4854516520702994
0.11721022975334802,10.7407468993397,-0.6448126014084807,0.48122063454516684
0.11721022975334802,13.203517797162956,-0.6730930691474751,0.47771085634843835
0.11721022975334802,16.23098317592011,-0.703662737720645,0.4738472742280776
0.11721022975334802,19.952623149688797,-0.7202979479863989,0.4718422266497715
0.1373823795883263,0.05011872336272722,1.4218792506713442,0.7215960389854598
0.1373823795883263,0.06161056229074131,1.4146944120225546,0.7206021900419033
0.1373823795883263,0.07573739175895006,1.3995649120437852,0.7186276491424138
0.1373823795883263,0.0931033948916044,1.3603170584991953,0.7136533648745931
0.1373823795883263,0.11445128937012382,1.3177760520291517,0.7083826496854666
0.1373823795883263,0.1406940923446931,1.2747174620521693,0.7032172362913583
0.1373823795883263,0.17295416879649622,1.2256981655013162,0.6976318571191897
0.1373823795883263,0.21261123338996563,1.1467127467471363,0.6891161541562413
0.1373823795883263,0.261361358781646,1.050517523962733,0.6787643406605172
0.1373823795883263,0.3212895140817721,0.9287224985555499,0.6657973725750891
0.1373823795883263,0.3949587358288188,0.8037729982515631,0.6523052052801095
0.1373823795883263,0.48551974518470176,0.6720273093040168,0.6379179079001417
0.1373823795883263,0.5968456995122308,0.5437621064883086,0.6238049901820897
0.1373823795883263,0.7336978414559202,0.4141427134377415,0.6092497427388729
0.1373823795883263,0.9019291300867378,0.29434264050102726,0.595644046113483
