subj,omega,kappa
1,1.253431853156212,0.3670090332916372
2,1.8111724815412449,0.4583669230256542
3,8.432086858959739,0.2483505319022612
4,3.1708842076803974,0.5883158096621836
5,0.9141462954342876,0.073671335801391
6,1.9900915976260227,0.7649947728168066
7,2.9370516873899244,0.2493374468920586
8,3.789050258363833,0.4458846736308547
9,3.225987519239439,0.1900308290121102
10,0.7814614008961952,0.0710046244243985
11,5.101574612251191,0.6544056036715131
12,1.1764397906047737,0.0378536650526026
13,2.869477949767826,0.0746969190278598
14,0.7013823947908043,0.0247602374405701
15,0.9317014406288052,0.6783666664407113
16,3.4936517204665978,0.0953942332481617
17,2.471835256218669,0.6534844089594655
18,1.6389271923135598,0.0140803412917473
19,4.159710093727098,0.1196850000253655
20,1.7304107752865083,0.1324738368930264
21,1.3484904905116692,0.1574554583972801
22,3.5950147277157245,0.3477169863090775
23,1.060367153887813,0.1894760799752139
24,2.7871655006617697,0.111948275657139
25,5.439757585434909,0.7534647153189297
26,1.314844619195568,1.797495420798792
27,1.9188932963953904,0.3087658168434591
28,0.5827418074285143,0.0253630236693447
29,1.1689056618145914,0.1056227900675857
30,2.407337277010699,0.5422666374504715
31,3.5582016233007976,0.2907571194275989
32,3.665691375242517,0.9059468352507208
33,2.6046085908366274,0.1074947288566497
34,1.3266818566867689,0.1751492862067402
35,0.8172505492611211,0.4271948081624073
36,1.6341462050062707,2.6983644819755863
37,1.0734015751543442,0.0879160062919753
38,0.9164822656504062,0.5176967695006706
39,0.4366323379656562,0.0412455418384489
40,1.657321734263802,0.094326783223869
41,2.971113410591404,0.2746215868838246
42,2.023715481648691,0.1964014248232091
43,10.40215625690779,3.5413611721210327
44,3.280453879558547,0.1990001611120355
45,6.540295812549385,0.3805967562927985
46,4.187463997962411,0.3063105789384632
47,7.841810957137785,3.302599706911034
48,0.6169268575980569,0.0658387651572793
49,0.5419729186731955,0.032229232327384
50,0.8437503745265409,0.1142614418443101
51,0.683440291928201,0.1017730689079285
52,2.299441055921804,0.1739414898261367
53,21.9051610198323,1.9742956941145131
54,0.8622928945122207,0.2397713917497733
55,1.2383961346143897,0.0164481653985856
56,0.7831294414177115,0.0328684500939808
57,1.1279902528246115,0.1916604582692821
58,0.3059842644352858,0.23818864984858
59,4.135543837625261,0.5152639616755131
60,1.173483923234997,0.0995507199017754
61,2.510594603213632,1.92162386323575
62,3.110795653502409,1.1451804873132203
63,2.0714109955682245,0.3576349827690947
64,0.5409760586713558,0.1519208503948325
65,0.9007679937214336,0.0081429554585656
66,1.5392245533929798,0.2265344138584739
67,3.4051537740962075,2.010874781167681
68,4.03879092647981,0.0105450653459621
69,3.7152823661401855,0.4685967900273383
70,3.752144275690661,0.352686995412959
71,1.792008188308143,0.2518036501159457
72,3.1288506137943557,0.0052133049931821
73,1.2192033483765965,0.0743546511236829
74,1.273242879264322,0.1884690852456336
75,4.845746762100561,1.0370359448785875
76,1.1781422096547791,0.1909988657171505
77,0.601073903966627,0.0616684443346532
78,0.3489119883961977,0.1325655468335197
79,1.6481035526021135,0.2879505135826491
80,5.832248212484768,0.5686844809984729
81,2.7414325064788665,0.2138192565642045
82,3.0420131901472915,0.274767155814815
83,2.742593248568826,1.2653685266372443
84,0.755487507115437,0.1339782407534561
85,2.1822798048585725,0.6316591856249564
86,2.123379784323343,3.497891759140464
87,0.478863537083654,0.1342605471960151
88,2.6196564115707326,1.015240368700283
89,0.5076446794291748,0.1111954295119915
90,1.8386140481653823,1.7647187066520362
91,1.336461175048273,0.2604539482288115
92,2.014544728784175,0.3202420951348179
93,10.945885596043263,1.0344871278254413
94,1.441511613452327,0.2635961402724998
95,2.1981156575849665,0.0699402010122461
96,2.2034823278381355,0.2513063000432871
97,2.5675449275086737,0.2160859207934898
98,1.0369212645946966,0.2706649627501885
99,0.3683389235354831,0.4145259634907829
100,6.499243853308159,0.5921391474686168
101,0.2156885641095494,2.206797275172782
102,2.184553236366126,0.3118568644276817
103,0.5056557300101806,0.0884744771337968
104,1.8853097986268816,0.1551924937151523
105,1.1332625936168772,0.4888407349482735
106,1.9012286630427413,0.1405702381220621
107,6.612376649434926,0.8666377191712442
108,4.939519062446182,0.6360954324334749
109,2.149747017199257,0.1034767347904034
110,1.909757907924152,0.1385059563959474
111,1.933362870959896,0.2167536661413075
112,0.60220106073455,0.1033400623289804
113,1.1652949243016626,0.0690271294250108
114,1.1107907877925185,0.3358961698916858
115,1.851941001512297,0.8208582726423886
116,5.27359461584746,0.0037676753019867
117,2.76870870265654,0.1789247901840878
118,2.915172757702486,0.1801089462382715
119,0.5956433778186655,0.5803796106738445
120,2.7404445686156595,0.5504267481778161
121,3.225148564749376,0.1548752395304009
122,1.4761545877471558,0.1905146548001748
123,2.090865339203807,0.2267180370855993
124,2.193986207982828,0.1226596140891479
125,8.572719376867509,0.7444701426721434
126,1.6623076048262466,0.1588842826411917
127,1.453836762168197,0.1899879287527197
128,0.8955000593914232,0.2868230424646388
129,2.3438216545507475,1.7626623929084375
130,3.628406921600812,0.5783230209807793
131,0.4050898421748314,0.0628235926619387
132,19.3808888604481,3.257572353567982
133,4.678348061991813,0.40579521223782
134,1.4054039777282776,0.106659279160118
135,2.231041857577879,0.1979308984011983
136,1.1771269223473206,0.1674169328492714
137,0.5156195634581234,0.0792364814891546
138,0.7309658808464228,0.088996013128105
139,1.2540398022197812,0.1683068254832367
140,1.9838907343395216,0.1795250193020167
141,1.3771900025302697,0.2631411102812455
142,4.695764751780589,0.7489406660431995
143,2.166214984362175,0.1019839296060817
144,2.567945402067542,0.3373000525199187
145,0.3684954726511792,0.0608700714881156
146,0.4164508326098161,0.056003791110166
147,1.97943702908568,0.1747812109672469
148,1.819500148360889,2.133698143701781
149,3.6952033859373272,1.7055609405567371
150,0.6454323807015402,0.1245516754590045
151,1.5486956696340286,0.1248491468313948
152,0.9353848885693294,0.0592256419541267
153,1.1319877853886933,0.0769580244252498
154,1.0946641250720273,0.1554442020768109
155,4.176161019370539,0.6865967185456822
156,2.4723636922131726,0.1352869884088078
157,2.201071535136396,0.6177699186716549
158,2.14271519024952,0.1275190375074685
159,4.498391140730449,0.302718513232061
160,1.1522370543790363,0.1772918652778583
161,2.9642504102028027,0.1641824681332945
162,12.2934875248509,1.0917483504595682
163,6.079847592280832,0.4279092181540461
164,1.830200964636746,0.2750569973216681
165,1.5876597971578847,0.0436660916831132
166,0.2841355275551397,0.1069073328205472
167,2.5032205339238964,0.0421366483319911
168,1.3584990401905424,0.2170741384938168
169,2.1332724037143183,0.4568316065140337
170,0.2694933836555306,0.0402748509478304
171,0.3425131066074436,0.0399538317782228
172,1.3348790920028837,0.5133601579676975
173,0.4911460789188905,0.0440509357535418
174,5.491905283456093,0.0138328378281371
175,1.493048157153691,0.0892078343314992
176,1.4113899816540092,0.0960083503684636
177,4.400739195900109,3.371322185648338
178,1.160130047712018,0.0818748631031941
179,2.4638597655140217,0.3207566959730234
180,1.7844681112674543,0.2477658586218511
181,2.201999752491877,0.230258582721178
182,3.0463602631223607,0.0054498216497685
183,18.369648412943484,0.40774152500122
184,3.2893565036257435,0.569681593852892
185,1.6585877612920068,0.0963620962055979
186,2.262317437158112,0.0314715639285395
187,3.2557242460852387,1.4778218917299368
188,0.8254457522040404,0.1450760027581073
189,1.0205153735024275,0.0609856484404315
190,48.98472070369127,0.0491609041315749
191,1.0684576697900232,0.0278390562449566
192,3.069930378538268,0.0320240011578183
193,1.461322301243403,0.3391810512503614
194,1.6954481019302183,0.045012801294102
195,1.30529112186162,0.25033382599996
196,3.2146910434776688,0.3400614869166796
197,0.4055123682702773,0.909183573636688
198,2.353788170172789,2.554689547209825
199,9.083271707917914,0.6248430751099145
200,1.6769041037368568,0.1051890223996882
201,3.016882422154448,0.2446306067648307
202,3.1106341863775087,1.1981198785328004
203,3.02998791205625,0.0475185118820506
204,0.1952899232470137,0.2323664536069495
205,1.588406275216094,0.0977794238601335
206,4.679778631593159,9.19860669700038
207,0.8210490273375329,0.0853869487619951
208,2.433795344116485,0.2320388328528422
209,19.21553893208073,3.256729916439984
210,2.5642429042980246,0.1110356554369791
