subj,sample,omega,kappa,omega_z,kappa_z,escape_rate,captures_per_trial,earnings
1,exploratory,2.0652947783679045,0.1355515784228703,0.45027561393875976,-0.3211919561436626,0.8333333333333334,0.08641975308641975,151.0
2,exploratory,1.1184079866502683,5.501210145643055,-0.21822538418549642,2.481556380154293,0.5641025641025641,0.20987654320987653,-1.0
3,exploratory,1.012396617088502,0.3440909312867524,-0.32676277325905195,0.3838172311600646,0.10256410256410256,0.43209876543209874,-87.0
4,exploratory,1.124954253533513,0.1944476464150223,-0.21186464815859385,-0.04812678146984047,0.6829268292682927,0.16049382716049382,126.0
5,exploratory,0.3486304275899195,0.0656435249710563,-1.4886522665286677,-0.8699649207187813,0.07317073170731707,0.4691358024691358,-92.0
6,exploratory,2.061644676449375,0.1285196135460045,0.44834769466400665,-0.3615077496426724,0.8536585365853658,0.07407407407407407,157.0
7,exploratory,1.2129803767030205,0.3500068210499841,-0.129754582994438,0.39671833322376476,0.6097560975609756,0.19753086419753085,60.0
8,exploratory,3.54658955354959,0.5912450851132407,1.0395927163280652,0.793497156316324,0.3170731707317073,0.345679012345679,-58.0
9,exploratory,0.7088194599381766,0.0667939857207517,-0.715280391524249,-0.8568160461815052,0.0,0.48148148148148145,-127.0
10,exploratory,2.1116021033263506,0.061679493815299,0.4744427714618753,-0.9171046812617132,0.24390243902439024,0.38271604938271603,-32.0
11,exploratory,1.2211588447198778,0.1162816924431821,-0.12243072325943316,-0.43723862138278774,0.15384615384615385,0.4074074074074074,-51.0
12,exploratory,2.72195343918142,0.5312039685523766,0.7511684215247822,0.7124544915627045,0.7692307692307693,0.1111111111111111,127.0
13,exploratory,0.6173735839791283,0.1248815608744677,-0.8658228276328762,-0.3832401181455955,0.34146341463414637,0.3333333333333333,17.0
14,exploratory,1.3704689254748887,0.0108956435110627,0.003290772528119405,-2.229101793775914,0.5365853658536586,0.2345679012345679,46.0
15,exploratory,2.632667209912775,0.1341347649695639,0.7148181325276908,-0.32914392320551683,0.8717948717948718,0.06172839506172839,139.0
16,exploratory,3.2987499422028574,1.696731542136605,0.9606381162357441,1.5913477784713246,0.2564102564102564,0.35802469135802467,-107.0
17,exploratory,1.354491059860525,0.5392665164108084,-0.009490539889791122,0.7238549595727474,0.5952380952380952,0.20987654320987653,57.0
18,exploratory,0.8709705078624106,0.1212601850316433,-0.4907555626938593,-0.4055109542491646,0.5609756097560976,0.2222222222222222,53.0
19,exploratory,1.5318461582281058,0.5033607651639311,0.12461784312640459,0.67170865144853,0.38461538461538464,0.2962962962962963,31.0
20,exploratory,1.4520800820922295,0.3307383460364238,0.06633436458074184,0.35386390954905705,0.4634146341463415,0.2716049382716049,53.0
21,exploratory,0.9250851089423864,0.1981717536108143,-0.42505970486325373,-0.033769232602223115,0.8292682926829268,0.08641975308641975,175.0
22,exploratory,0.8499663770474899,0.1373736554359851,-0.5173611699624381,-0.31108672271237564,0.6585365853658537,0.1728395061728395,111.0
23,exploratory,1.1789602693546783,0.0160105546811692,-0.16075920251409562,-1.9378168688632356,0.3170731707317073,0.345679012345679,15.0
24,exploratory,0.2777647968201427,0.0416469362015978,-1.7363159075335206,-1.2143219192127161,0.4634146341463415,0.2716049382716049,97.0
25,exploratory,1.9724700662510295,0.1440228969217736,0.40015562657545656,-0.27531407855893736,0.8205128205128205,0.08641975308641975,127.0
26,exploratory,2.6176197838612625,0.0250672844021399,0.7085708348279117,-1.5985272791888352,0.6153846153846154,0.18518518518518517,65.0
27,exploratory,1.7111079417710588,0.3066326435129096,0.2452329420191708,0.296590695014637,0.3170731707317073,0.345679012345679,-21.0
28,exploratory,1.7389643086577762,0.163708134606547,0.26283314027770416,-0.17835696787579194,0.5384615384615384,0.2222222222222222,97.0
29,exploratory,0.7263933425689098,0.0332101269022862,-0.6885881548444248,-1.385643231396821,0.4358974358974359,0.2716049382716049,50.0
30,exploratory,1.0262991023524215,0.2192099069707532,-0.31189798925389567,0.042589606867954224,0.3076923076923077,0.3333333333333333,3.0
31,exploratory,0.4509635769678151,0.0968075839728276,-1.2081432747786665,-0.5759545482949725,0.07317073170731707,0.4691358024691358,-103.0
32,exploratory,2.3035756984121116,3.146945740621344,0.5692800422853215,2.0588509611547923,0.7435897435897436,0.12345679012345678,60.0
33,exploratory,0.6425733928583937,0.2054230246397975,-0.8222199917046704,-0.00657153153704758,0.5121951219512195,0.24691358024691357,93.0
34,exploratory,1.2351057815245567,1.2027393579214674,-0.1100535866266955,1.3309279238283969,0.2926829268292683,0.35802469135802467,-39.0
35,exploratory,7.944918269717202,0.4950882729992215,1.9186375321991926,0.6591675044249216,0.0975609756097561,0.4567901234567901,-153.0
36,exploratory,1.0824811321022452,0.1932377604836275,-0.25381075128359576,-0.052850491636118824,0.4358974358974359,0.2716049382716049,35.0
37,exploratory,3.9009507286975937,1.0289526214421596,1.143386937133334,1.2128198966081007,0.7560975609756098,0.12345679012345678,69.0
38,exploratory,1.1957890760702508,0.1778952127592479,-0.14531182876301194,-0.11545885984517389,0.34146341463414637,0.3333333333333333,-23.0
39,exploratory,0.1716946464032115,0.0487637720979839,-2.260614249020867,-1.094927681393237,0.3333333333333333,0.32098765432098764,46.0
40,exploratory,0.5382602707306089,0.2446285482683059,-1.0152814563319996,0.1256201257604645,0.3902439024390244,0.30864197530864196,29.0
41,exploratory,1.723379924353356,2.0161333490314544,0.25302166810190907,1.7218806387588288,0.43902439024390244,0.2839506172839506,-5.0
42,exploratory,0.7375722705268194,0.0271408968847671,-0.6719429340049864,-1.5383774468456222,0.21951219512195122,0.3950617283950617,-32.0
43,exploratory,3.1181342187730907,0.9858772997861964,0.8992678618401593,1.1804550779819236,0.20512820512820512,0.38271604938271603,-71.0
