Model,form,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
Linear (M1),linear,287,-8201.769608584289,19190.054836790143,0.7085013839462238,0.9472664973715971,0.007344363352898182,0.0
Quadratic,quadratic,287,-8338.030894023415,19462.577407668396,0.6930802688809806,0.870658284992474,0.007344363352898182,272.52257087825274
Hyperbolic,hyperbolic,287,-8677.571717619223,20141.65905486001,0.6591538157374456,0.454700798533046,0.007344363352898182,951.6042180698678
Exponential,exponential,287,-8394.918279910253,19576.35217944207,0.7199683669434559,0.7715104874576795,0.007344363352898182,386.29734265192747
