Model,Desc,ELBO,BIC,acc,ch_r2,vig_r2,dBIC
F1,"Linear κ·u·D, no baseline",-9192.477556563086,24476.687607468077,0.6980842911877395,0.8953895759645815,0.3399703005832628,2388.150024990973
F2,F1 + cookie intercept,-8567.469038436831,23237.03066049166,0.6864367816091954,0.8967955327145226,0.37416711462220803,1148.493078014555
F3,Quadratic κ·u²·D + cookie,-7993.222499429555,22088.537582477104,0.7022222222222222,0.8860730606846224,0.3947899734651375,0.0
