Model,form,n_params,ELBO,BIC,choice_acc,choice_r2,vigor_r2,dBIC
Linear (M1),linear,299,-8870.39112701991,20655.435046298844,0.7118695487296169,0.9509706174058306,0.007538525350136339,0.0
Quadratic,quadratic,299,-9036.876130972369,20988.405054203762,0.7030716723549488,0.8744701686551767,0.007538525350136339,332.970007904918
Hyperbolic,hyperbolic,299,-9301.094302643523,21516.84139754607,0.6671217292377702,0.46640863701967133,0.007538525350136339,861.4063512472276
Exponential,exponential,299,-9003.339946776337,20921.3326858117,0.7224118316268487,0.789171281278734,0.007538525350136335,265.8976395128557
