subj,log_omega_true,log_omega_rec,log_omega_lo80,log_omega_hi80,log_omega_lo95,log_omega_hi95,log_kappa_true,log_kappa_rec,log_kappa_lo80,log_kappa_hi80,log_kappa_lo95,log_kappa_hi95
0,-0.5425814808234831,-0.6294854894436316,-1.1434716033808234,-0.16876286629161072,-1.5237044189024587,0.01456450996805339,-0.8805014944740316,-0.9558126691999149,-1.5569881871806692,-0.35797496096196507,-1.9021186026186758,-0.07347368978165139
1,1.1204302518059952,0.9351510097474137,0.6267280521714976,1.2335800329051785,0.4428584387657821,1.3677850803642007,-0.7968964197978538,-1.2130755682388912,-1.8009893367626315,-0.6326552684558898,-2.1450878323390676,-0.3393579128075487
2,-1.793190654561729,-1.4354400194338204,-2.051279146125696,-0.883587986055572,-2.444252521847751,-0.6544878849599125,-3.8226806593029803,-3.306297315757639,-4.137078252380533,-2.552862108211931,-4.813679876950072,-2.2329167351047734
3,-0.094250380361418,0.033924818209054734,-0.3330241707423994,0.3752202183904144,-0.5804959527914972,0.5312164320324576,-1.3032898778852995,-1.0975039929701416,-1.684058239600486,-0.5247666181135616,-2.0148207307214325,-0.24385590683693048
4,-0.5561663251567392,-0.39507902452031857,-0.8414571505893073,0.008160888267985177,-1.1770586364089126,0.1763148893865118,-1.357747945362691,-1.7589524300691872,-2.455355754406729,-1.075837152515582,-2.885936369769101,-0.7445391472942559
5,1.0614248116666698,1.2952819452819013,0.9981410598611044,1.5851790647748685,0.8256637480238214,1.7190085310711196,-0.5828348039722575,-0.9801739182423177,-1.539801572298924,-0.4109914968847947,-1.8338222192182196,-0.11291381715668851
6,0.9364212314983947,0.9377503445836232,0.640352255366077,1.2222581684837945,0.46346642456236353,1.3692909332614032,-1.7582946488150717,-2.2134614324799795,-2.9179624604570216,-1.5478529525931175,-3.4785825752111537,-1.2319185962148023
7,-0.3335724765153701,0.03320034472453349,-0.32115793114510843,0.3633071977050011,-0.5534981411617897,0.5181112002798248,-0.7099207087515652,-1.3669770837352235,-1.9180793280423547,-0.8164393254240437,-2.217964639069005,-0.5187470673045216
8,-0.4530076431528405,-0.26964071520187777,-0.6959403159890054,0.11968898492463981,-0.989665029702923,0.2878905248305218,-0.815991996792935,-0.6483405720639595,-1.2131179909694905,-0.09654304269980969,-1.5253789621743403,0.17219562882366662
9,0.45335035635459303,0.18399729432537915,-0.279195274168136,0.604015265261757,-0.6531953703128044,0.766904739817874,-0.37048306911209816,0.0397159163748242,-0.5598666021888711,0.6046451854343756,-0.9025939772401327,0.8586219660601225
10,-0.5086510289802734,-0.018978473223102477,-0.3794028206536918,0.3199551946821668,-0.6284148974519344,0.4665118505573677,-1.626410737424327,-1.6398001118828645,-2.17865189644454,-1.1025797941495996,-2.462392470424797,-0.8115478031119434
11,0.5379672025114275,0.8228575497544385,0.4041894278802553,1.2135358627606907,0.08166672589056308,1.3794866028175592,0.11563291659066624,0.3992785046113858,-0.1284240550578952,0.909242306670605,-0.4231980745272619,1.1421657802374523
12,-0.38148604856542573,-0.32668887482730286,-0.7398333638464655,0.049503413950872655,-1.0340899156292571,0.21097213734260348,-2.036121448764191,-1.6184532826929698,-2.2463462620482244,-0.9998793786038938,-2.6323918368671726,-0.6827127929357991
13,0.5959063186795549,1.0199660566915916,0.6646481896865205,1.354138817097105,0.42142990114499157,1.4993131618541313,-0.9395366108317587,-0.16624577089097609,-0.8425997245508797,0.4609332743930145,-1.2879087946463343,0.7677614146193964
14,0.5878085927737848,0.6896326157380969,0.3548233963503543,1.014109942552976,0.14219666975191522,1.1629726113403922,-1.1159598020813912,-0.5022337019910078,-1.1054983825592417,0.0951747757251274,-1.44784544760026,0.39563834275455356
15,0.7841927494822861,0.38640521850775594,-0.42699189113836256,1.076591023433225,-1.0013355798214127,1.333266199883505,1.407000990768683,1.499386169498982,1.0865775278688208,1.8940064981115696,0.8434069034150528,2.059892969125095
16,-0.7597395221561966,-0.15340308848131107,-0.5431819057847691,0.20526564306965742,-0.7999930203436032,0.357163327109011,-2.02894979189724,-1.7253348307848522,-2.3348021092598157,-1.1318197873396658,-2.7088498766523883,-0.8279261817868103
17,1.19566259436294,1.101377991178995,0.7866753895125034,1.4055834756432415,0.5941054606348926,1.5479896632560814,-1.0249458159375515,-0.5353530750730969,-1.138696172712004,0.06202011634007652,-1.4983983539154275,0.38050223391046156
18,-0.5922751086819037,-0.5986683227103421,-1.0718845795906005,-0.17223519489267727,-1.4416387127618624,0.005244537495311361,-1.4906960523697648,-1.71128690635173,-2.2951338823577188,-1.1357311411349427,-2.639009269276311,-0.849895444417428
19,0.1687899996943451,0.32894304266328817,0.021521123366144788,0.6222321591577201,-0.17536730374489665,0.7647549651556339,-2.823490355313395,-3.3755285085235727,-4.432998485491446,-2.463606047849092,-5.157142197600394,-2.0891681085661555
20,0.8253141738918045,0.6115959267292521,0.25535518060260504,0.9453560975520409,0.04312374725993311,1.0965271350408348,-0.7039362881783958,-0.4718002802873238,-1.0316019583570184,0.07601567477706549,-1.3574825499603855,0.33450602200372737
21,-0.0638111408101708,-0.4652211335183713,-0.9109005683324941,-0.06294208945210221,-1.2231634243978973,0.09629503126610336,-2.503386777385272,-2.459520976750401,-3.1578460532231385,-1.7951274297887598,-3.667334445029555,-1.4904655635713768
22,0.2932116491212735,0.36086563509819647,0.04773485939142622,0.6640707716832068,-0.14458338919028024,0.8033819931163543,-1.4562276932044744,-2.7999261529259964,-3.759694594450005,-1.9610932113431854,-4.528973075360611,-1.6334111087628689
23,0.6508495388850243,0.5536530585977052,0.22334311541958707,0.8716251850750236,0.008130569204615842,1.0183405039332172,-0.4504418942326405,-0.6628515959560511,-1.2671549677427945,-0.05933482855003628,-1.6022078685788643,0.24620900717187355
24,0.44601216353076845,1.1411814056130258,0.8362440107139192,1.431901607189388,0.6532671172654675,1.5787045463750526,-0.6670500918837495,-0.4607112529787,-1.0165591274111507,0.08610640052066476,-1.3149365508603508,0.36321916422020123
25,0.6769875003093901,0.6988905836979591,0.38601780574589606,1.0010647980286984,0.19174735600030757,1.1405200674271403,-1.3326329767931366,-1.7051079472029351,-2.3529716184152933,-1.0607026311518124,-2.7504843368509073,-0.716804682752392
26,-0.8402591582711583,-0.5332027159803114,-0.9757904422756936,-0.1338942440210608,-1.3079111985302352,0.030943744452853014,-3.417262616820191,-3.680497234325974,-4.704510102051663,-2.784239864782217,-5.421752812170561,-2.450208124534509
27,-0.6117082537521126,-0.12041632085286873,-0.5166678547006323,0.24657415180330833,-0.7978683328370293,0.4027687347323493,-2.0182192422798875,-1.9244262603600648,-2.6911681611204803,-1.181163313269478,-3.233350332782772,-0.7955605160813748
28,1.0463130853294504,1.4060584633518207,1.124016017547217,1.6769905693087115,0.9614785255536386,1.8186693823189226,-2.308416603571097,-2.4679745850346615,-3.568768019992903,-1.5223575330849055,-4.463835717981235,-1.1485249276084981
29,0.38260737952063334,0.0898499094972205,-0.2554623938097703,0.41536252553441183,-0.4682694540085403,0.5661261837246748,-2.960651279581051,-3.226879469913905,-4.23887474237084,-2.3511368659612986,-4.9653868876916825,-1.9736397311204898
