model,parameter,mean,std,rhat,ess
M1,bc,0.05305641023516603,0.007430396344156833,0.999938614820188,16000.0
M1,kappa (max across 290 subjects),4.116636416254282,3.4397281769353856,1.0002174981655585,16000.0
M1,kr (max across 290 subjects),0.005540064958230571,1.0012170312552253,1.0002206816189665,16000.0
M1,mk,1.18445790473416,0.04129066915811924,1.0007377005676865,3731.0673492296514
M1,mu_vigor,0.940990050601011,0.005017176205636715,0.9998276817477857,16000.0
M1,rp (max across 5215 subjects),0.9675131688144487,0.027041134351102156,1.0001760550868826,16000.0
M1,sk,0.6558762666343637,0.03672476827939872,1.000763124076024,5454.559193394839
M1,sv,0.565079553276468,0.005542294354478192,0.9998294979344923,16000.0
M1,tr,1.1433655102914595,0.03667752784853464,0.9997861496485508,16000.0
M2,bc,-0.02267922482421462,0.008332606300900101,0.9999045447315263,16000.0
M2,gamma,0.928121895570674,0.02409870341554029,1.0000752203805565,16000.0
M2,gr,-0.0749289899892068,0.02594971271475038,1.0000761180489368,16000.0
M2,hazard,0.6690580025785242,0.054699646431027836,1.0001326075234307,16000.0
M2,hr,-0.40525138186236237,0.08227926484570398,1.0001326489850282,12479.327860328114
M2,mk,-5.761895002113028,0.3946807124787774,1.0000357423625952,16000.0
M2,mo,0.12924679351426638,0.11798498609200503,1.0002611425449501,5354.772311142772
M2,omega (max across 290 subjects),2.2384455469743427,6.955015020093068,1.0013282108200197,1439.4157113508395
M2,or (max across 290 subjects),-0.0003694357761773417,1.0008409846595492,1.0015362424955632,1046.812534712887
M2,rp (max across 5215 subjects),0.9638018554100537,0.049483293770209845,1.0016449131332257,1044.4868146151143
M2,so,1.022616520630949,0.0568258699604156,1.0014853438612137,3633.1990472177804
M2,spr,-2.7506817704483035,0.04859941322544682,0.9998076049029901,16000.0
M2,sv,0.5664147108694645,0.005650766023591287,0.9998592603460942,16000.0
M2,tr,0.6588432699092506,0.03975615487459832,0.9998972206691334,12142.081700488654
M3,bc,-0.24270195598062108,0.00752789782076468,1.0001966353864642,16000.0
M3,gamma,0.7597092126550256,0.016425669469645104,1.0003206366795965,16000.0
M3,gr,-0.27505338185192313,0.02163016636781435,1.0003299697276102,16000.0
M3,hazard,0.8929995471732323,0.024468691452951132,1.000323802246109,16000.0
M3,hr,-0.11354452575971367,0.027398968856637132,1.0003402532302308,16000.0
M3,mt,-0.9161116301678962,0.11177486262925677,1.00234987270946,815.982457046417
M3,rp (max across 5215 subjects),0.8582549643078765,0.1795677545459097,1.0114130477763381,739.5530271423474
M3,spr,-0.8637227571360298,0.030068044527402058,1.000100133664467,16000.0
M3,st,1.7061359962327889,0.09460393954098312,1.0013149026362511,2879.9342693984677
M3,sv,0.5781786271608274,0.006050228419792466,1.0000169502629248,16000.0
M3,theta (max across 290 subjects),1.4479891133466312,6.705965888085111,1.0031405226382073,983.5231706226303
M3,tr,0.4484186864823336,0.02718586787060831,1.0002001843168045,16000.0
M3,tr_ (max across 290 subjects),-0.009531984826607982,1.0176809418912725,1.007400265772097,847.4159225094709
M4,bc,-0.20565086337988056,0.006617032710202015,1.0001455684956615,16000.0
M4,gamma,0.8466075801351258,0.019658362988133688,1.0000051496780493,16000.0
M4,gr,-0.16678776117650648,0.023233067787566404,1.0000043926425874,16000.0
M4,hazard,0.5505793505853777,0.032455795854577585,1.000206373559979,16000.0
M4,hr,-0.5985293170446301,0.05916939767905125,1.0001974991981202,16000.0
M4,kappa (max across 290 subjects),0.502079542252665,0.8903081958077596,1.000931531811288,3531.4820987669777
M4,kr (max across 290 subjects),-0.004331098264571409,1.0127444075842178,1.0005202280951877,3479.567933682652
M4,mk,-1.549291424993111,0.10593253210107854,1.0001066778639112,4525.296062175505
M4,mo,0.07784645620327507,0.0861229986786266,1.0005290111187009,6304.548845155666
M4,omega (max across 290 subjects),1.7707273963388424,3.0268532770840895,1.0015976076711655,2506.1892016837014
M4,or (max across 290 subjects),9.723079887439447e-05,0.9995427202241332,1.001244046511925,2872.5547171052226
M4,rp (max across 5215 subjects),0.9352345013097588,0.17064799244168974,1.000311433160863,16000.0
M4,sk,1.4294522925805062,0.0776423696352342,1.0009358912909405,6010.639466495981
M4,so,0.9275770436305557,0.05022264882557549,1.0003619391396739,5597.496895850203
M4,spr,-1.397887056475923,0.029525891131682188,1.0001034529944923,16000.0
M4,sv,0.4544358733161754,0.004776506521526458,0.9998146193006272,16000.0
M4,tr,0.6671345923958504,0.028528157659949496,0.999964313302717,16000.0
