param,true,recovered
mu_log_om,0.07793664526024482,0.28482038782082475
sigma_log_om,0.8711738648018156,0.7396883302750298
mu_log_kap,-1.5554825233367946,-2.521263936643716
sigma_log_kap,1.3590276656023381,2.345447818477647
gamma,0.86,0.821693642163474
hazard,0.832,0.7544182587513858
