predictor,beta_omega,p_omega,beta_affect,p_affect,R2
anxiety_intercept,-0.621404743572186,4.717568539093472e-74,-0.1773517480760102,7.086532790104729e-11,0.5989841373258586
confidence_intercept,-0.6186295187501168,7.544891022628569e-75,0.20278567963485059,8.049512464995769e-14,0.6083045052610376
anxiety_slope_distance,-0.6236062300665315,8.710307606972322e-71,0.06333347174609082,0.02224718275438722,0.5716655420992502
confidence_slope_distance,-0.6303865096613633,2.202855966039978e-74,-0.15398203132633248,1.8806199447086724e-08,0.591193500204785
anxiety_slope_threat,-0.6208882473515739,5.160010842553782e-74,0.17818161370141875,5.41217925437659e-11,0.5993578686889274
confidence_slope_threat,-0.6236165172652988,2.978781697522159e-77,-0.22663001104190553,3.3006107028776506e-17,0.6188019720546253
anxiety_slope_trialCookie_rewardValue,-0.6198894201572033,5.297397043186258e-70,0.044685186933335806,0.11333258327256027,0.5696009250614055
confidence_slope_trialCookie_rewardValue,-0.6306876304544946,2.7183531451854878e-71,-0.07149843929222065,0.010851525767353105,0.572621216484102
