Model,Description,n_per_subj,n_params,WAIC,p_WAIC,SE_WAIC,LOO,p_LOO,SE_LOO,n_pareto_k_bad,pct_pareto_k_bad,choice_acc,choice_r2,vigor_r2,converged,elapsed_min,dWAIC,dLOO
M2,Threat-only (omega),1,299,14740.225562823738,360.6707716882095,668.9122760990886,,,,,,0.7893486590038314,0.9082997048593056,0.006269139540462179,True,44.510964119434355,2067.2811725978227,
M3,Single-param (theta=omega=kappa),1,299,15375.01537761594,352.45662884176045,593.7161327903293,,,,,,0.77272030651341,0.8451973165983305,0.101405241769151,True,43.0137358824412,2702.070987390025,
M4,Separate (lambda+omega),2,591,13007.635405315898,1695.4663864787426,1925.6306735158234,,,,,,0.789272030651341,0.9443254207934204,0.597188381398971,False,107.30605597496033,334.6910150899821,
M5,Joint W(u) (omega+kappa),2,590,12672.944390225915,466.6941893744119,838.7648878202901,,,,,,0.7796168582375479,0.8936635168289991,0.38689594891005735,True,48.158660042285916,0.0,
