subj,k,beta,alpha,delta
112,8.940322,7.8149486,0.2465232,0.16927783
113,7.0826707,6.8587327,-0.0052623227,0.080676444
114,9.097327,7.043101,0.14292718,0.10606528
115,7.8730745,7.2395267,0.09067279,0.16479295
116,8.759807,6.6612935,0.17312726,0.13016811
117,14.011237,7.0628467,0.1812776,0.061149623
118,11.614586,7.032948,0.005887866,0.049489357
119,15.588484,6.4580336,-0.023172848,0.08327641
120,7.5456433,7.374007,0.07397375,0.2083825
121,11.078214,6.8532796,-0.017067708,0.16843191
122,5.2124047,7.748662,0.32422033,0.15504222
123,8.41906,7.119828,0.20100045,0.07821395
124,20.058786,6.837536,0.24908131,0.09529586
125,8.390185,7.2264724,0.01532457,0.19045967
126,9.446275,7.5123453,0.106945254,0.10987978
127,10.714809,7.0251546,0.058621008,0.12228355
128,10.516178,7.4164233,0.072360925,0.12456262
129,8.308127,6.781993,0.107962504,0.16986115
130,2.8527284,6.4754324,0.0918595,0.118622564
131,5.0418835,7.282799,0.10882385,0.14936917
132,5.5465097,7.023502,-0.019732863,0.13195254
133,5.3491936,7.240806,-0.07425778,0.12321903
134,18.211771,6.6485114,-0.10480177,0.020861022
135,6.018357,6.5817375,0.12713501,0.12796971
136,5.4581847,7.555074,0.10061178,0.18862396
137,5.306547,6.792526,0.1402611,0.19989958
138,7.4146447,7.272354,0.061528347,0.057784658
139,15.043067,7.2697263,0.19331364,0.083237596
140,6.960608,7.852862,0.013257481,0.11269047
141,13.811909,6.4251237,0.2751121,0.07948992
142,7.322451,7.283448,0.048673667,0.14172137
143,9.181086,7.401478,0.26854974,0.1494188
144,7.4101734,6.949616,0.14449926,0.14301033
145,2.7662418,6.2511916,-0.0074790716,0.073669955
146,17.608747,6.768879,0.1350351,0.092287555
147,9.939606,6.820627,0.057739895,0.07398623
148,8.719296,7.032857,-0.015431449,0.1137965
149,6.792397,7.1636944,0.08386662,0.17884067
150,3.5364492,6.406696,0.04216184,0.07241252
151,6.479074,7.478195,0.018471114,0.19277287
152,11.735332,7.815312,0.9801871,0.28536743
153,18.830475,7.4283204,0.2192134,0.09630149
154,9.381286,7.1852283,0.5154569,0.14958328
155,5.6636314,6.880646,0.100868255,0.1799495
156,9.184624,7.2061887,0.19948895,0.15396659
157,6.315122,6.4215555,0.17219493,0.17976402
158,3.4552157,7.1353655,0.53231835,0.1532867
159,9.100151,7.380978,0.052492693,0.108066775
160,6.746276,7.1990423,0.045765653,-0.0353845
161,7.0031705,7.133484,0.11579399,0.07968514
162,3.7568796,7.1871705,-0.08587208,0.060503278
163,12.8067,7.345843,0.10875795,0.08602062
164,6.690659,6.68062,0.07172792,0.17564365
165,4.609302,7.835441,0.19480534,0.24403709
166,13.566733,7.2062807,0.24587011,0.14940265
167,9.731388,6.7584386,0.082869716,0.20083398
168,7.377068,7.4513745,0.023402408,0.11752034
169,5.206311,7.0978456,-0.086280026,0.016653866
170,9.776792,6.6455746,-0.06458131,0.031187594
171,3.6918292,6.9608216,0.036876973,0.13125935
172,8.094898,7.080486,0.04601356,0.23486553
173,6.682288,7.4432516,0.14395002,0.23087633
174,5.8114066,7.5638947,-0.0029703826,0.20195076
175,10.906712,7.532412,-0.06393016,0.11506676
176,4.551037,7.2371235,0.029481545,0.106034175
177,4.5517044,6.4805293,0.10637858,0.120925404
178,3.881135,7.383374,-0.060255684,0.0024550855
179,8.100645,6.7915955,-0.11509568,-0.06640487
180,4.4552,7.2507834,-0.012451574,0.13005467
181,6.101978,6.573412,0.059341,0.07790631
182,9.437397,7.292057,0.13609833,0.123526976
183,6.9264865,6.8100395,0.19213831,0.1640498
184,19.043127,7.6839943,0.15540874,0.04805486
185,6.907625,6.504624,-0.11044384,0.14986894
186,14.417881,7.2647147,-0.10922518,0.03506439
187,9.578649,7.505483,0.012671858,0.13490416
188,18.83268,7.229718,0.16046953,0.048301406
189,14.501143,6.1801023,0.24971762,0.116946585
190,5.507183,7.172208,-0.07362928,0.14648655
191,10.951791,7.022321,0.080220714,0.09286385
192,6.8104324,6.515928,-0.07058013,0.09320997
193,7.0350857,7.2435246,-0.23325989,0.06895481
194,7.1422935,7.0972905,0.104687534,0.006112255
195,8.111698,7.3794336,0.10005812,0.14543688
196,5.094302,7.180371,0.03069485,0.14658967
197,3.0349889,7.2496734,-0.121565886,0.12108375
198,5.865976,7.165999,0.26278195,0.15395865
199,13.50616,6.833614,0.25343752,0.02509737
200,4.575865,7.6403794,0.67152804,0.09862683
201,5.746529,7.6171546,-0.039497845,0.029023156
202,7.8651257,6.9037395,0.0979028,0.11028433
203,11.085564,6.9320397,0.2185736,0.11574466
204,5.2678995,7.416706,0.13097708,0.1505233
205,6.3517337,7.8361306,0.3487335,0.19836313
206,19.15278,7.138697,-0.15222636,-0.02832327
207,14.154796,7.405827,0.18351413,0.113023296
208,5.0022,6.3532915,0.31666058,0.048530854
209,8.469127,7.6476364,0.09474563,0.049066953
210,6.2168965,7.1779103,-0.112514175,-0.07809309
211,5.242062,7.452631,-0.07111298,0.1541211
212,3.7481346,7.7849154,-0.15391356,0.106614985
