subj,k_joint,beta_joint,alpha_joint,delta_joint
110,20.662792,7.0255375,0.10344789,0.271691
111,7.6452594,7.022146,-0.11263054,0.2723892
112,6.703488,7.460894,0.13686828,0.27245015
113,5.4620256,6.4700527,-0.1165538,0.27220276
114,6.927731,6.565956,0.019944783,0.2723907
115,5.7496233,8.081323,0.0071118465,0.27248737
116,6.4317393,6.854452,0.07704549,0.27239946
117,10.747727,7.3087244,0.09531142,0.27187312
118,8.324202,7.088247,-0.14103033,0.27198297
119,12.280566,6.1926217,-0.10314933,0.2725921
120,5.813397,7.288388,0.028313965,0.27275395
121,8.277992,8.2989235,-0.043086663,0.27258614
122,4.0208435,6.1523175,0.06937334,0.2727393
123,6.1752095,7.148694,0.06503429,0.27177098
124,29.399626,6.675215,0.21292001,0.27172408
125,6.7462573,7.189034,-0.04548481,0.272538
126,7.0022697,6.2463007,0.04000909,0.27294552
127,8.041792,6.442843,-0.017426196,0.27246544
128,7.882248,6.813621,0.009159724,0.2727243
129,6.247308,7.339544,0.019953169,0.27282384
130,1.7547028,7.5553336,-0.08505195,0.27243567
131,4.043775,7.5949874,-0.019326204,0.27262616
132,4.2874656,5.9805355,-0.15053467,0.27230576
133,4.0715113,6.3063188,-0.22071546,0.27254954
134,18.35869,6.82301,-0.18399175,0.27154565
135,4.6228447,6.778885,0.015237006,0.27265912
136,4.3435464,8.3728,0.031894747,0.27258947
137,4.097694,6.686379,0.05169298,0.27288714
138,5.672515,6.3702664,-0.06844757,0.27183035
139,11.827229,6.5036554,0.09283466,0.27166703
140,5.4206147,7.2886214,-0.09063694,0.2722591
141,10.56873,6.95007,0.20039208,0.27184296
142,5.5400734,6.373675,-0.061350264,0.2728933
143,6.808881,6.6477895,0.1752983,0.27218148
144,5.4756236,6.2636847,0.01748703,0.27239582
145,1.7746207,7.4080625,-0.19653855,0.2718634
146,16.637812,7.7307587,0.066005506,0.27217904
147,7.3555984,6.994723,-0.06846113,0.27195308
148,6.5374546,6.7558107,-0.09438225,0.2724824
149,5.1820726,6.0601954,-0.01397335,0.2729963
150,2.4875422,6.809197,-0.1354487,0.27229717
151,4.9418,6.7360716,-0.073809,0.2725769
152,7.3373694,7.031057,0.5903926,0.27335224
153,20.544579,6.723461,0.12997891,0.2718816
154,7.1463575,6.3216777,0.305371,0.2732871
155,4.391804,6.2944603,0.0022587972,0.27310044
156,6.872281,7.528261,0.12966956,0.27255493
157,4.892141,6.849388,0.05370884,0.27278322
158,2.4973092,6.9305367,0.29282638,0.272301
159,6.8878574,6.4159513,-0.038388412,0.27218023
160,5.3007307,6.7729206,-0.15841384,0.27198792
161,5.4579577,6.875901,-0.02503923,0.27247453
162,2.750179,7.060094,-0.2587615,0.2718009
163,9.612469,6.179239,0.03162268,0.2722505
164,5.303374,7.086793,-0.026425753,0.2725485
165,3.4816532,6.731036,0.114397384,0.2732122
166,9.500124,7.048431,0.20314175,0.2720863
167,7.318775,6.065011,0.015595737,0.27285606
168,5.563601,8.079104,-0.05075104,0.27213028
169,4.1090107,6.574414,-0.22141935,0.2721033
170,7.2914457,6.3353295,-0.1728301,0.2717889
171,2.6084266,6.1912103,-0.10824407,0.2722291
172,6.154769,7.24897,0.0014189463,0.27290595
173,5.16539,7.345214,0.07836494,0.27312303
174,4.4306407,6.5819488,-0.0624922,0.2728236
175,7.853371,7.6752205,-0.13167214,0.27224678
176,3.8750727,6.893944,-0.1038017,0.27196255
177,3.4001815,7.205741,-0.055421725,0.27250153
178,2.8785574,6.869516,-0.2370323,0.27173144
179,6.537557,6.201214,-0.22863214,0.27125672
180,3.3940203,6.9826026,-0.13969634,0.27238643
181,4.69553,7.0174828,-0.09550948,0.272446
182,7.3420286,7.399796,0.030293092,0.27241117
183,5.3611627,6.99827,0.1036748,0.2726917
184,20.444786,6.2797265,0.089793906,0.27185985
185,5.2700357,6.441535,-0.24794184,0.27277127
186,11.314629,6.7762413,-0.15893537,0.27183467
187,7.2018456,6.914869,-0.05648219,0.2721234
188,20.303131,6.361135,0.10586768,0.27191406
189,11.770473,6.8876796,0.18758455,0.27201813
190,4.2044396,6.8213053,-0.18350042,0.2727019
191,8.312496,7.106024,0.0006712843,0.27221984
192,5.301654,6.2773857,-0.1725924,0.27198482
