subj,gamma_i,omega_i,log_gamma,log_omega,log_gamma_z,log_omega_z
1,0.193449601717232,2.3290415894456062,-1.6427382566786133,0.8454568479542756,-0.2062753948585634,0.8325374213630754
2,1.932061964757672,0.054626392503579764,0.6585878081319411,-2.9072381338349196,3.3680519794518355,-1.9592376606253057
3,0.2259766571606641,0.3817130394138509,-1.4873235719440268,-0.9630861583948683,0.03510846226225807,-0.5129077385370854
4,0.16895237901277288,1.1764072077739036,-1.7781383847562957,0.16246505465436967,-0.4165734450451346,0.3244333844002473
5,0.26793129374969454,1.1536376037316516,-1.3170246979444336,0.14292008387204205,0.2996098453815998,0.30989312395459884
6,0.17087925286763075,2.7179950183206785,-1.7667980954832623,0.9998944828798398,-0.39896016242473425,0.9474295570145704
7,0.09640014541259108,0.6656271704975432,-2.339247568937407,-0.40702556924828426,-1.288065732758228,-0.09923273846685139
8,0.19892396326857315,0.9876913862337038,-1.614832621401979,-0.012384992141110924,-0.16293348099769261,0.19435566529519216
9,0.11391360943311667,1.5403115296997036,-2.1723149298625004,0.4319846879800621,-1.0287926507578147,0.524939474044274
10,0.12132360432794186,3.2991761392422774,-2.109293887338793,1.193672782528426,-0.9309108942807681,1.0915887362215815
11,0.18745364400772588,1.7831447240159373,-1.6742236960973258,0.5783785044125321,-0.25517731698395335,0.633847501703504
12,0.16678470717607308,0.8860932116013683,-1.7910514768573726,-0.12093312894302626,-0.43662954195796827,0.11360250390306376
13,0.1761728144267089,1.1360622706894705,-1.7362898655408572,0.12756813454440474,-0.35157600287762925,0.29847221450130457
14,0.23076536424527905,14.208317289686164,-1.4663538238709166,2.6538275177632853,0.06767783420663764,2.1778543734390463
15,0.15319798635131587,2.866872487820425,-1.8760241656829428,1.0532217100908863,-0.5686057153399863,0.9871017458926419
16,0.3843730666907614,0.14585167841551974,-0.9561416701816167,-1.925165074914808,0.8601188948295068,-1.2286354912803075
17,0.292655901869205,0.3141406215930735,-1.2287577564596883,-1.1579145538556619,0.4367025199138159,-0.6578481246731032
18,0.16464491134075662,1.4622505681033682,-1.803964176554418,0.3799767338540826,-0.4566850294045934,0.48624874348964764
19,0.330757836607445,0.32891240982158826,-1.1063687828212114,-1.1119637952079988,0.6267921666956915,-0.6236635763382302
20,0.4242738265768633,1.2317928055278882,-0.8573762148022304,0.2084706736366753,1.0135174402146143,0.3586587454619707
21,0.1035924503262081,1.045418864968287,-2.2672908251112918,0.04441763282765178,-1.1763054032870124,0.2366133371147429
