subj,lam,omega,log_lam,log_omega,log_lam_z,log_omega_z
1,0.8097306302785496,10.589349593218175,-0.2110536418360666,2.359848740656216,0.33114697050816866,0.6910680332031941
2,1.867096078721333,0.07873064693325572,0.6243843247894934,-2.5417227847071664,1.6003363429490514,-2.1921272628682504
3,0.7754173698755441,2.0310905528771395,-0.2543538528154732,0.7085728669697557,0.2653657039211523,-0.28024306710276536
4,0.5490565064955958,5.865528786585769,-0.5995539165476605,1.7690926377319665,-0.2590589329246534,0.34357433485296524
5,0.2679325831838907,5.146934621819089,-1.3170198854006079,1.638401318398199,-1.3490263741150412,0.26669927647818115
6,0.8096407298826394,13.040632174171046,-0.2111646730648685,2.5680700349377523,0.3309782929267875,0.8135476610343777
7,0.6935586037728444,3.7589310627914356,-0.36591953843871905,1.3241346251724373,0.09587618084616388,0.08184177783068977
8,1.4236443282394793,4.538442269886368,0.35322001229744115,1.512583840816912,1.1883861116347474,0.19269110223266764
9,0.5908694563767876,7.743818277113253,-0.5261601719702266,2.0468948834170755,-0.1475598577777974,0.5069827690363286
10,0.7274176344445311,16.126815929694516,-0.31825450360442353,2.7804834721361624,0.16828844610753713,0.9384931850941169
11,0.6696608218399859,8.376162964450916,-0.4009839308375836,2.1253899294977496,0.04260669111553737,0.5531550112353104
12,1.2357705922595135,4.584645042908998,0.21169473684073417,1.5227126856797317,0.9733822660865992,0.19864907667249873
13,0.40359496699454495,5.5648441946306395,-0.9073434608615454,1.7164689869646201,-0.7266498662999491,0.3126201272953654
14,0.4309336241483664,95.48166771447137,-0.8418012050344023,4.558934267954782,-0.6270786978054067,1.9846109337112035
15,1.2605273227427065,13.090061766922265,0.23153014352571477,2.5718532985449207,1.003516026303776,0.8157730468681951
16,2.0375917661052214,0.4443510134335345,0.7117686036979242,-0.8111404580901501,1.7330897041075808,-1.1741666358024956
17,0.8046289899944219,1.0829309181359876,-0.21737398979683067,0.07967117848294791,0.3215451583062036,-0.6501747064869579
18,0.5020144491130799,7.209230392040519,-0.6891263766108485,1.9753622038575995,-0.3951365579753431,0.46490591997801006
19,0.7152626605665505,1.257100532659417,-0.3351054463116166,0.22880790465935794,0.14268865503511965,-0.5624497176423969
