Model,Description,n_per_subj,n_params,ELBO,BIC,choice_acc,choice_r,choice_r2,vigor_r,vigor_r2,dBIC
M1,Effort-only (λ),1,293,-7707.266893382867,18191.161006701732,0.7123371647509579,0.9761574323927981,0.9528833328157001,,,2000.656341508573
M2,Threat-only (ω),1,300,-7686.116710070158,18521.12853111468,0.429272030651341,,,0.7040847796446111,0.4957353769272006,2330.6238659215196
M3,Single-channel (θ),1,300,-8053.548717031633,19255.99254503763,0.594176245210728,-0.08050591521361382,0.006481202384381577,0.6980624509876187,0.4872911854788415,3065.4878798444697
M4,"Independent (λ+ω, no shared S)",2,592,-6400.976481497929,19015.77264865193,0.7889655172413793,0.9771561837185769,0.9548342073794532,,,2825.2679834587725
M5,"Full model (λ+ω, shared S)",2,592,-4988.342489768542,16190.504665193159,0.7944827586206896,0.9756726274848444,0.9519370760231799,0.7041868277352202,0.49587908835579275,0.0
