subj,omega,kappa
1,2.0652947783679045,0.13555157842287033
2,1.1184079866502683,5.501210145643055
3,1.0123966170885021,0.34409093128675244
4,1.124954253533513,0.19444764641502238
5,0.3486304275899195,0.06564352497105631
6,2.061644676449375,0.12851961354600452
7,1.2129803767030205,0.3500068210499841
8,3.54658955354959,0.5912450851132407
9,0.7088194599381766,0.06679398572075175
10,2.1116021033263506,0.06167949381529905
11,1.2211588447198778,0.11628169244318212
12,2.72195343918142,0.5312039685523766
13,0.6173735839791283,0.12488156087446774
14,1.3704689254748887,0.010895643511062762
15,2.632667209912775,0.13413476496956397
16,3.2987499422028574,1.696731542136605
17,1.354491059860525,0.5392665164108084
18,0.8709705078624106,0.1212601850316433
19,1.5318461582281058,0.5033607651639311
20,1.4520800820922295,0.3307383460364238
21,0.9250851089423864,0.19817175361081432
22,0.8499663770474899,0.13737365543598515
23,1.1789602693546783,0.016010554681169298
24,0.27776479682014277,0.041646936201597894
25,1.9724700662510297,0.1440228969217736
26,2.6176197838612625,0.02506728440213993
27,1.7111079417710588,0.3066326435129096
28,1.7389643086577762,0.16370813460654707
29,0.7263933425689098,0.033210126902286266
30,1.0262991023524217,0.21920990697075324
31,0.45096357696781514,0.0968075839728276
32,2.3035756984121116,3.146945740621344
33,0.6425733928583937,0.20542302463979756
34,1.2351057815245567,1.2027393579214674
35,7.944918269717202,0.49508827299922153
36,1.0824811321022452,0.19323776048362754
37,3.9009507286975937,1.0289526214421596
38,1.1957890760702508,0.1778952127592479
39,0.17169464640321158,0.04876377209798395
40,0.5382602707306089,0.24462854826830596
41,1.723379924353356,2.0161333490314544
42,0.7375722705268194,0.027140896884767143
43,3.1181342187730907,0.9858772997861965
44,1.5320900972976002,0.6886203635460808
45,2.1839649158264915,0.62242366198483
46,2.210680496987958,0.40676315784860784
47,0.4461569764726585,0.2861985135160017
48,2.3965837253837763,0.3474629136782003
49,1.546942532750166,0.1626155024098095
50,1.7717537035928141,0.452878247566027
51,0.5699611437952752,0.022488273109372934
52,2.007834786462787,0.17217278187971896
53,2.907079264820858,0.5785711068955015
54,0.8229490706379184,0.328970327941768
55,1.8020205720882168,1.5328562578858809
56,1.4947469984308346,0.22956620464419344
57,0.6001202144112919,1.1380210221511247
58,1.1851985609407865,0.29736923845698354
59,1.2118782408794604,0.5009898953522367
60,0.3254563021881327,0.532413989781524
61,1.4163412718317223,0.2679903405395441
62,0.18102887730007342,0.24236020040698683
63,1.1344402774665923,0.031762031118112516
64,2.3625009489501734,0.3143679779639902
65,1.9402235565774877,0.35405336562325085
66,0.1781957590151243,0.06864643486752584
67,0.2901422298642942,0.43617281966589005
68,0.24138471134907816,1.0775184335281651
69,0.6599650642225469,0.028563194883921263
70,2.282398210206513,1.072012867278207
71,0.8911923290128805,0.3493893076529998
72,7.967899626564294,0.4360449336517664
73,2.1890436440809062,0.3131320719143653
74,1.5817999498373487,5.369199715064554
75,1.4812047538964217,0.4659143467518273
76,0.3562224161089587,0.6243342968013718
77,25.550973407290435,0.06519031097617357
78,1.5521438915939099,0.09824846580743879
79,0.5331923680928496,0.007914066907944096
80,2.408360778846511,0.913120012404267
81,0.9595057641396955,0.09351500135530758
82,2.1064039348475285,2.0711234236099307
83,0.10834009714508062,0.04887066331631621
84,0.9770505102556784,1.3639649068296302
85,1.2912388131113772,0.7955465662741376
86,0.36447622874427327,0.06555681171932222
87,0.8057602250964584,0.11828431400293486
88,2.6191752078348367,0.3277492333851089
89,2.819182352628539,0.47941414407234595
90,0.3739550830455399,0.07416728857007318
91,0.20908748220642034,0.014821855863478721
92,0.5016289459321356,0.12591184763760563
93,0.363273551315926,0.07363140590475434
94,1.9693677184537735,0.6321558510954798
95,1.676715312826487,0.6308082489056582
96,0.22565998001843227,0.04864442774818165
97,0.19088883376202448,0.3415971968642993
98,11.317082089228153,4.6697640780033725
99,1.2772226616150055,1.36021869866687
100,0.7835456886101748,0.1463081372544795
101,0.42506940332334736,0.009861898093242222
102,1.870240187097934,0.24060028820358978
103,0.42379189240565945,0.07729616362020014
104,2.392737347138544,0.18039969724568222
105,1.5444992355959535,0.3822083333178615
106,0.5214383750170297,0.10798912099437534
107,0.6681791835955342,0.0289227951234385
108,2.158353273498889,0.3166086971678555
109,1.3798459140867192,0.20405490111474864
110,7.524291434371919,0.9072784186863497
111,0.6558307450797274,1.7467010064779085
112,1.6397765173935304,0.19670896687652897
113,0.5555235566535175,0.6075244778944905
114,1.2026657947329786,0.4687983319231621
115,1.1788320394189964,0.44005746073126834
116,0.9859856943174117,0.35807288137384335
117,2.1644055206290402,0.1534704419934382
118,1.8751125512807927,0.9083687250872361
119,3.878229242216733,0.8771840559686829
120,1.3252498659248382,0.21735161284975604
121,2.0179752406885414,0.6707933523794716
122,1.1603565962077116,0.012003125018374557
123,0.8620211754331805,0.03336280332765128
124,16.018215165647835,1.2145953991783873
125,1.3266810728099963,0.3594806605742522
126,1.7920037316367918,0.27035461435365926
127,1.6030209418035557,0.48700535411755114
128,2.1161599590239115,0.2651837671624982
129,1.6403373279178803,0.19973157910097566
130,0.26832936882559544,0.02238501620703932
131,0.5846883235822715,0.0687459368894673
132,0.5531072258172255,0.1655158865000983
133,0.5093091505851994,0.13588097205412786
134,1.6372698096839762,5.406965643942234
