outcome,predictor,beta,se,df,t,p,ci95_lo,ci95_hi,n_subj
anxiety ~ S_z,S_z,-0.5081985852652906,0.035611283415977524,292,-14.27071805666178,2.0409062404942252e-35,-0.5779967007606066,-0.43840046976997465,293
confidence ~ S_z,S_z,0.5369928833288377,0.038046163597924475,292,14.114245236492968,7.644551791641706e-35,0.4624224026769057,0.6115633639807696,293
anxiety ~ k×S_z,kxS,0.23938801584820513,0.3992628913408844,292,0.599574919282492,0.5492545098668364,-0.5431672511799283,1.0219432828763386,293
affect_threat_slope,affect_slope~logk,-0.16555647328608172,,291,,0.00449173276877044,,,293
affect_threat_slope,affect_slope~logbeta,0.2275762209938116,,291,,8.476137254241046e-05,,,293
