step,elbo_joint,elbo_choice
90,-499056.96875,-21614.63671875
91,-326893.5,-15080.0068359375
92,-1944915.75,-20798.3125
93,-687444.5,-17597.654296875
94,-410980.625,-16469.21484375
95,-821167.3125,-19134.87890625
96,-805852.25,-15908.0888671875
97,-164746.34375,-19445.791015625
98,-364671.59375,-15714.4326171875
99,-4504440.5,-17702.318359375
100,-202733.609375,-21187.2265625
101,-441605.90625,-13462.9716796875
102,-180528.265625,-17787.828125
103,-802805.875,-15306.775390625
104,-269141.46875,-15287.078125
105,-240568.734375,-13406.666015625
106,-362601.78125,-18127.169921875
107,-2169344.5,-22743.984375
108,-220966.921875,-22196.61328125
109,-175459.109375,-16390.66015625
110,-290217.125,-18722.484375
111,-440638.59375,-21755.193359375
112,-750328.0625,-14595.0361328125
113,-137817.1875,-15574.119140625
114,-563436.6875,-18936.2578125
115,-481523.84375,-19323.310546875
116,-252442.0,-28207.89453125
117,-189443.296875,-14011.8486328125
118,-391392.21875,-18356.77734375
119,-414977.625,-17030.48046875
120,-1045053.4375,-18323.43359375
121,-344427.875,-29137.490234375
122,-166488.53125,-17345.060546875
123,-516039.5625,-18604.322265625
124,-161339.59375,-14424.525390625
125,-1791220.25,-15035.2919921875
126,-628269.0,-15031.3515625
127,-391443.71875,-16024.662109375
128,-261763.21875,-13550.5703125
129,-298584.15625,-16392.544921875
130,-270940.8125,-15407.53515625
131,-486741.03125,-34843.3125
132,-549308.4375,-24914.037109375
133,-1033699.0,-16078.9931640625
134,-441123.375,-16626.865234375
135,-175801.53125,-12791.515625
136,-344595.15625,-16347.4990234375
137,-337128.90625,-29304.56640625
138,-1767581.5,-17188.025390625
139,-172804.203125,-12768.4296875
140,-211737.15625,-14257.8798828125
141,-240926.015625,-16460.291015625
142,-262460.625,-22404.107421875
143,-415602.59375,-16008.7021484375
144,-273752.6875,-11778.2548828125
145,-232464.84375,-13131.43359375
146,-1047773.4375,-17800.3984375
147,-816644.25,-18581.650390625
148,-195573.125,-26028.6171875
149,-268308.4375,-16663.337890625
150,-2617764.5,-12325.2197265625
151,-209238.953125,-13586.7685546875
152,-317630.78125,-13561.6943359375
153,-714171.5625,-13267.46875
154,-151602.765625,-16706.234375
155,-405841.28125,-13448.828125
156,-460296.0,-17436.765625
157,-202523.796875,-17102.82421875
158,-124456.0,-26068.7734375
159,-155626.96875,-17132.732421875
160,-418983.34375,-14194.7568359375
161,-222487.59375,-13315.013671875
162,-267598.375,-13021.0693359375
163,-258058.8125,-14718.52734375
164,-199487.796875,-12811.2216796875
165,-1788305.25,-14127.9384765625
166,-514811.96875,-13553.005859375
167,-107961.1171875,-12252.529296875
168,-234600.8125,-14491.208984375
169,-306380.0,-11913.060546875
170,-348316.5625,-18944.083984375
171,-333239.5,-12347.9013671875
172,-930968.25,-16572.763671875
173,-329814.125,-15131.16015625
174,-167927.96875,-13297.3916015625
175,-656647.4375,-13175.99609375
176,-837127.0,-15740.1611328125
177,-891614.6875,-12781.8017578125
178,-685358.3125,-13456.7958984375
179,-292287.65625,-17099.0859375
180,-1544036.5,-21924.373046875
181,-272430.5625,-18970.328125
182,-745459.625,-17428.9140625
183,-255914.140625,-14514.1474609375
184,-176912.6875,-12785.1259765625
185,-220947.796875,-14045.978515625
186,-171841.359375,-18643.880859375
187,-835193.0,-26274.955078125
188,-239705.140625,-12371.92578125
189,-1662714.375,-15552.150390625
190,-372352.15625,-12378.7451171875
191,-176213.375,-16170.994140625
192,-422237.5625,-17862.3125
193,-177497.046875,-17047.568359375
194,-116647.4609375,-14007.7275390625
195,-991529.0,-12734.970703125
196,-185809.671875,-14518.724609375
197,-405893.875,-11504.900390625
198,-808874.125,-17782.1484375
199,-165187.5625,-11984.8564453125
200,-202756.53125,-12326.56640625
201,-647891.0,-14234.6865234375
202,-191921.515625,-12480.8984375
203,-165271.375,-12850.9375
204,-150526.65625,-14043.0302734375
205,-571311.0,-12924.0537109375
206,-473871.875,-12699.64453125
207,-320747.46875,-12278.232421875
208,-736154.6875,-13685.1884765625
209,-337609.53125,-13575.5126953125
210,-164250.96875,-17355.8125
211,-162712.4375,-12058.310546875
212,-421649.3125,-14690.537109375
213,-545690.4375,-11306.1669921875
214,-231674.390625,-12631.7060546875
215,-177683.15625,-11702.7021484375
216,-315921.96875,-13684.4697265625
217,-329760.875,-15681.923828125
218,-190001.265625,-12717.228515625
219,-1071373.0,-12337.4970703125
220,-185484.84375,-12048.7431640625
221,-240179.46875,-12102.638671875
222,-457153.9375,-13918.3671875
223,-201961.859375,-14423.1572265625
224,-372427.125,-17078.59765625
225,-191365.125,-11383.4736328125
226,-222993.296875,-11981.876953125
227,-175406.734375,-17757.853515625
228,-210093.484375,-14510.4580078125
229,-215807.640625,-12590.60546875
230,-128210.3515625,-14555.0048828125
231,-195071.375,-11822.794921875
232,-294159.53125,-12909.2353515625
233,-204080.015625,-11945.5517578125
234,-227049.53125,-12736.7080078125
235,-282262.125,-20143.4296875
236,-116724.421875,-11317.310546875
237,-163894.96875,-18952.119140625
238,-626256.9375,-11713.8310546875
239,-170052.125,-14790.458984375
240,-223846.78125,-11761.0478515625
241,-104935.234375,-11103.5927734375
242,-200146.953125,-14212.5107421875
243,-701075.375,-15244.7744140625
244,-150562.125,-13327.703125
245,-386893.375,-12329.3271484375
246,-175237.453125,-11428.27734375
247,-126064.8828125,-12854.560546875
248,-434794.3125,-13946.908203125
249,-237164.796875,-14171.64453125
250,-300634.28125,-11096.8076171875
251,-97386.9921875,-12156.6328125
252,-351712.21875,-12599.01171875
253,-152636.859375,-11810.4033203125
254,-130568.609375,-14180.2470703125
255,-184568.359375,-11080.453125
256,-772627.4375,-11525.49609375
257,-200888.5,-11955.4501953125
258,-177009.09375,-11669.84765625
259,-127036.0390625,-10992.341796875
260,-376604.96875,-12998.423828125
261,-424287.5625,-11515.1337890625
262,-108749.5390625,-12277.6708984375
263,-415036.71875,-12026.7177734375
264,-151238.296875,-14581.845703125
265,-164798.5625,-11619.3115234375
266,-2762430.25,-10696.9208984375
267,-472398.0,-14718.0712890625
268,-125733.28125,-11943.009765625
269,-289751.59375,-11402.30859375
270,-212275.90625,-13453.8701171875
271,-139320.984375,-11595.564453125
272,-162716.9375,-11902.546875
273,-374870.40625,-13952.408203125
274,-154918.109375,-10525.216796875
275,-146112.109375,-11697.94140625
276,-366564.0,-16031.765625
277,-183186.171875,-12615.779296875
278,-174188.625,-11467.322265625
279,-90089.8984375,-19411.083984375
280,-162129.9375,-12361.8876953125
281,-115351.140625,-13347.94140625
282,-200934.859375,-11723.556640625
283,-355428.96875,-12108.5322265625
284,-195418.90625,-11896.3681640625
285,-182533.984375,-12081.509765625
286,-372910.90625,-11313.625
287,-321875.75,-10985.8173828125
288,-221020.40625,-12563.5732421875
289,-148286.640625,-11706.9189453125
290,-183383.625,-9958.037109375
291,-265730.25,-12984.185546875
292,-133180.25,-13127.5673828125
293,-395728.0625,-11310.8017578125
294,-473590.34375,-14178.7568359375
295,-95057.265625,-16508.76171875
296,-130678.375,-11518.97265625
297,-2278639.0,-10812.2041015625
298,-438260.71875,-11709.376953125
299,-255590.546875,-13095.36328125
300,-108256.875,-10390.3740234375
301,-183455.859375,-11027.4462890625
302,-227913.046875,-10561.1025390625
303,-121544.0078125,-11392.384765625
304,-149708.8125,-11441.826171875
305,-103570.2265625,-14250.8876953125
306,-159970.265625,-11178.4091796875
307,-108763.3125,-11263.546875
308,-227168.984375,-11099.45703125
309,-463599.625,-11122.6826171875
310,-323291.625,-10303.8330078125
311,-222651.109375,-11092.8037109375
312,-102354.0,-10336.705078125
313,-150742.234375,-20661.76953125
314,-166539.625,-11270.1728515625
315,-100712.515625,-10710.6953125
316,-215887.609375,-10554.1455078125
317,-217013.921875,-10384.07421875
318,-113629.578125,-14068.603515625
319,-172917.40625,-13252.08203125
320,-692463.1875,-10881.9052734375
321,-132702.546875,-11694.5771484375
322,-183423.28125,-12917.513671875
323,-159390.671875,-10438.828125
324,-198072.546875,-11155.765625
325,-132498.359375,-10088.3955078125
326,-130398.8203125,-9891.1748046875
327,-2194955.5,-11157.623046875
328,-131752.734375,-11264.0595703125
329,-283983.75,-9916.8662109375
330,-177716.84375,-9957.974609375
331,-450758.84375,-10317.0439453125
332,-157336.8125,-11152.080078125
333,-149006.703125,-10274.0390625
334,-169499.140625,-11575.8955078125
335,-286235.40625,-12271.6083984375
336,-430863.53125,-13473.427734375
337,-224306.015625,-12103.2421875
338,-124725.7421875,-10416.2197265625
339,-124214.2109375,-11098.22265625
340,-125094.2265625,-12035.73828125
341,-757044.125,-11416.1787109375
342,-168813.546875,-11106.9453125
343,-118418.8359375,-11234.720703125
344,-133256.125,-10816.5205078125
345,-165805.515625,-11185.17578125
346,-454004.28125,-10540.3349609375
347,-160637.71875,-10651.533203125
348,-120235.984375,-9804.380859375
349,-808772.875,-10527.041015625
350,-180704.140625,-10661.32421875
351,-87353.796875,-11162.978515625
352,-139874.546875,-10862.041015625
353,-167588.9375,-10096.68359375
354,-137933.921875,-12535.19140625
355,-321679.09375,-10358.943359375
356,-115551.0859375,-11662.20703125
357,-233227.578125,-13027.65234375
358,-234297.921875,-11201.556640625
359,-170559.984375,-10022.916015625
360,-130918.2890625,-10189.609375
361,-301203.875,-9798.1123046875
362,-156890.1875,-9783.8193359375
363,-529283.5,-12249.94921875
364,-144235.578125,-11038.1689453125
365,-122932.203125,-10965.2001953125
366,-181326.609375,-10450.3916015625
367,-93626.1953125,-10690.373046875
368,-153001.4375,-11814.2197265625
369,-409826.46875,-10221.6728515625
370,-86689.6875,-10932.16015625
371,-101703.390625,-11698.8662109375
372,-96176.484375,-9737.8896484375
373,-109943.390625,-12816.890625
374,-311239.09375,-12031.392578125
375,-95932.5,-9553.2919921875
376,-147752.765625,-10029.9892578125
377,-110997.34375,-10510.57421875
378,-288036.0625,-12027.244140625
379,-688027.4375,-10756.8037109375
380,-137591.453125,-11525.244140625
381,-140292.625,-10289.18359375
382,-169241.828125,-9768.4130859375
383,-195997.453125,-11557.732421875
384,-94427.203125,-12457.11328125
385,-117930.9296875,-10565.197265625
386,-406383.84375,-10515.2431640625
387,-93562.1015625,-10713.4033203125
388,-94434.125,-10300.3349609375
389,-375179.0,-10418.0791015625
390,-93708.953125,-11208.021484375
391,-116121.25,-10331.8076171875
392,-170271.265625,-11364.8642578125
393,-93502.203125,-10543.708984375
394,-125223.0859375,-10029.3486328125
395,-280456.34375,-11446.8876953125
396,-276048.0,-12005.4736328125
397,-90425.0078125,-9685.4189453125
398,-127863.625,-9848.591796875
399,-178041.515625,-10684.447265625
400,-100200.6171875,-10397.7216796875
401,-115462.5859375,-12931.3896484375
402,-166318.046875,-10439.3447265625
403,-102533.2734375,-10734.318359375
404,-108533.734375,-11059.7197265625
405,-281025.59375,-10516.2158203125
406,-106133.53125,-12643.2431640625
407,-210844.640625,-10794.318359375
408,-148562.890625,-10126.01171875
409,-167119.4375,-10062.9453125
410,-127055.3671875,-12874.3212890625
411,-201686.53125,-11775.2919921875
412,-110307.796875,-10313.7724609375
413,-436541.09375,-10796.6455078125
414,-97178.921875,-9898.6435546875
415,-103028.2109375,-10418.6181640625
416,-244872.125,-10258.1279296875
417,-77363.921875,-10659.5234375
418,-137089.71875,-12451.8857421875
419,-81230.359375,-10572.1044921875
420,-111218.484375,-11167.9208984375
421,-98726.46875,-10520.04296875
422,-112593.0859375,-9929.5322265625
423,-144028.28125,-9875.6328125
424,-298548.21875,-10076.3896484375
425,-116944.0703125,-9861.166015625
426,-112888.9921875,-14140.7060546875
427,-512918.9375,-10570.8876953125
428,-140492.4375,-10044.01171875
429,-189427.140625,-9806.0234375
430,-92131.5703125,-10402.373046875
431,-96477.109375,-10972.01171875
432,-105526.984375,-9671.111328125
433,-178576.875,-9802.6435546875
434,-124214.59375,-9785.517578125
435,-98643.71875,-9789.765625
436,-169592.765625,-9797.14453125
437,-106180.2109375,-9633.2607421875
438,-151619.984375,-10886.1982421875
439,-105277.65625,-10268.873046875
440,-101163.2421875,-10516.9931640625
441,-220117.53125,-9825.5361328125
442,-127532.5625,-9565.6513671875
443,-107160.3203125,-9986.3134765625
444,-203722.15625,-10111.59375
445,-257605.625,-11601.1669921875
446,-140125.171875,-10565.412109375
447,-174322.3125,-9128.6689453125
448,-143577.203125,-9517.828125
449,-126706.6015625,-11031.7666015625
450,-77321.5390625,-9813.5244140625
451,-74573.4609375,-10950.328125
452,-344936.375,-10945.7451171875
453,-180164.109375,-9308.1708984375
454,-217442.203125,-10339.9228515625
455,-118044.1171875,-9628.28125
456,-98537.09375,-9685.53125
457,-105963.3203125,-9559.60546875
458,-288507.46875,-11516.0205078125
459,-167648.203125,-9966.41796875
460,-121349.578125,-9519.6708984375
461,-81404.546875,-9839.591796875
462,-99948.7421875,-9331.2177734375
463,-117254.453125,-9706.005859375
464,-115814.8515625,-10107.486328125
465,-102374.0,-9990.4072265625
466,-133132.25,-9762.966796875
467,-544876.875,-9650.841796875
468,-79121.796875,-9200.2314453125
469,-110012.21875,-10287.048828125
470,-111045.7265625,-9786.33203125
471,-197296.890625,-11066.8447265625
472,-96222.4375,-9785.939453125
473,-162960.96875,-9226.9580078125
474,-139144.625,-9632.6083984375
475,-84439.4765625,-10415.3779296875
476,-84610.5078125,-10362.408203125
477,-113487.3984375,-9451.998046875
478,-121516.3046875,-9998.060546875
479,-97278.5078125,-9936.81640625
480,-158725.375,-9316.3955078125
481,-83622.640625,-9893.6865234375
482,-86051.828125,-9696.263671875
483,-94720.515625,-9512.5107421875
484,-133734.171875,-10288.53515625
485,-177118.140625,-9878.5712890625
486,-78279.9375,-11056.626953125
487,-101833.2109375,-9876.0380859375
488,-97284.2265625,-11944.591796875
489,-217531.484375,-9932.8408203125
490,-82427.3203125,-9723.201171875
491,-189312.53125,-9025.072265625
492,-171267.25,-9501.5029296875
493,-471460.59375,-9672.873046875
494,-78446.609375,-9768.4892578125
495,-93139.34375,-9048.2255859375
496,-93392.1796875,-10121.9248046875
497,-101669.8046875,-9624.1572265625
498,-109287.8828125,-11463.138671875
499,-305039.09375,-10251.5224609375
500,-71967.3515625,-9093.4453125
501,-74297.6015625,-10755.9912109375
502,-145759.90625,-11148.6552734375
503,-111468.15625,-9522.4404296875
504,-109951.109375,-10162.8642578125
505,-79059.734375,-9980.5732421875
506,-94775.7734375,-9524.7197265625
507,-102785.8046875,-9076.1806640625
508,-78501.359375,-9371.66796875
509,-120254.0234375,-9203.583984375
510,-190233.34375,-9161.5986328125
511,-69322.0234375,-9874.30078125
512,-82845.765625,-9002.884765625
513,-101028.125,-12743.521484375
514,-67813.4453125,-9458.3935546875
515,-83755.40625,-9183.59375
516,-66728.8046875,-9934.9931640625
517,-79705.7734375,-9334.1376953125
518,-70816.453125,-9820.8447265625
519,-206354.390625,-9809.203125
520,-77078.2734375,-9866.8828125
521,-101881.2109375,-9501.16796875
522,-114313.9296875,-9010.95703125
523,-94982.9765625,-11797.041015625
524,-241952.34375,-9565.1708984375
525,-101800.3515625,-9718.21875
526,-70585.171875,-9095.0380859375
527,-137389.546875,-9513.4345703125
528,-79467.84375,-9463.5498046875
529,-323465.3125,-9389.6455078125
530,-150340.234375,-8885.232421875
531,-120759.5625,-9307.4921875
532,-135882.28125,-11387.21875
533,-203807.265625,-9565.376953125
534,-83905.578125,-9376.626953125
535,-70342.8828125,-10191.2236328125
536,-94132.1875,-8999.9326171875
537,-74640.4296875,-9324.55078125
538,-123157.5078125,-9276.322265625
539,-80111.6484375,-9149.798828125
540,-103383.8828125,-10053.0556640625
541,-111040.3828125,-10922.2099609375
542,-87389.8046875,-9981.0751953125
543,-124239.3359375,-9696.6669921875
544,-77421.7265625,-9178.880859375
545,-65373.82421875,-9170.2939453125
546,-90908.6875,-9814.9736328125
547,-92212.890625,-9042.8544921875
548,-185529.859375,-9136.1494140625
549,-132896.9375,-10190.896484375
550,-157967.625,-9556.8671875
551,-72593.4765625,-9316.4169921875
552,-89505.265625,-9669.9140625
553,-96812.3671875,-8893.1015625
554,-90124.25,-9054.13671875
555,-73184.2421875,-10098.5302734375
556,-141723.65625,-8740.814453125
557,-69969.4765625,-10433.92578125
558,-82530.7109375,-9922.544921875
559,-166247.515625,-9198.751953125
560,-102166.953125,-9073.6953125
561,-116456.6640625,-8671.791015625
562,-385622.25,-9731.0400390625
563,-306654.46875,-9385.9775390625
564,-83377.3125,-8447.638671875
565,-105163.1484375,-9013.74609375
566,-163646.375,-9687.25
567,-85891.6640625,-9152.634765625
568,-221257.40625,-9535.154296875
569,-69986.609375,-9256.287109375
570,-84070.3984375,-9087.1025390625
571,-76373.8671875,-8850.3955078125
572,-76504.0,-9512.2275390625
573,-266962.5625,-8970.173828125
574,-205495.421875,-9489.4921875
575,-148076.109375,-9475.39453125
576,-75577.984375,-9386.53515625
577,-92800.84375,-9191.619140625
578,-71693.1171875,-10061.5068359375
579,-297180.875,-9013.3896484375
580,-98310.703125,-9672.0830078125
581,-113916.59375,-9281.8740234375
582,-116785.0703125,-9918.3720703125
583,-76103.21875,-8986.4716796875
584,-439101.875,-9313.6865234375
585,-79362.2265625,-8779.09375
586,-138719.703125,-9449.3359375
587,-207674.953125,-8902.16796875
588,-74425.234375,-9480.01171875
589,-181875.34375,-10209.4189453125
590,-112720.125,-8983.8642578125
591,-132422.234375,-9478.021484375
592,-144793.78125,-8588.2001953125
593,-332187.8125,-9324.78515625
594,-85420.9609375,-9048.689453125
595,-92803.734375,-9207.0986328125
596,-71382.375,-9608.6376953125
597,-133134.25,-8979.5478515625
598,-92459.4453125,-10554.404296875
599,-72204.53125,-8698.4111328125
600,-123038.640625,-9300.599609375
601,-241978.640625,-10651.83203125
602,-118671.6171875,-10338.6044921875
603,-442654.21875,-9219.1123046875
604,-71946.25,-9099.0693359375
605,-60264.265625,-9206.9873046875
606,-110462.640625,-9173.0244140625
607,-287444.9375,-8698.80859375
608,-85918.7421875,-9136.7861328125
609,-215226.125,-8787.68359375
610,-78230.0234375,-8957.974609375
611,-101168.7578125,-8617.0048828125
612,-208096.625,-8808.5771484375
613,-80256.0,-8903.693359375
614,-97271.625,-9820.982421875
615,-87764.5078125,-8772.7568359375
616,-64792.265625,-10256.7744140625
617,-148660.625,-9796.185546875
618,-84951.0,-8883.1572265625
619,-75314.78125,-9106.15234375
620,-282408.875,-9212.7646484375
621,-66602.015625,-8573.1708984375
622,-105157.3046875,-9449.1328125
623,-81172.1640625,-9872.419921875
624,-182162.71875,-10109.6728515625
625,-81247.4921875,-8830.78515625
626,-156884.328125,-8650.859375
627,-73068.5,-9704.841796875
628,-101213.875,-9399.384765625
629,-104779.5703125,-9004.984375
630,-69948.84375,-8870.376953125
631,-109022.953125,-8901.25
632,-109350.265625,-8736.482421875
633,-86043.671875,-8544.302734375
634,-71157.421875,-9106.6689453125
635,-132555.34375,-9538.603515625
636,-77174.2421875,-9351.462890625
637,-82856.484375,-8667.7919921875
638,-175915.390625,-8896.19921875
639,-215446.140625,-9316.40625
640,-345254.03125,-10958.26171875
641,-97090.34375,-9039.4736328125
642,-64796.4140625,-9486.1181640625
643,-60371.2109375,-9471.08984375
644,-92247.046875,-8834.369140625
645,-83809.4609375,-8813.734375
646,-73506.3984375,-8870.9921875
647,-144173.15625,-8950.6416015625
648,-77152.5703125,-8811.9814453125
649,-119201.6796875,-9442.3251953125
650,-79850.0625,-8789.7060546875
651,-64722.08203125,-8940.4189453125
652,-66820.96875,-8587.662109375
653,-105733.8828125,-8575.6611328125
654,-73994.84375,-9044.1796875
655,-67612.3671875,-8815.6083984375
656,-68031.6484375,-9384.748046875
657,-61128.328125,-8893.3046875
658,-75796.3515625,-9335.0673828125
659,-87440.3203125,-8649.6376953125
660,-60592.82421875,-8770.2744140625
661,-76996.515625,-8747.5732421875
662,-62771.65625,-9847.251953125
663,-73007.5859375,-9657.0458984375
664,-73658.1796875,-8886.369140625
665,-68861.7578125,-8593.2763671875
666,-115925.09375,-8912.7998046875
667,-69718.875,-8542.5126953125
668,-62765.7109375,-9366.55078125
669,-68088.7734375,-8445.5693359375
670,-132327.328125,-9812.583984375
671,-72212.7421875,-8892.998046875
672,-148425.734375,-10497.3837890625
673,-74466.546875,-8405.2763671875
674,-131313.515625,-8943.4892578125
675,-93882.2890625,-8863.853515625
676,-187306.890625,-8863.7646484375
677,-155523.828125,-8757.4775390625
678,-67792.5703125,-8937.052734375
679,-61871.2578125,-8666.546875
680,-52193.359375,-8945.7255859375
681,-66355.28125,-9211.5126953125
682,-85921.09375,-8764.1689453125
683,-78569.546875,-9260.1494140625
684,-71844.4609375,-9432.8134765625
685,-81006.5078125,-9263.8193359375
686,-186110.609375,-9329.2314453125
687,-144622.296875,-9027.9755859375
688,-124079.65625,-9249.349609375
689,-65528.390625,-8902.1103515625
690,-128868.0,-8775.203125
691,-82022.546875,-8900.6181640625
692,-60929.640625,-8886.486328125
693,-75303.9453125,-8797.2392578125
694,-159883.59375,-8296.1044921875
695,-86230.9375,-8638.5224609375
696,-252653.5,-9910.927734375
697,-61169.77734375,-8479.927734375
698,-107843.5546875,-8563.650390625
699,-79496.546875,-8854.7216796875
700,-75659.4453125,-8359.3115234375
701,-81750.265625,-9019.9130859375
702,-175146.890625,-8674.4658203125
703,-72516.6484375,-8838.9345703125
704,-59204.51953125,-8902.2763671875
705,-82576.9453125,-8911.0146484375
706,-89157.46875,-8865.560546875
707,-214260.96875,-8873.44140625
708,-54279.51171875,-8545.4853515625
709,-83360.09375,-8631.2333984375
710,-99947.9296875,-8427.1162109375
711,-58440.046875,-9300.1328125
712,-92184.7265625,-11134.3427734375
713,-90759.546875,-8552.3857421875
714,-84357.234375,-9012.037109375
715,-140870.25,-8439.7373046875
716,-101391.8984375,-8405.208984375
717,-110685.421875,-8419.6943359375
718,-70169.7734375,-9343.5341796875
719,-151231.609375,-8467.79296875
720,-63918.64453125,-10265.953125
721,-69161.0703125,-8826.962890625
722,-91833.7421875,-8537.6005859375
723,-58742.015625,-8481.6982421875
724,-72549.296875,-8516.224609375
725,-103764.5703125,-9253.4365234375
726,-67503.3984375,-8366.359375
727,-94355.375,-8705.947265625
728,-136533.671875,-9245.0205078125
729,-56110.75390625,-8593.912109375
730,-67916.5859375,-8457.091796875
731,-112819.5625,-8293.2412109375
732,-75690.890625,-9515.5712890625
733,-69413.5078125,-8885.5908203125
734,-53322.7578125,-8431.25390625
735,-121854.90625,-9353.341796875
736,-52018.36328125,-8500.98828125
737,-65354.62109375,-8598.6826171875
738,-63533.125,-8938.12109375
739,-78917.7421875,-8327.857421875
740,-137944.359375,-8938.345703125
741,-55660.1484375,-8429.1083984375
742,-76601.484375,-8754.3232421875
743,-57752.26953125,-8752.0078125
744,-101158.3125,-8906.1806640625
745,-88286.0625,-8870.0478515625
746,-140140.171875,-9164.3828125
747,-107536.6484375,-9686.4404296875
748,-67141.171875,-9336.1904296875
749,-178467.1875,-8392.455078125
750,-63706.2109375,-8757.1708984375
751,-91197.375,-10360.591796875
752,-59246.51953125,-9091.611328125
753,-97429.2734375,-9055.361328125
754,-62439.48828125,-8427.96484375
755,-61823.87890625,-8440.3271484375
756,-168884.921875,-8219.2041015625
757,-62583.30859375,-8749.208984375
758,-59023.55859375,-9125.8408203125
759,-56341.0,-8883.111328125
760,-64701.15234375,-8176.1826171875
761,-104699.1328125,-8180.91259765625
762,-114998.6640625,-8845.228515625
763,-77511.3046875,-8229.6943359375
764,-64737.5390625,-8506.6298828125
765,-172853.1875,-8344.7880859375
766,-108019.546875,-8403.1572265625
767,-53493.4453125,-8250.794921875
768,-67808.1015625,-8754.171875
769,-120331.34375,-8617.8125
770,-82970.9140625,-8691.8857421875
771,-117313.09375,-9123.533203125
772,-115249.9140625,-8157.54736328125
773,-103433.671875,-8544.388671875
774,-48311.4765625,-8356.69140625
775,-78126.453125,-8916.955078125
776,-68181.3828125,-8451.4248046875
777,-56253.734375,-8850.880859375
778,-61612.78515625,-8529.6806640625
779,-188285.328125,-8639.9541015625
780,-149831.140625,-8095.98828125
781,-64947.9921875,-8545.513671875
782,-66288.8984375,-8757.4970703125
783,-95838.0546875,-8608.71484375
784,-74287.2109375,-9821.890625
785,-70923.828125,-8533.0224609375
786,-70253.4921875,-8215.826171875
787,-178102.53125,-8551.98046875
788,-117496.640625,-8152.7373046875
789,-101599.609375,-8326.73046875
790,-130082.3671875,-7950.89501953125
791,-48644.765625,-8722.4541015625
792,-51873.71484375,-8051.76708984375
793,-56139.70703125,-8683.060546875
794,-477853.0625,-8630.6748046875
795,-65481.734375,-8107.37646484375
796,-59359.125,-7936.734375
797,-79350.375,-7992.5888671875
798,-83076.3828125,-8061.81982421875
799,-58259.25,-7983.40576171875
800,-77331.546875,-8410.68359375
801,-79325.5546875,-8528.4736328125
802,-52904.4921875,-9212.8037109375
