subj,accuracy,brier,log_lik,mean_p_high,mean_choice,n_trials
1,0.8666666666666667,0.08528333332447482,-12.043333488017948,0.3367144172959581,0.3333333333333333,45.0
2,0.8888888888888888,0.07670440402232873,-11.092153970252188,0.1733976083687468,0.13333333333333333,45.0
3,0.8,0.16094468396841033,-22.528199601946866,0.4169640550665184,0.4222222222222222,45.0
4,0.9555555555555556,0.03824087724240656,-6.942058669375868,0.4792696338402464,0.4888888888888889,45.0
5,0.8222222222222222,0.13264207579162468,-18.908470198752994,0.6994548403966506,0.7111111111111111,45.0
6,0.8666666666666667,0.10418389507082607,-14.54307165476065,0.33329897128947833,0.3333333333333333,45.0
7,0.7555555555555555,0.15616730540926177,-20.889347917337805,0.379372147596893,0.37777777777777777,45.0
8,0.8888888888888888,0.09405853447369296,-13.82623930905714,0.17075227978647803,0.13333333333333333,45.0
9,0.6,0.24423333289221583,-30.79096375523821,0.3711362756610487,0.4,45.0
10,1.0,0.0030704721832961997,-1.659333260908632,0.32630392048626017,0.3333333333333333,45.0
11,0.6888888888888889,0.16309328511892643,-21.760882822234034,0.41405152995403405,0.4222222222222222,45.0
12,0.9111111111111111,0.0698902469823681,-10.41270000463562,0.27905688055258754,0.26666666666666666,45.0
13,0.7333333333333333,0.1881628764993086,-24.851275817487533,0.5352048144467315,0.5333333333333333,45.0
14,0.8666666666666667,0.06845948668450001,-10.275368301368935,0.523829521828206,0.5333333333333333,45.0
15,0.7777777777777778,0.13871550487370293,-18.883694969005496,0.23802981383189067,0.2,45.0
16,0.9555555555555556,0.07505979026447218,-13.049428393866393,0.14626747181736427,0.044444444444444446,45.0
17,0.8666666666666667,0.09046459515533188,-13.519221047626926,0.4036777619646813,0.4,45.0
18,0.8222222222222222,0.13248562320423998,-19.043875211094456,0.49180296153620606,0.4888888888888889,45.0
19,0.9333333333333333,0.04813083904263938,-7.60856682919957,0.3755652343940669,0.37777777777777777,45.0
20,0.9777777777777777,0.025186314049496093,-5.0345475388183925,0.4166741568949342,0.4222222222222222,45.0
21,0.8222222222222222,0.13009924006839516,-18.38353818503799,0.5145940339639934,0.5111111111111111,45.0
22,0.8888888888888888,0.07518920657217783,-11.186190829162939,0.5504813441338277,0.5555555555555556,45.0
23,0.8222222222222222,0.12774169023694498,-17.905635144813694,0.5403977998374968,0.5333333333333333,45.0
24,0.8222222222222222,0.1214901380159111,-16.35315998788163,0.7249924446578152,0.7333333333333333,45.0
25,1.0,0.0031055664488982824,-1.6803178852784324,0.3262232291980158,0.3333333333333333,45.0
26,0.7555555555555555,0.14716763438176725,-19.74052393174589,0.26940131753512686,0.26666666666666666,45.0
27,0.8,0.15682079755111517,-20.96610835006893,0.28261390383999885,0.28888888888888886,45.0
28,0.9555555555555556,0.02990536859093244,-5.159737333606674,0.3732955927537012,0.37777777777777777,45.0
29,0.7777777777777778,0.1465887129436476,-21.09930055370877,0.5763422593686433,0.6,45.0
30,0.8666666666666667,0.10248559304970538,-14.845785651667892,0.490063586003595,0.4888888888888889,45.0
31,0.7333333333333333,0.18263910688470508,-24.17926924407996,0.6149893538067657,0.6222222222222222,45.0
32,0.8666666666666667,0.07953374932308131,-11.242265059997715,0.146290753164847,0.1111111111111111,45.0
33,0.9555555555555556,0.05643067244415631,-9.285513407428976,0.6114698873679971,0.6222222222222222,45.0
34,0.8222222222222222,0.13015489753004206,-18.11854384039538,0.34470439364718986,0.3333333333333333,45.0
35,0.9777777777777777,0.048264758480815136,-7.8170384591077315,0.10528034848761839,0.022222222222222223,45.0
36,0.8,0.12977820421667835,-18.542061576694792,0.4652684366225733,0.4666666666666667,45.0
37,0.8888888888888888,0.08269958868776126,-12.876476040828594,0.15838002715603156,0.08888888888888889,45.0
38,0.8,0.11957786396782853,-16.43087290297505,0.43074197171529693,0.4222222222222222,45.0
39,0.7333333333333333,0.17687349749129955,-23.847957129061623,0.7408760330975012,0.8,45.0
40,0.8,0.140381184796074,-19.333486581027792,0.6012952547295266,0.6,45.0
41,0.8,0.12506463122565203,-16.896828422196016,0.22160894934389602,0.17777777777777778,45.0
42,0.6666666666666666,0.16935566319885856,-22.779116053572306,0.5623993872706456,0.5777777777777777,45.0
43,0.8,0.10571041418907624,-15.945698581291675,0.18785354306703855,0.08888888888888889,45.0
44,0.8,0.11618147246221966,-15.799048473616587,0.3594017645778201,0.35555555555555557,45.0
45,0.8888888888888888,0.10798887195231763,-16.31971714410575,0.269268944050948,0.24444444444444444,45.0
46,0.9555555555555556,0.03139091441931134,-5.22404135908462,0.2853934219071645,0.28888888888888886,45.0
47,0.6444444444444445,0.21625129535272214,-28.47920109208104,0.5291090389797337,0.5555555555555556,45.0
48,0.8888888888888888,0.07395058076504724,-10.566707520848826,0.2962106083332508,0.28888888888888886,45.0
49,0.9111111111111111,0.07831767106857562,-13.098336367454458,0.4035340319720482,0.4,45.0
50,0.8222222222222222,0.12213155471494123,-16.87864065750002,0.34243196889521255,0.3333333333333333,45.0
51,0.9111111111111111,0.0734349965233866,-11.259751547648948,0.7010078298276825,0.7111111111111111,45.0
