subj,pct_optimal,ev_loss
1,0.7777777777777778,0.2279578247052185
2,0.5333333333333333,0.9359883572425675
3,0.6,0.8217959547358105
4,0.9333333333333333,0.0016858237547892803
5,0.7111111111111111,0.5270543229677151
6,0.7333333333333333,0.2943281950755888
7,0.6888888888888889,0.36144584038729993
8,0.5333333333333333,0.8061416733493719
9,0.6222222222222222,0.8640223350856873
10,0.7777777777777778,0.032439335887611755
11,0.6888888888888889,0.4812619323413229
12,0.6666666666666666,0.6370969140752621
13,0.7111111111111111,0.3612545665151921
14,0.9333333333333333,0.007797083370459469
15,0.6,0.8597240191273872
16,0.4444444444444444,1.103160771035671
17,0.8444444444444444,0.285082895244884
18,0.8,0.21960830437494433
19,0.8222222222222222,0.08551082598235767
20,0.8666666666666667,0.008735632183908059
21,0.7777777777777778,0.4011174671062402
22,0.8666666666666667,0.12388392883661531
23,0.7555555555555555,0.2668417832427456
24,0.7777777777777778,0.34372271228726725
25,0.7777777777777778,0.032439335887611755
26,0.6666666666666666,0.5800573821616324
27,0.6888888888888889,0.5141978674745314
28,0.8222222222222222,0.02058748403575991
29,0.6888888888888889,0.7296986545486948
30,0.8,0.20122106388666133
31,0.6666666666666666,0.6127374142386172
32,0.5555555555555556,0.8113191362974844
33,0.9333333333333333,0.18133333333333337
34,0.6888888888888889,0.6311199025810093
35,0.4666666666666667,1.0983587276129378
36,0.6888888888888889,0.4052352015206867
37,0.5333333333333333,0.9532041937687488
38,0.8666666666666667,0.22496159672101937
39,0.5333333333333333,1.0260488877008525
40,0.7777777777777778,0.4007408595443881
41,0.5333333333333333,0.9266563307493542
42,0.7555555555555555,0.7496208381597316
43,0.4888888888888889,1.1566064926193236
44,0.7111111111111111,0.4849935549021355
45,0.6,0.5849604086845466
46,0.7333333333333333,0.17413787163265912
47,0.6888888888888889,0.8320962309542905
48,0.7333333333333333,0.3043587870147614
49,0.8,0.14740229885057474
50,0.6888888888888889,0.49553500252457755
51,0.8444444444444444,0.31449582702188966
52,0.5555555555555556,1.0509002346372034
53,0.6444444444444445,0.45973043452434
54,0.8,0.34710980427099114
55,0.4888888888888889,0.9629591612462504
56,0.8222222222222222,0.22645971071311893
57,0.5777777777777777,0.8304662449137189
58,0.6444444444444445,0.5020204936291545
59,0.6888888888888889,0.6346614393061868
60,0.8,0.2926875167067629
61,0.7333333333333333,0.5730075737325137
62,0.7333333333333333,0.5211260209688439
63,0.9111111111111111,0.06749425287356324
64,0.5111111111111111,0.8088979179660817
65,0.6,0.7223665686536578
66,0.6888888888888889,0.749127803023553
67,0.7333333333333333,0.6617042383201166
68,0.7777777777777778,0.5335314978169831
69,0.8,0.2672635361905611
70,0.4888888888888889,0.8793729543496986
71,0.6888888888888889,0.5645725147762037
72,0.4666666666666667,1.0983587276129378
73,0.7333333333333333,0.30580581543853397
74,0.5111111111111111,0.9419142831684933
75,0.7555555555555555,0.3597623927054561
76,0.6444444444444445,0.6370541447622442
77,0.4222222222222222,1.1777523537972618
78,0.8444444444444444,0.02002554278416348
79,0.6888888888888889,0.610924470581247
80,0.6444444444444445,0.5261008048947103
81,0.8888888888888888,0.0795825239834863
82,0.5333333333333333,0.8599117288900769
83,0.5777777777777777,0.9531371885116875
84,0.7777777777777778,0.16228601978080728
85,0.7555555555555555,0.47775722474679977
86,0.8444444444444444,0.32751908283584313
87,0.8666666666666667,0.24290166028097068
88,0.7111111111111111,0.31028471294068727
89,0.6444444444444445,0.6433970714900948
90,0.7555555555555555,0.5413262051144971
91,0.6444444444444445,0.8082606552021149
92,0.7555555555555555,0.32505153108200424
93,0.6888888888888889,0.676549942083222
94,0.7333333333333333,0.17413787163265912
95,0.7555555555555555,0.10328860376013545
96,0.6888888888888889,0.6055604859069175
97,0.6888888888888889,0.5988243191065966
98,0.4444444444444444,1.1042846535388637
99,0.7333333333333333,0.4238006474798777
100,0.7555555555555555,0.15655611987288012
101,0.6666666666666666,0.7340456800023762
102,0.7777777777777778,0.032439335887611755
103,0.8,0.5145799400041582
104,0.5333333333333333,0.8685938994327126
105,0.8444444444444444,0.07958490005643175
106,0.7777777777777778,0.458627461463067
107,0.8222222222222222,0.20644486025720993
108,0.7555555555555555,0.2335095191422377
109,0.6444444444444445,0.688956606967834
110,0.4666666666666667,1.0330611541774333
111,0.7111111111111111,0.5563536784579287
112,0.7555555555555555,0.1635952359737444
113,0.6888888888888889,0.8090447592741098
114,0.7111111111111111,0.498665478630194
115,0.7777777777777778,0.2609182333897651
116,0.6666666666666666,0.5151815616739435
117,0.5111111111111111,1.1772041937687487
118,0.7111111111111111,0.49502414684130813
119,0.5555555555555556,0.7463957943508865
120,0.8222222222222222,0.19492209450830147
121,0.6888888888888889,0.3872464284653539
122,0.8444444444444444,0.2442108764739078
123,0.6222222222222222,1.025932460126526
124,0.4444444444444444,1.1042846535388637
125,0.7777777777777778,0.2279067391368915
126,0.7555555555555555,0.28910083459562214
127,0.6444444444444445,0.5146219964952924
128,0.6666666666666666,0.44484671359410743
129,0.8,0.14595527042680212
130,0.7111111111111111,0.5945937212272419
131,0.7777777777777778,0.40448317443345516
132,0.7777777777777778,0.5401928183195225
133,0.7777777777777778,0.3411066559743385
134,0.4444444444444444,1.1641671567317118
135,0.8888888888888888,0.25274454245745354
136,0.8222222222222222,0.24477281772550424
137,0.9111111111111111,0.0037423148890670887
138,0.6888888888888889,0.606066589444296
139,0.5111111111111111,1.0090319284802045
140,0.8,0.47957610858653366
141,0.6222222222222222,0.768764857881137
142,0.7777777777777778,0.22902824556713894
143,0.7111111111111111,0.5283587870147615
144,0.7555555555555555,0.475984674329502
145,0.6888888888888889,0.6866244913718853
146,0.4666666666666667,1.0212093023255815
147,0.7333333333333333,0.5680178205470908
148,0.6444444444444445,0.6931967091389707
149,0.8666666666666667,0.07934610472541509
150,0.6888888888888889,0.5551098042709912
151,0.8444444444444444,0.20695928004989755
152,0.6666666666666666,0.8278977100596989
153,0.4666666666666667,1.0330611541774333
154,0.7333333333333333,0.2290306216400844
155,0.7333333333333333,0.33344857287118723
156,0.7777777777777778,0.41189771005969883
157,0.8888888888888888,0.15094264753927947
158,0.7111111111111111,0.5597621550981616
159,0.6666666666666666,0.5771110517092876
160,0.5777777777777777,1.1672044907778671
