factor,r_cd,p_cd,r_eps,p_eps,R2_joint,R2_adj,b_cd,bp_cd,b_eps,bp_eps,b_int,bp_int
F1,-0.08813061032010891,0.13365463717096016,-0.011142441406686649,0.8498862289312485,0.010456313346133173,0.00011265111630187619,-0.19155373405583315,0.0943372771517643,-0.009655388842395947,0.8701570915436974,-0.04851388175437053,0.377884455419119
F2,0.006785603393754565,0.9082415470896266,-0.05584643912080035,0.3424631613984045,0.0035618494273759183,-0.006853880369550369,-0.002593577762181252,0.9829491821481899,-0.06287366865698837,0.3168381210810077,-0.015638100383082183,0.7889333633406831
F3,-0.08041344934643449,0.17129235337786525,-0.06816879801786883,0.24636796613192827,0.017663234969895414,0.007394906415573832,0.0246872254684643,0.8536036301042738,-0.04878169222576821,0.4809465651881277,0.09695532721707835,0.1329351188270542
