threat,dist,obs,pred,n
0.1,1.0,0.8081911262798634,0.8551982200938781,1465
0.1,2.0,0.6921501706484642,0.71134657200611,1465
0.1,3.0,0.5651877133105802,0.5467148898757828,1465
0.5,1.0,0.6334470989761092,0.5064670238887388,1465
0.5,2.0,0.38088737201365186,0.32055781000685596,1465
0.5,3.0,0.18771331058020477,0.19982465505287597,1465
0.9,1.0,0.39726962457337883,0.2995704550286531,1465
0.9,2.0,0.1378839590443686,0.16770776918009692,1465
0.9,3.0,0.07849829351535836,0.09752764093005672,1465
