subj,k,k_sd,beta,beta_sd,alpha,alpha_sd,delta,delta_sd,delta_ols
241,1.70286,0.94987196,245.7861,99.86786,-0.17147854,0.04314498,0.32316947,0.062064935,0.3532710420956025
242,2.0023508,0.9112156,289.47992,108.570114,-0.10193755,0.038045637,0.33928806,0.05504569,0.3590256163028873
243,7.6910357,1.4570037,115.80918,79.698586,0.06835312,0.038297776,0.12791805,0.060176987,0.10310846661829315
244,1.4479408,0.7000307,211.23885,85.70565,-0.0809287,0.040503103,0.3431725,0.059425246,0.3387951304808362
245,8.705969,1.3371867,60.309086,38.52991,0.18313842,0.036489785,0.07584924,0.057393152,0.08473558220562198
246,9.111568,1.7700003,164.5664,108.87853,-0.056875024,0.038223006,0.11903544,0.05774579,0.18895057046036634
247,6.340368,1.1857378,27.843758,18.812157,0.009383485,0.03749555,-0.020702563,0.0608423,-0.09021493243340102
248,2.9252229,0.9632211,106.876114,55.163685,-0.08503004,0.0366003,0.18812518,0.054556184,0.1743772753335335
249,1.7493931,0.85137933,182.37906,81.820114,-0.13691135,0.040787302,0.29277027,0.060001686,0.28555941531678797
250,3.1064596,1.0387776,105.96015,54.713078,-0.267498,0.036664493,0.13571347,0.054077722,0.16827600161805942
251,1.5934944,0.67750645,92.104904,51.29319,-0.23353839,0.04147991,0.19665717,0.063409105,0.14869412756496178
252,2.6601996,1.1554507,131.98549,64.95672,-0.100025326,0.039721068,0.22135061,0.057870068,0.22735686657891335
253,4.883925,1.5260313,514.9348,242.08623,-0.08024219,0.036253527,0.30920795,0.050385125,0.38433388436244037
254,3.3122454,0.94025224,41.861115,27.251808,-0.15018566,0.039653286,0.05125046,0.0619202,0.010576211684503869
255,2.4487245,0.79346275,24.554668,16.510557,-0.045243077,0.04243116,0.049412366,0.06796409,-0.054096786980899585
256,6.2254057,1.1008462,51.702778,35.6426,0.15074289,0.036995064,0.08204266,0.059641376,0.038478814776831724
257,5.3277764,0.97989994,27.96712,21.342262,0.7997342,0.039397217,0.19088207,0.066740364,0.04918876836393328
258,1.6117918,0.72915447,128.92908,59.57768,-0.1598313,0.04128969,0.2554543,0.058601454,0.2607016617371853
259,12.149887,2.1554668,160.25809,128.60878,0.106734976,0.03958657,0.12091115,0.06845886,0.14911536199256498
260,4.6133685,1.3508618,280.9759,148.71768,0.03132122,0.03426277,0.27460262,0.050991178,0.24412463807692142
261,0.98931855,0.55330604,194.49901,78.56597,-0.07758483,0.043886222,0.37608287,0.06362664,0.4369829225102053
262,7.7127433,1.3020766,75.177444,46.70773,0.2537001,0.03583132,0.13101937,0.055021293,0.16739465035207096
263,13.927975,2.2509813,55.532875,45.96981,0.12350752,0.03966448,-0.0035006416,0.06814078,-0.03234348872977284
264,3.3281417,1.007055,55.76496,34.060104,-0.20674403,0.037320465,0.06917455,0.059048403,0.015926869635063227
265,1.5690197,0.76502776,161.55432,71.21636,0.020107863,0.042238932,0.3304098,0.058068972,0.3282213398235854
266,1.8124689,0.886746,216.5534,87.54425,-0.09009794,0.04091761,0.32123506,0.05773403,0.3597293029132892
267,2.4979224,0.9694333,70.99243,37.91332,-0.21469635,0.039942894,0.128077,0.05810767,0.12434627142989157
268,10.825919,1.7126563,46.292347,30.727327,0.07235975,0.0372515,-0.0033570533,0.05832278,-0.012175780327089625
269,2.2230766,1.0960356,363.9735,136.83548,-0.029340958,0.041749522,0.3737595,0.056625966,0.4122548235504559
270,42.332024,13.299398,147.91454,129.63934,0.29473534,0.046131127,0.03432373,0.078593604,0.0705188119827798
271,1.6922147,0.82839054,104.02861,49.946342,-0.17456448,0.04209609,0.22498213,0.06211374,0.23434867895197822
272,6.828219,1.2759936,130.71826,83.69548,0.12033974,0.036205646,0.1684213,0.056389723,0.14539070143537483
273,9.67237,1.7178208,153.37813,113.05108,0.10296529,0.039156027,0.14048754,0.06410836,0.12542638229150027
274,2.6945417,1.2552996,519.09625,221.0277,-0.06456654,0.03959794,0.38034692,0.05503741,0.38839567403202224
275,10.7398615,1.785905,128.82181,82.298744,0.058518022,0.035863295,0.10596601,0.057108738,0.19392944858093872
276,4.873687,1.049345,56.519684,38.998116,-0.09800339,0.036438055,0.05523835,0.06012187,0.033887704552338846
277,4.3626943,1.1837068,217.73108,109.76615,-0.034120306,0.035035834,0.23668253,0.050644454,0.2469314665279954
278,1.5560207,0.5973425,24.183138,16.109077,-0.03241146,0.04432092,0.097486116,0.071535744,-0.04096812850318771
279,3.0532506,1.0745697,234.5557,108.94368,-0.20498233,0.03675895,0.2414022,0.052120134,0.19307942763514085
280,4.3388467,1.4088546,291.74646,152.71332,-0.019575767,0.038573906,0.2731055,0.055814147,0.2862028823457662
281,5.4499454,1.1752692,90.175385,50.787247,0.14507857,0.033925634,0.16165254,0.050294537,0.2173410183525029
282,8.192378,1.4862893,160.10481,101.06686,0.11362662,0.03613426,0.17039157,0.055826288,0.18551686744497786
283,1.1059936,0.7092334,366.85147,134.26797,-0.20694603,0.048836682,0.4067404,0.068524905,0.4889299443062503
284,47.997074,17.06148,73.31996,63.03232,0.2263445,0.0455066,-0.06870348,0.08116229,-0.09167257263375318
285,2.6850667,1.0913004,464.39114,183.53079,-0.22327979,0.035882372,0.32693666,0.05128155,0.2603514365477942
286,5.408242,1.1326424,77.262054,47.70426,-0.03883168,0.03641338,0.09641993,0.054171074,0.10652476691518416
287,8.198451,1.520274,133.33482,83.08259,-0.0013524726,0.036601152,0.122550294,0.055025954,0.20709581579903763
288,14.774718,2.8180654,151.61116,120.25118,0.03382393,0.03948137,0.07698413,0.06965254,0.09392015399111739
289,1.7707868,0.7928635,327.33978,125.02461,-0.14550409,0.03933157,0.35262114,0.055142846,0.32397152725329864
290,6.5985723,1.307717,137.65497,78.14713,-0.08077364,0.03500716,0.13012813,0.052273903,0.19100040502525137
291,3.716812,0.9297728,35.428566,24.669527,-0.10729821,0.03857015,0.028686227,0.063230686,-0.061203119694725465
292,23.82013,4.790658,70.93545,52.664673,0.10713215,0.039473094,-0.030334828,0.066168785,-0.029094104396194614
293,3.237011,0.983986,38.643593,26.01024,0.049720764,0.03927668,0.09457404,0.06261701,0.037973205993633456
