k_true,k_rec,beta_true,beta_rec,cd_true,cd_rec
1.8449013274964114,2.1216062943565834,0.0554283477315121,0.5178073019535856,36.79578048702877,2.019651496578969
0.27899257839636793,0.3619268471316321,0.5345976646411363,0.5371818145330424,80.44583044105556,5.566974838757144
0.571647729080165,0.3919645232425568,0.2802401723668771,0.5233112888697673,11.240315814190998,0.8970574300101346
2.756257946472141,2.8616591519416166,0.1995746305959542,0.524387298427317,23.676453857603487,1.10799483217142
0.25875030405396676,0.3181204906645533,0.20716519653389534,0.5206590790515543,25.10299001753338,0.8212670657880784
0.3048202725561725,0.45772743492691936,0.2586252539562023,0.5212132617280991,13.85876855415661,0.7573557695541436
0.4313152245279434,0.3876913211856435,0.3387604947444278,0.5266602564840995,16.45696293734822,0.8539038438155021
0.2836733208608424,0.5136435187780839,0.4524919962290832,0.5278548930523272,85.14813610239354,4.445490758564332
0.11714126719984215,0.19431342545660296,0.05412814847363187,0.5099634366094977,36.70806807647852,2.152082522319245
0.5181628588314013,0.5750780818355663,0.42318230898825293,0.537319208833255,6.567956619659998,0.33927227921941017
1.5878969422884512,1.518682101714116,0.09330095931638678,0.5243600081410984,10.353847911638088,0.6721559441299546
0.9047673137227527,0.9446449572582608,0.2346218647752385,0.5243858754053864,29.927042313484407,1.3785968502825954
0.7877673366484788,1.1044239457437686,0.10976358867834708,0.5393350635487535,18.62680299823402,0.8548739198105793
0.19600491955482036,0.18802440034951937,0.23626315147155516,0.5220259725436758,11.401018072363076,0.48533325414752654
0.31646618298993945,0.24727454636952062,0.22139231683341082,0.5132927267932752,7.712182468790632,0.3221536117517554
0.7388847340177686,0.8706967536304941,0.15750307716137096,0.5397675082661825,117.76073455833264,7.126803600727747
0.8811453291152964,1.3063158524185008,0.3528755852500125,0.5173606247219305,53.34858825170929,3.082104899434997
0.3022695996406768,0.38588020481675317,0.23202102637399005,0.5192146128338141,169.8272955840834,12.35124142816238
0.7280808247123439,0.7660034267622089,0.7972727011886768,0.5229940242562001,71.18779935734591,4.374766715692998
1.3108740053512205,1.6960413364629017,0.6081472133392878,0.5313421367738207,37.491455055747,1.6354875843318746
0.11016792615304326,0.17254929681160724,0.5181652494332114,0.5104545375624302,17.38050754614684,0.5903008361334877
0.39571202959726387,0.3512314053479619,0.18964461651712583,0.52015500129617,25.20705160289543,1.2184241564070495
0.2533417879157546,0.20450632034110824,0.31793722341202935,0.5162764435448913,48.556756321208454,2.9851295818953334
0.7848317200936202,0.9478507084282523,0.2335058042981869,0.5337614195842523,34.32612630047392,1.7336146069518465
0.29209737413208386,0.2128870282442482,0.30117193402477177,0.5158842880723707,58.03598398166718,3.6603695908048564
1.2415003625125973,1.5345859361896128,1.0575653971518597,0.5336976503476956,96.61986228048463,6.495540221670565
0.2551282735431086,0.3574452245058993,0.22168833382973488,0.5242983430477918,73.6228750573046,4.28307494624771
0.1596406993160215,0.4169375627978262,0.5129643512028743,0.5135202218525856,21.71182834354754,0.9835283974173176
