n_comp,R2_cv_total,Distress,Fatigue,Apathy,Mean Anxiety,Mean Confidence,Anx Threat Sens,Conf Threat Sens
1,0.03542809855655804,-0.020289640962423805,-0.007935822628934774,0.0722551201976861,0.031786892041556714,-0.0001724017081679019,0.11591466259621652,0.05643788035997377
2,0.035180593332109544,-0.032582287508750696,-0.012560956736608286,0.08764727407571204,0.03159066031497215,-0.00034462587089234553,0.11570137575127448,0.05681271329905957
3,0.03881834053782107,-0.034956709864123026,-0.004012733564263238,0.10095552449137235,0.03286169071350831,0.009187449324485342,0.11946810576749911,0.0482250568962691
4,0.03842871596192765,-0.04110958261372222,-0.005695624035832347,0.11633276152621397,0.03072935801286958,0.0026872213688049484,0.12418751125580552,0.04186936621935422
5,0.03658867865718851,-0.042847570656525,-0.012738280178467454,0.11853194284017643,0.026849689644977248,6.375613326403684e-05,0.12266189656805504,0.04359931624883939
