subj,k,beta,mean_anxiety,mean_confidence,k_z,beta_z,mean_anxiety_z,mean_confidence_z,mean_S_probe
1,5.04685,133.57523,2.888888888888889,2.4444444444444446,-0.16979789236943282,1.8700538651233627,-1.1549357843812518,-0.5360043917717887,0.612698418469656
2,15.196227,52.6085,4.388888888888889,1.5,1.4302884986075863,-0.05454538246997759,-0.007974073329270836,-1.2376809096442118,0.612698418469656
3,6.0461254,29.181305,4.055555555555555,4.555555555555555,-0.01225847212934149,-0.6114156163329786,-0.2628544535630447,1.032449001119509,0.612698418469656
4,2.2686858,111.23612,1.4444444444444444,4.0,-0.6077856356880186,1.3390476814982506,-2.2594174320609364,0.6196981082533781,0.612698418469656
5,1.377741,27.923876,4.111111111111111,3.2777777777777777,-0.7482463407728471,-0.6413050154392788,-0.2203743901907493,0.08312194752740763,0.612698418469656
6,4.9618506,130.27953,3.888888888888889,3.0,-0.18319835854397853,1.791714258962988,-0.39029464367993133,-0.12325349890565783,0.612698418469656
7,5.0615306,55.966194,3.6666666666666665,2.9444444444444446,-0.16748344210599522,0.025267836441650395,-0.5602148971691138,-0.16452858819227079,0.612698418469656
8,12.054357,43.281662,5.055555555555555,2.5555555555555554,0.9349612061817588,-0.27624663429557283,0.5017866871382756,-0.4534542131985628,0.612698418469656
9,5.0882254,17.31228,6.888888888888889,1.1111111111111112,-0.16327490928768998,-0.8935452834773296,1.90362877842403,-1.5266065346505036,0.612698418469656
10,3.8071651,132.68977,5.388888888888889,2.7777777777777777,-0.3652387492407173,1.8490062613758236,0.7566670673720495,-0.28835385605211034,0.612698418469656
11,4.307698,70.5662,6.277777777777778,2.2777777777777777,-0.28632790756774945,0.37231359909574596,1.4363480813287783,-0.6598296596316283,0.612698418469656
12,10.032255,71.30135,4.777777777777778,1.7222222222222223,0.6161694329165217,0.3897882968743058,0.2893863702767978,-1.0725805524977592,0.612698418469656
13,2.821067,28.404907,3.5,2.6666666666666665,-0.520700719958555,-0.6298707892988742,-0.6876550872860003,-0.3709040346253366,0.612698418469656
14,2.2552738,56.18524,5.611111111111111,2.888888888888889,-0.609900086523354,0.030474614173545068,0.9265873208612312,-0.2058036774788841,0.612698418469656
15,10.585691,35.882965,3.6666666666666665,2.111111111111111,0.7034206417224178,-0.4521154964735452,-0.5602148971691138,-0.7836549274914675,0.612698418469656
16,17.97547,24.679958,6.277777777777778,4.5,1.8684463186903506,-0.7184137506204389,1.4363480813287783,0.991173911832896,0.612698418469656
17,6.1239333,48.656742,3.388888888888889,3.4444444444444446,8.227777509987143e-06,-0.14847964995825283,-0.7726152140305915,0.20694721538724717,0.612698418469656
18,3.2885807,37.51323,3.9444444444444446,1.8333333333333333,-0.44699547588640043,-0.4133636932035137,-0.34781458030763557,-0.9900303739245332,0.612698418469656
19,3.4335585,152.25374,4.5,4.5,-0.42413919566606884,2.3140466791120797,0.07698605341532001,0.991173911832896,0.612698418469656
20,2.2503123,178.3379,5.333333333333333,2.6666666666666665,-0.6106822851379914,2.9340736298127474,0.7141870039997534,-0.3709040346253366,0.612698418469656
21,3.3508954,59.42791,3.3333333333333335,2.8333333333333335,-0.43717133560391647,0.10755368408526671,-0.8150952774028869,-0.24707876676549703,0.612698418469656
22,1.8242534,92.09757,5.0,1.4444444444444444,-0.6778520284281104,0.8841196026437939,0.4593066237659802,-1.2789559989308248,0.612698418469656
23,2.3733487,75.96547,3.9444444444444446,3.2777777777777777,-0.5912851468471578,0.5006555857309145,-0.34781458030763557,0.08312194752740763,0.612698418469656
