subj,n_trials,optimality_rate,overcautious_rate,overrisky_rate,subj_optimality_rate,subj_overcautious_rate,subj_overrisky_rate,total_ev_loss,mean_ev_loss,heavy_rate,survival_rate,total_earnings
1,45,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.0,0.2222222222222222,5.438282342239581,0.12085071871643513,0.3333333333333333,0.9333333333333333,98
2,45,0.5333333333333333,0.4444444444444444,0.022222222222222223,0.8888888888888888,0.044444444444444446,0.06666666666666667,17.683100563663977,0.3929577903036439,0.13333333333333333,0.7777777777777778,43
3,45,0.6,0.26666666666666666,0.13333333333333333,0.6888888888888889,0.0,0.3111111111111111,12.96324949344572,0.28807221096546043,0.4222222222222222,0.5333333333333333,68
4,45,0.9333333333333333,0.06666666666666667,0.0,0.6222222222222222,0.0,0.37777777777777777,0.20886533651053352,0.0046414519224563,0.4888888888888889,0.8222222222222222,109
5,45,0.7111111111111111,0.06666666666666667,0.2222222222222222,0.4,0.0,0.6,10.304683443762206,0.22899296541693792,0.7111111111111111,0.5111111111111111,91
6,45,0.7333333333333333,0.24444444444444444,0.022222222222222223,0.7777777777777778,0.0,0.2222222222222222,7.184380047294568,0.1596528899398793,0.3333333333333333,0.9555555555555556,99
7,45,0.6888888888888889,0.24444444444444444,0.06666666666666667,0.7333333333333333,0.0,0.26666666666666666,9.697066821488262,0.21549037381085026,0.37777777777777777,0.8,88
8,45,0.5333333333333333,0.4444444444444444,0.022222222222222223,0.8888888888888888,0.044444444444444446,0.06666666666666667,18.508448736039064,0.4112988608008681,0.13333333333333333,0.6,47
9,45,0.6222222222222222,0.26666666666666666,0.1111111111111111,0.5777777777777777,0.06666666666666667,0.35555555555555557,18.27238408650446,0.40605297970009907,0.4,0.4666666666666667,61
10,45,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.0,0.2222222222222222,4.356795913295666,0.0968176869621259,0.3333333333333333,0.6,79
11,45,0.6888888888888889,0.2222222222222222,0.08888888888888889,0.6888888888888889,0.0,0.3111111111111111,10.586769976464403,0.23526155503254229,0.4222222222222222,0.4888888888888889,70
12,45,0.6666666666666666,0.3111111111111111,0.022222222222222223,0.8444444444444444,0.0,0.15555555555555556,8.685976171576996,0.19302169270171102,0.26666666666666666,0.9111111111111111,85
13,45,0.7111111111111111,0.15555555555555556,0.13333333333333333,0.5777777777777777,0.0,0.4222222222222222,8.701733522330318,0.19337185605178486,0.5333333333333333,0.6888888888888889,99
14,45,0.9333333333333333,0.044444444444444446,0.022222222222222223,0.5777777777777777,0.0,0.4222222222222222,1.7075700306346868,0.037946000680770815,0.5333333333333333,0.8222222222222222,117
15,45,0.6,0.37777777777777777,0.022222222222222223,0.7777777777777778,0.06666666666666667,0.15555555555555556,17.021867532815264,0.37826372295145033,0.2,0.9777777777777777,76
16,45,0.4444444444444444,0.5333333333333333,0.022222222222222223,0.8444444444444444,0.1111111111111111,0.044444444444444446,23.984579027898903,0.5329906450644201,0.044444444444444446,0.6888888888888889,35
17,45,0.8444444444444444,0.15555555555555556,0.0,0.7111111111111111,0.0,0.28888888888888886,1.765118607049522,0.039224857934433824,0.4,0.8444444444444444,94
18,45,0.8,0.13333333333333333,0.06666666666666667,0.6222222222222222,0.0,0.37777777777777777,5.0486412776647756,0.11219202839255057,0.4888888888888889,0.8444444444444444,102
19,45,0.8222222222222222,0.17777777777777778,0.0,0.7333333333333333,0.0,0.26666666666666666,2.340647019463547,0.05201437821030104,0.37777777777777777,0.6666666666666666,78
20,45,0.8666666666666667,0.13333333333333333,0.0,0.6888888888888889,0.0,0.3111111111111111,1.1498462980065112,0.02555213995570025,0.4222222222222222,0.6888888888888889,87
21,45,0.7777777777777778,0.13333333333333333,0.08888888888888889,0.6,0.0,0.4,6.528724849765188,0.1450827744392264,0.5111111111111111,0.9111111111111111,117
22,45,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.5555555555555556,0.0,0.4444444444444444,2.9337967869514836,0.06519548415447741,0.5555555555555556,0.8666666666666667,123
23,45,0.7555555555555555,0.13333333333333333,0.1111111111111111,0.5777777777777777,0.0,0.4222222222222222,6.29841390137711,0.13996475336393577,0.5333333333333333,0.6,87
24,45,0.7777777777777778,0.022222222222222223,0.2,0.37777777777777777,0.0,0.6222222222222222,8.183679333249296,0.18185954073887325,0.7333333333333333,0.7333333333333333,137
25,45,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.0,0.2222222222222222,4.356795913295666,0.0968176869621259,0.3333333333333333,0.9333333333333333,94
26,45,0.6666666666666666,0.3111111111111111,0.022222222222222223,0.7555555555555555,0.044444444444444446,0.2,12.18889916539359,0.2708644258976353,0.26666666666666666,0.8222222222222222,85
27,45,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.7333333333333333,0.044444444444444446,0.2222222222222222,11.372197128991015,0.2527154917553559,0.28888888888888886,0.7333333333333333,73
28,45,0.8222222222222222,0.17777777777777778,0.0,0.7333333333333333,0.0,0.26666666666666666,2.7533211056510885,0.061184913458913075,0.37777777777777777,0.7777777777777778,95
29,45,0.6888888888888889,0.13333333333333333,0.17777777777777778,0.4666666666666667,0.022222222222222223,0.5111111111111111,10.506773448973174,0.23348385442162609,0.6,0.6444444444444445,89
30,45,0.8,0.13333333333333333,0.06666666666666667,0.6222222222222222,0.0,0.37777777777777777,4.194219287245364,0.09320487304989697,0.4888888888888889,0.5777777777777777,78
31,45,0.6666666666666666,0.13333333333333333,0.2,0.4888888888888889,0.0,0.5111111111111111,10.53169502155934,0.2340376671457631,0.6222222222222222,0.4666666666666667,77
