outcome,predictor,beta,SE,t,p,re_var_intercept,re_var_slope,n_obs,n_subj,converged
anxiety,S_z,-0.5566984008978665,0.039648660258903054,-14.040787185813185,8.773267355019973e-45,1.5520121416057986,0.3022784927490346,5274,293,True
confidence,S_z,0.5748497871753703,0.04264609355576683,13.47954148305891,2.0638541521894938e-41,1.6543144942449628,0.3754641985248701,5272,293,True
