subj,k,beta,c_death
1,1.2903812475924845,7.52760976005982,451.68980869142825
2,4.478429501208653,3.2443306932639002,7.641372358716087
3,2.284963084280012,2.4517482806495345,67.63693806502805
4,0.9107392843393773,6.350557348203983,682.6581772698895
5,1.0390370740192851,2.9301219409904826,64.7255415044333
6,1.3987247849455235,6.6512723782269525,401.50717646700366
7,1.3374834510280795,5.878949464919867,784.4266582144564
8,2.6808352589336004,6.793962287140227,116.6227714970909
9,1.561299827457503,3.7253542762120992,974.9460258510575
10,0.7256742697703191,12.024515573018546,401.76856283780836
11,1.637778360140738,4.254691216288744,202.97065876896528
12,2.942858281306633,3.812022883019024,232.22794213141887
13,0.9204439284189675,4.792197671057287,94.05710907736034
14,0.7518659899893618,6.053159081822449,1400.241486871643
15,2.9040989369770975,4.118401746837298,569.6172772889535
16,4.407445100524902,5.195747745921471,45.73912369719314
17,1.7694691460286136,4.933399068605643,33.68570001562811
18,0.976863484840963,5.582086460429221,569.2920168292412
19,1.0547426387563639,7.856881366849946,38.94723535135495
20,0.9271610866613372,7.495246324370862,47.27055151868388
21,1.4849296502050409,3.7998126758818316,812.8540186953536
22,0.9848306787881376,4.97210673727945,214.98018805729157
23,1.0916265686193236,4.613733178324529,723.402209044677
24,0.6358277233827818,3.900588325590345,1071.2547761852486
25,0.7223285702242894,11.874458769870262,1089.053265681548
26,1.9955155091870418,5.489443132532534,413.0375993221954
27,1.7114015323587246,5.833017706751892,349.516829440187
28,0.8300759557814809,8.939363698902687,1307.2044604308182
29,1.7989303534093464,2.050594054534428,872.76731955269
30,1.1795379210099972,5.109329111256576,809.3406715629325
31,1.2735914601163183,2.9722312646139932,505.39353860355993
32,3.099810663589576,7.215538029570803,35.15073007466225
33,1.0609424753533154,4.077776054186266,48.45576053374192
34,2.471649892994435,3.52775307020818,45.454381652853506
35,7.428409098382376,3.884192880050322,488.5201862987966
36,1.6310916042770667,3.9576051298118946,130.36131390876335
