subj,k,z,beta,alpha_bayes,rho_bayes,quad,diagonal,coupling_product,coupling_dist,cluster_4,cluster_4_prob
1,1.3418040164475928,0.4182297493840085,2.2173812026765427,0.7252699,0.34897336,LH,False,-0.5177476235679611,1.5506807037910557,0,0.9932244121469732
2,3.879060808761052,1.2744270741712531,0.895139982286964,0.66683894,0.4293992,LH,False,-1.1209272356015318,2.232055265925192,3,1.0
3,2.3275049205839204,0.3983702635039089,0.3523958350362968,0.34048268,0.57102203,HL,False,0.045831295787707615,0.8687175832519535,2,0.8862518499974166
4,0.5774029174051979,0.3785853277354705,2.205441705675994,0.7953145,0.5478056,HH,True,0.39559156987646826,1.1474739499600424,0,0.9994520826276541
5,0.9179119069373678,0.2544944633975183,0.460740200696025,0.24332698,0.600665,HL,False,-1.9432451622901572,2.7884552564104244,2,0.9928238035179345
6,1.581462210174567,0.4072860675527447,1.7712965718685134,0.62070155,0.27001894,LH,False,-0.2555873386674556,1.0118561055953428,0,0.9530527667464905
7,1.9517219177217875,0.2582745980042664,1.1849322245074545,0.6418693,0.33525553,LH,False,-0.17015367807949494,0.902605749801004,0,0.7549592356559929
8,4.184427799987145,0.4389235639291188,1.5535276093390031,0.48115176,0.55753714,LL,True,0.2846388602002114,1.2752378335606662,3,0.9999977520234972
9,4.120519708010268,0.1657389997499217,0.360010329960115,0.2796844,0.70618916,LL,True,0.19593798157341857,1.0728394985025846,2,0.6204796381094215
10,0.5744530389325879,0.2873929699762642,6.170478939993395,0.49967152,0.63798565,LL,True,0.047843547889679205,0.38820700637588373,0,1.0
11,1.9657074640501488,0.3485208382183225,0.6998468921155834,0.43045953,0.67297864,HL,False,0.02269951357027636,0.40508073665194555,2,0.881402558066672
12,1.7543299103260608,1.214212420483568,1.0490879715886952,0.73734015,0.32328817,LH,False,-0.9168686645576135,1.9403636083462876,3,1.0
13,1.354943400023363,0.1871786626094775,0.9287202872404616,0.54919624,0.6524063,HH,True,0.0777895019135948,0.33906003842088034,0,0.8369751625611731
14,0.5589590809904431,0.2210634395801867,2.200972210578477,0.6871863,0.56732774,HH,True,0.4304086790302802,0.37198148259864744,0,0.9997525131843281
15,4.1201569188898555,0.4869392502800209,0.7394484733137351,0.81027985,0.30273083,LH,False,-1.7147636039324914,2.6436974114635037,3,0.9999750467973603
16,4.680902005784559,0.4085587005340864,1.8507414682986187,0.2926229,0.50824505,LL,True,2.220508940551445,0.7404266829952475,3,0.9999998100773635
17,1.3687721830017758,0.455405949866281,1.3106225921195656,0.8179998,0.46894738,LH,False,-0.24525574629578129,1.7010168271214166,0,0.7297342847075041
18,1.180794381975226,0.2205720699057946,1.3477042348286072,0.6115383,0.5099659,HH,True,0.13271755634657645,0.20050350313808302,0,0.9736850957065362
19,0.8543699534867591,0.4611254449530632,2.7710381748294477,0.49604255,0.6921164,LL,True,0.03139033771145007,0.1511829724985349,0,0.99991747157647
20,0.6044684505488823,0.4864218296128363,2.7637464553331816,0.58705693,0.6249823,HH,True,-0.017559474743006127,0.40184154082009427,0,0.9998695360103357
21,1.286945365387818,0.4257790799120752,0.6695842599868582,0.81557107,0.32014987,HH,True,0.5915245840961215,1.1426906792637102,0,0.44478203923805765
22,0.6585592705125387,0.403549194209585,1.35466435358935,0.80386335,0.4245786,HH,True,0.8889370947929366,0.8640380912141509,0,0.9279842194113828
23,1.0150504053758935,0.3513330713312936,1.0097969366139234,0.592082,0.6379057,HH,True,0.18737957964255336,0.11807632393826895,0,0.8216714453586984
24,0.5870376898997139,0.1715794040434243,0.9709117761565226,0.6879298,0.5576719,HH,True,1.2887505703419417,0.6066476738312891,0,0.9501674922114425
25,0.5742935756758285,0.2855688163134447,6.159661625585048,0.8001704,0.2460115,LH,False,-0.705528500087389,1.9366314414392827,0,1.0
26,3.249760063582248,0.3422358355217793,1.0231753118711997,0.6403839,0.2830091,LH,False,-0.5101798642355927,1.4407629887628945,3,0.9896428522174223
27,3.095738354891073,0.2641200886954921,1.1109549191144124,0.34267768,0.6390286,LL,True,0.6395238968976047,0.2024335548113,3,0.9680971774966591
28,0.6520427944838711,0.364114893661275,3.646645101278735,0.62708575,0.64503443,LH,False,-0.149721651481863,0.8264283941417037,0,0.9999999947642131
29,1.4220130016995132,0.3499624711122029,0.2980811651328074,0.6715052,0.5076439,HH,True,0.6481015889716627,0.036307575734424447,2,0.5044129843530916
30,1.027162692138499,0.3865912123035048,1.2522098988015469,0.4904068,0.60256803,HL,False,-0.040549295236468996,0.42366845535934006,0,0.9323377236954413
31,1.4107163503294204,0.2161144650608523,0.4210454982099362,0.41176528,0.5668114,HL,False,-0.5141261502345735,1.4838696243349692,2,0.949673820946532
32,3.962290791790163,0.5244423555962837,2.1024234003350384,0.8201186,0.27126995,LH,False,-2.450699315399549,3.131043995559614,3,0.999992126232292
33,0.5422557095388907,0.4546907197304857,0.9844394543679116,0.54115134,0.6210603,HH,True,0.10762311604493059,0.8171631898198755,2,0.5358923015238346
34,2.241784285086499,0.5181095718280299,0.6840868182339338,0.5820591,0.71453816,LH,False,-0.15870797028062011,0.8127375138364796,3,0.5551521030720827
35,4.569057106367232,0.8449281776724121,2.4898450498067404,0.2854009,0.7294167,LL,True,2.422686327334426,0.8123750848512841,3,0.9999999999981526
36,1.4900825184992974,0.3997823991543442,0.7492027810319414,0.7515288,0.49059644,HH,True,0.20202595825941366,1.0310152385638507,2,0.43179231725110034
37,4.340607286783255,0.5100563769463137,1.6377754145345849,0.8238889,0.3908889,LH,False,-2.6529962286184876,3.259634025888766,3,0.9999999741353903
38,1.3486494820817712,0.2446194016384747,1.53412652382672,0.6268926,0.58525324,HH,True,-0.027800665037236914,0.6071086114165702,0,0.9843928573190749
39,1.1889862552495656,0.1436406909248488,0.2113789189291342,0.70533943,0.5733517,HH,True,1.736233938165523,0.8444252982911793,2,0.7749302836174996
40,1.0918620107854726,0.3061187018720704,0.6448127746681589,0.5834399,0.57545584,HH,True,0.2744507063642702,0.49009449966967766,2,0.7290004406818477
41,4.224906659897206,0.6640297651870668,0.6744109793274622,0.49274284,0.48906434,LL,True,0.16763629890634732,1.1166403725972887,3,0.9999984621295827
42,1.6425387778203364,0.2614228177706483,0.3334909979116632,0.5238495,0.58920485,HL,False,0.018749873042552698,0.6879923953611533,2,0.8591072350914594
43,4.645490669919152,0.7279114281685519,0.845287916734308,0.37819058,0.65521,LL,True,1.222141272616352,0.9630192453121926,3,0.999999949189156
44,1.799963940659687,0.6254638198475659,0.8565170377379075,0.45536947,0.5633815,LL,True,0.1232578313850561,0.05076311244537335,3,0.9839527814605902
45,2.6988686125494104,0.3897526989372054,1.3049064352603197,0.6867326,0.45879728,LH,False,-0.7990790602816726,1.7887529548452297,3,0.93377492756236
46,0.963880979761257,0.3479896787700556,5.513972356748363,0.6794166,0.41041228,LH,False,-0.5835332894281698,1.532730223386007,0,1.0
47,2.0717105970054126,0.1938635674030095,0.3082040981966006,0.70835394,0.58520955,HH,True,0.5911490908961095,0.37189281525675444,2,0.9454581521727864
48,1.4843299337214615,0.4799093467144147,2.4536447233956222,0.43884873,0.6017164,LL,True,0.29022452330872645,0.29312105013665835,0,0.9938294891635957
49,1.0269456796507397,0.41029160857904,2.034294120234209,0.7496479,0.48164114,LH,False,-0.18923574469831117,1.3488100164237862,0,0.9942619846091417
50,1.9863960418994968,0.4996989321353947,0.9804776452267816,0.7849211,0.41392055,LH,False,-0.6672974212520314,1.858054147781442,3,0.8771491120512038
51,0.5342499208033692,0.3574033433959903,0.7091530352850375,0.7724692,0.30362546,HH,True,1.7900467417348607,0.06186691414541201,2,0.568305528522795
52,4.046870260881814,0.5435040948656156,0.3940757537344546,0.18677764,0.64390135,LL,True,1.5792347844674623,0.7874379331046498,3,0.9947407794834845
53,2.0384839725648853,0.314616009033204,4.308609303431857,0.59155643,0.5219513,LH,False,-0.42822177953240553,1.5166493238012984,0,0.9999999976332354
54,1.4242621138153733,0.2785644103502367,0.9148276526667312,0.6010665,0.7275139,HH,True,0.11773866302479526,0.14654393097895568,0,0.6342446212224804
55,4.674588539314689,0.2358830468424642,1.8099851880085385,0.6165586,0.3340973,LH,False,-0.850356674867713,2.191292930411055,3,0.9999999906054304
