subj,c_effort,c_death,epsilon
1,0.002400460128526217,0.8445422006038661,0.25788239748252895
2,0.14517977574851584,0.9929418432209466,0.07813678807020855
3,0.0033418269554362123,0.4116180456963579,0.1027610412875211
4,0.0022947368767129712,0.49443269395405404,0.18600742920693533
5,0.0021275334244043116,0.1829831727697473,0.1754939707165655
6,0.0023814154784265688,0.853617163195055,0.2728523373686232
7,0.002281168294013405,0.5415325017124785,0.11967646693102588
8,0.0023663126096236764,1.1917956539012171,0.098660988914876
9,0.0019078780557301468,0.5497137879257089,0.2216446004697909
10,0.0026494885785210026,1.0179241600439348,0.3467671719844974
11,0.002199600582219546,0.5983432451007957,0.24227968982602127
12,0.0031772234033686834,0.7254913834564493,0.11687642989412275
13,0.0020713341806775283,0.4107171358214173,0.19182227007352068
14,0.00410470694220866,1.3201132698545717,0.9757665228586104
15,0.0027721962706194177,1.09761696634873,0.2958428863246843
16,0.00532846852447057,1.5267890744556838,0.03653625082595538
17,0.002903758563142272,0.4986826786935827,0.07290754702959083
18,0.0023561164975909694,0.5006113722099602,0.2180828527805396
19,0.0029558323632225525,0.5757362954771523,0.06726768574211696
20,0.0029168242084379797,0.565563289037076,0.1436155934040264
21,0.001907430227351015,0.3799347700430258,0.1619610467065342
22,0.0023033013427021043,0.38705425912182057,0.19196870333582414
23,0.002556200011399867,0.7900798794071547,0.6213650287127912
24,0.0019365106593475848,0.19853897318504857,0.26918957826393164
25,0.0021942478297841336,0.8952553440112802,0.24032541880917657
26,0.0034960729439656784,1.48309225257436,0.694608962866183
27,0.0023126939764233456,0.7782201248445294,0.13982059189284357
28,0.002309497449269734,0.7547222972250528,0.21889986546175264
29,0.002703586441172536,0.41366315156948646,0.42026179343309794
30,0.002089124521010159,0.4710937241523258,0.13916550770718253
31,0.0017669767558930463,0.26444262883459585,0.23104024040582394
32,0.08688389975341497,1.147134637066376,0.05382343513457332
33,0.002342283227911541,0.2691407671699864,0.1646683149419159
34,0.030812798792133264,0.543018754846861,0.08046512080613692
35,0.0025366667650352833,1.9955567320835026,0.15181560549263223
36,0.0020377550335713584,0.456392471741427,0.17908295993134543
37,0.0038497169280181792,1.2744535973304665,0.05772390851466814
38,0.002606830217425668,0.5660719974892251,0.17250058593161813
39,0.00219973592668153,0.10548539451146614,0.2191355987642178
40,0.0022971796047832147,0.25655876591790805,0.13382513491624498
41,0.08544262684653153,0.8512280839830321,0.1079903247364109
42,0.002311251227628538,0.4982424743071692,0.46728208840718627
43,0.0034526184793640794,1.1330499086582768,0.07024030326674437
44,0.0028478846779215463,0.533623329856028,0.08281406045724947
45,0.0027993983223794532,0.7822819952616329,0.08025562969135676
46,0.0019248057299888922,0.8175552333761156,0.11047628633366018
47,0.00281728288038812,0.22427453632577266,0.08294139534169614
48,0.0025968377590604805,0.822491972233316,0.1459100661645258
49,0.002629731875697538,0.6811686000805607,0.2201134610211778
50,0.002729989917191691,0.6284383282893182,0.12222061181927389
51,0.002414170841467138,0.3635974111020091,0.4620860962961354
52,0.00326134729840475,0.8758643256915234,0.29548362756265806
53,0.0024243745860915555,1.04284191612738,0.10228967672483258
54,0.0024854519374872294,0.37554821680479034,0.0926616853071086
55,0.05087427647570256,1.203467125390194,0.04473799771672077
56,0.002396308521566779,0.6613807367980988,0.15903913657325572
57,0.036484724093840404,0.3719557261327578,0.055064918317019304
58,0.001925100156178546,0.5421234470466488,0.11622635226758785
59,0.002644202624760034,0.4792695352709217,0.0667256801582958
60,0.02682429357579939,0.20059161415675342,0.050751578780559824
61,0.0029660921877820304,0.6516577047546304,0.1379153984126785
62,0.0029694633188200293,0.09223039338888134,0.06362575333965834
63,0.0032385335864084756,0.6368054053619371,0.31964798841066544
64,0.0022470002012580613,1.126771499812153,0.12886809331800614
65,0.002362542625028883,0.8094776516391367,0.14292125062537317
66,0.0020257543321176275,0.09968594659933042,0.17714194626641627
67,0.003834181474418465,0.12543530954053134,0.05070490038595987
68,0.09317640362949668,0.19078094322795178,0.07128899443487637
69,0.0024409170889701354,0.5180937673224645,0.533037674978001
70,0.00434603906115666,1.0545832830014978,0.042246104106927716
71,0.002397355922647632,0.4307470703925832,0.06864506700168942
72,0.0027406564876717625,2.0774464540317097,0.1756041428294759
73,0.00220991222530573,0.830201234166839,0.14810900966117907
74,0.1273703516828753,1.1188478601330891,0.07603216667131515
75,0.002786128749836596,0.5670046323022039,0.08250606697410623
76,0.003138954142092162,0.3004903050777564,0.0992943894888582
77,0.004500100620796099,3.13927025687959,0.630212936368718
78,0.0029078636266581734,0.7716160229634351,0.27077110797443055
79,0.0029650858844345153,0.7222527332376153,0.979756921166125
80,0.003901198356672474,0.9150249197017019,0.03940462419817743
81,0.0022250369541973692,0.537904687093581,0.24889682716382547
82,0.046845854152049074,0.8524864513133205,0.04579311842397755
83,0.002270861043357856,0.06471098197951403,0.17899635381426612
84,0.06689125394782258,0.6042612790170413,0.04441495361851332
85,0.005793990112427863,0.44497808596287136,0.045029478015175844
86,0.0018606111795175138,0.1983974212754646,0.21594390706258637
87,0.001775536667722846,0.32348059551255376,0.19852940662016427
88,0.002407297468610091,0.9113426578972968,0.1572996470646196
89,0.0025564722364639875,0.8307496534255281,0.12242572424648031
90,0.0017800199338395995,0.23328510968238322,0.22609924720810742
91,0.0020024824891210495,0.12286264561455056,0.5086016376061718
92,0.0021961615526773165,0.25632381355146916,0.15067297104306593
93,0.001885037441187399,0.226370400518331,0.2119131172814451
94,0.002738976606324471,0.7600659680817727,0.05846306956727102
95,0.0027836543177347235,0.7126568466935631,0.054902613705083494
96,0.001809829735839693,0.1394197812671053,0.19912444631426213
97,0.005270970578844797,0.10621077973818459,0.04490384124232646
98,0.007056233277071424,2.3918269474094296,0.02287028706889815
99,0.04270019914210856,0.5584762985300703,0.0754298860722155
100,0.0024015839870150297,0.4794001192543422,0.169349359383549
101,0.003038493459017108,0.5089025318689417,1.00289071486603
102,0.0020927738193817456,0.8059143747481522,0.16081941000814953
103,0.0024316183235485555,0.20553412518287995,0.21946976116073563
104,0.002748316840428063,1.1044434437421407,0.21605703759096104
105,0.0023087264894448823,0.5744539132077083,0.10891855614258766
106,0.002130292996125567,0.25275727663183223,0.18931100973071974
107,0.00226654078940971,0.4504777628937599,0.36182209828842304
108,0.0025954319973069285,0.7978607862871266,0.1575519745779218
109,0.002638049883638493,0.5842294830123055,0.1952501065995875
110,0.002877371369624131,2.0637003737297954,0.08411181823858974
111,0.0842845403964173,0.5347386118344877,0.06323577568619486
112,0.0022570063105060924,0.7304546879789627,0.1866372301008762
113,0.006026374209813423,0.2334141265993842,0.0474588992513756
114,0.002480176888805435,0.5392856649068587,0.10306565469471403
115,0.002405283071143248,0.4079264203321208,0.10768629940862605
116,0.002581670637911634,0.5396520659190907,0.08217076414615955
117,0.0024296902548109926,0.833780242576992,0.2564772276555237
118,0.004925111593360319,0.5854965198080095,0.04394524152540237
119,0.0027451726707515204,1.290000367759054,0.06278867460980454
120,0.002514395820376676,0.4856163529103582,0.16743009472864437
121,0.002776062679577164,0.8316730695163498,0.06921880274726075
122,0.003415192752956885,1.0684813954394252,0.9513229159587283
123,0.0021854081879771306,0.5516142238833086,0.37106016664392266
124,0.0026351344547431658,2.6838219236270846,0.10357388187748112
125,0.002033746700623651,0.5854587990339521,0.11373206160389512
126,0.0022303723070326268,0.6951024201693066,0.17171162321488032
127,0.003221903702864451,0.7120767248052903,0.07585912303975374
128,0.0024659769555655108,0.89855935351849,0.18120685670222078
129,0.002536667941773536,0.6595619890616404,0.19344437722158075
130,0.0018833562171393368,0.17923065921939568,0.38559555382338534
131,0.0019494917889727862,0.33248223397996896,0.2392307525206934
132,0.0020093832397737573,0.24423070867821076,0.12636702775755346
133,0.0029913395714446017,0.3275825726593213,0.18943520943589126
134,0.09386862589406786,1.4078341989044978,0.049289207586990194
135,0.0022014287555659376,0.37127113771404685,0.22370254538257017
136,0.002659112206587003,0.25343920453364605,0.14316281734415814
137,0.0018421622227442482,0.3836835965786808,0.22125125847148716
138,0.002547972722420688,0.3900138414563111,0.197806517620939
139,0.0032468611361017264,0.8944334454548859,0.06487723140114582
140,0.0021969437268398377,0.4300595434604969,0.1850700447355033
141,0.004181606714047609,0.716787279883474,0.18729711118483341
142,0.002208216254377155,0.5966437942394135,0.19518723409078625
143,0.002157312386254685,0.6285069068883886,0.3230209546524085
144,0.002849196106398043,0.39846239112388804,0.0970529173731475
145,0.002265265176628369,0.11665655843226162,0.20877570259394643
146,0.0024549111680015113,1.504779566732635,0.09539316115676376
147,0.0023347030409890577,0.6441200163699728,0.15394986197146168
148,0.005574453682337495,0.36281903638587887,0.040868197054383694
149,0.0022737437428956226,0.45984003969733744,0.12431108362431254
150,0.001892076287463111,0.1938881345426895,0.18132204725561635
151,0.0019449304647649115,0.4527790038401254,0.17589478594043878
152,0.008243054649192862,9.712667878795727,1.8275267872304781
153,0.002668900814422077,2.1574196675297665,0.1217713950444412
154,0.005555157832216802,6.648205207892438,1.6611607358178042
155,0.002175409797318816,0.4409727948305441,0.2810778059501204
156,0.002218374625529857,0.5526997671913215,0.1825332714433204
157,0.0022417288605011804,0.5818632117290261,0.31330487230988807
158,0.00335651741463983,0.8488316879599591,1.0063349176067091
159,0.002875261484873711,0.5263510969062289,0.05322873855183778
160,0.002415795518671077,0.24392594734581996,0.17472112627420774
161,0.0035526215402344255,0.2513607895594285,0.05238012142079151
162,0.002257008960846864,0.24225139520823338,0.232391318862093
163,0.00208812987725292,0.8641159066949456,0.14083420280751763
164,0.002494622402486803,0.33294196105962715,0.07774800565241528
165,0.0019430104156312206,0.359531244353016,0.21781250886276185
166,0.0027406386457607705,0.8321740183303296,0.21051488507389202
167,0.1407171659817254,0.7160881045580859,0.05607511700165631
168,0.002178615200374737,0.3159743379468102,0.11885476526292114
169,0.0015720491475230034,0.22027075283075848,0.10149110425559452
170,0.0025874158722987836,0.5603927814669201,0.09947278584063211
171,0.0020597096990531546,0.16835789871648968,0.21623856109291942
172,0.003026713353809592,0.5995864265323552,0.06640534792954589
173,0.0023609868458121385,0.5734791183340188,0.2838829694922862
174,0.0019052943772039943,0.4512357948630635,0.1992457212186838
175,0.022737367109199404,0.6621366069703877,0.043881869194241724
176,0.006219117147796579,0.16665883740744866,0.04507138493350362
177,0.0021561274217234755,0.22171115028425686,0.27912363448788474
178,0.0018303709009333813,0.14084958119683308,0.16822078469325935
179,0.0030019758612497196,0.3730168750954213,0.0753543226016051
180,0.0021703550799994486,0.2313803509018786,0.12972201241036654
181,0.0021123126923464405,0.39898623485508317,0.22513706975461248
182,0.002746538433824616,0.4658262187714815,0.1425341173173657
183,0.0021599210698025288,0.44942549769340234,0.2718704833427269
184,0.002332516612858148,1.8097583285660546,0.08642284470038072
185,0.02113511765900549,0.306440535605056,0.0439382281952767
186,0.004175519293545422,0.8969011510063141,0.046442596570753815
187,0.002227289462270035,0.7055130412976257,0.11300079329414774
188,0.002744080624937458,1.6536481717496447,0.09211710799056354
189,0.0028165081517883893,1.1475725622588329,0.07316964103691163
190,0.0018652617473932315,0.34239668560900927,0.16793355507980182
191,0.0025067401841046837,0.4965709303983738,0.0841937053118811
192,0.027377132200963737,0.2813770345353298,0.047888317055457534
193,0.0333619647175698,0.2828458386447631,0.059808400489873806
194,0.002431244006321322,0.45951724378788805,0.27964082362327347
195,0.0019091492610849752,0.5230344481114201,0.20327229708448347
196,0.0022569848269755784,0.27941968163596154,0.11985255492862437
197,0.9746346826569925,0.0825617064449091,0.1519160634767056
198,0.002802596747174553,0.5678412041568452,0.5012511191170083
199,0.002408490656740129,0.7559082776945691,0.1645056645863149
200,0.007236875141205033,3.777947756973449,1.6908277117190456
201,0.002427761303176655,0.22311862309593375,0.14289992487297318
202,0.0023505170305993376,0.28791982613075123,0.061235566744773096
203,0.0018433185562256311,0.8621758028033353,0.26156845458994266
204,0.0020743682963598447,0.37851838651584996,0.2830402727019522
205,0.0038228613502099885,1.2327448156707221,0.8211246573959217
206,0.09093874855380721,1.8316064165577672,0.04567737580445221
207,0.0028885820396150116,0.854335478953852,0.10319160252171194
208,0.0026710044921057063,0.6826555879323746,0.8315958429661996
209,0.002254505352082367,0.4671008726320619,0.16605004001573792
